transaction_id,account_id,merchant_id,device_id,amount,currency,transaction_type,geo_location,ip_address,transaction_time,status,risk_score,ml_score
54,21647,3808,1716,5704.89,USD,PAYMENT,"42.185387, -73.206017",226.62.52.239,2024-12-10 22:58:46.557,FAILED,87,0.90
55,21544,751,3624,7483.24,USD,PAYMENT,"43.594699, 74.584399",131.104.224.166,2024-05-15 08:26:46.570,FAILED,95,0.70
56,16813,3410,2482,1949.04,USD,TRANSFER,"65.514420, -163.911428",78.179.81.109,2025-02-25 04:00:46.580,SUCCESS,27,0.97
57,22147,2924,2705,642.38,CHF,TRANSFER,"-69.972273, -98.183447",81.137.224.71,2024-09-28 22:32:46.597,SUCCESS,59,0.70
58,17055,1398,512,2449.78,USD,WITHDRAWAL,"13.876837, -58.099446",69.164.98.194,2025-09-24 17:31:46.610,SUCCESS,85,0.72
59,19820,4346,4805,1811.11,EUR,PAYMENT,"2.832310, 39.378369",56.223.9.76,2025-09-19 07:12:46.627,SUCCESS,45,0.20
60,18204,4028,NULL,5643.04,USD,WITHDRAWAL,"-23.223636, 83.861673",160.77.58.216,2024-05-17 12:11:46.640,SUCCESS,10,0.09
61,22598,3181,NULL,4558.30,USD,TRANSFER,"-83.236781, -17.533925",101.171.36.41,2025-05-12 22:39:46.653,SUCCESS,32,0.83
62,19953,4884,1332,9598.20,EUR,TRANSFER,"-82.869061, 94.190209",221.34.211.137,2025-12-29 09:34:46.667,SUCCESS,18,0.85
63,18334,1688,NULL,3417.32,CHF,PAYMENT,"-49.888208, 4.143230",116.17.41.111,2024-03-21 23:17:46.680,SUCCESS,81,0.08
64,21889,4022,NULL,7879.99,CHF,PAYMENT,"-68.434760, -138.872910",147.38.77.139,2024-06-15 04:57:46.693,SUCCESS,25,0.27
65,17692,4607,NULL,6860.73,GBP,TRANSFER,"-38.450030, 55.758219",253.21.81.241,2025-12-29 17:05:46.707,SUCCESS,37,0.44
66,22202,4894,399,6349.38,GBP,PAYMENT,"-13.103933, 43.187972",157.185.219.123,2025-01-09 04:06:46.720,SUCCESS,15,0.82
67,17968,533,NULL,3499.81,GBP,TRANSFER,"-62.409793, -129.290244",97.35.173.150,2024-08-22 20:28:46.733,FAILED,69,0.35
68,23448,4646,NULL,862.56,USD,WITHDRAWAL,"-84.229561, -62.570765",124.28.17.25,2025-10-27 00:49:46.747,SUCCESS,82,0.37
69,22982,1678,NULL,5338.09,USD,PAYMENT,"-81.288981, 161.007498",121.23.75.206,2025-05-31 06:09:46.760,SUCCESS,71,0.61
70,13962,1805,3129,6182.87,USD,TRANSFER,"23.525818, 129.117884",53.171.67.3,2025-07-07 20:43:46.773,SUCCESS,28,0.41
71,15890,872,2862,5315.34,USD,PAYMENT,"-69.141026, 90.605940",140.194.248.61,2024-07-01 14:31:46.790,SUCCESS,98,0.85
72,14460,2133,NULL,106.33,USD,TRANSFER,"13.193395, -121.207330",201.58.88.253,2025-06-27 23:25:46.807,SUCCESS,11,0.99
73,22887,3835,3752,9902.69,EUR,TRANSFER,"-41.665488, -86.229075",111.241.107.212,2025-07-07 17:06:46.820,SUCCESS,67,0.19
74,22322,519,4116,310.92,CHF,DEPOSIT,"-77.827477, 24.172017",56.87.157.143,2025-11-14 07:51:46.830,FAILED,47,0.32
75,20361,202,3949,1810.06,EUR,WITHDRAWAL,"-9.373525, 114.410049",49.116.27.167,2025-05-05 21:43:46.843,SUCCESS,9,0.02
76,12658,3547,1627,8199.95,USD,DEPOSIT,"61.837188, -66.897146",78.238.158.205,2024-04-01 21:44:46.860,SUCCESS,89,0.55
77,6282,1619,2847,849.00,CHF,TRANSFER,"44.522798, -103.332032",131.39.33.166,2024-02-21 17:17:46.873,SUCCESS,62,0.82
78,14263,4963,4634,5421.17,CHF,PAYMENT,"60.131616, 121.199815",130.120.242.96,2024-09-29 11:29:46.887,FAILED,26,0.22
79,10033,2824,2249,1469.93,GBP,PAYMENT,"6.871795, -145.149763",17.97.34.1,2024-11-03 09:05:46.900,SUCCESS,9,0.52
80,11166,2711,210,1210.42,GBP,WITHDRAWAL,"76.468898, -102.803100",233.116.201.151,2026-01-22 05:25:46.910,SUCCESS,83,0.65
81,17586,1974,NULL,1268.12,EUR,PAYMENT,"-79.123025, -51.771009",32.16.252.215,2025-09-09 07:04:46.923,SUCCESS,20,0.73
82,23371,64,NULL,2128.95,GBP,TRANSFER,"-56.233689, -127.116242",80.237.3.203,2024-12-06 05:16:46.937,SUCCESS,10,0.85
83,17634,365,959,3938.41,CHF,WITHDRAWAL,"49.087388, 144.852894",228.137.95.76,2024-12-03 22:09:46.947,SUCCESS,7,0.43
84,16048,2383,NULL,6387.03,CHF,DEPOSIT,"-74.996455, 174.367503",36.3.204.245,2025-04-10 16:59:46.960,SUCCESS,94,0.78
85,11083,3327,NULL,7366.22,USD,TRANSFER,"-23.366699, -80.142585",99.166.174.148,2025-06-13 09:12:46.973,SUCCESS,12,0.19
86,22741,3681,3514,6953.40,EUR,WITHDRAWAL,"45.982797, -16.145894",87.161.62.28,2024-11-09 01:33:46.983,SUCCESS,93,0.29
87,22722,2117,NULL,5681.20,GBP,WITHDRAWAL,"26.753638, 63.372406",31.166.108.138,2024-12-18 18:47:46.997,SUCCESS,70,0.11
88,17318,4584,4913,3557.75,GBP,WITHDRAWAL,"-67.740005, 27.138778",5.179.212.229,2024-07-11 07:14:47.010,SUCCESS,54,0.44
89,13722,1476,4275,3595.75,CHF,PAYMENT,"-63.284636, 157.357197",38.74.10.199,2025-01-07 11:27:47.020,SUCCESS,96,0.70
90,17194,3528,4681,4813.74,EUR,PAYMENT,"-47.901745, -104.447192",156.241.121.64,2024-04-13 15:17:47.033,SUCCESS,38,0.69
91,1238,4694,848,2698.49,EUR,TRANSFER,"-42.727104, 70.298268",173.226.162.84,2025-05-30 07:53:47.043,FAILED,17,0.07
92,18526,2997,809,978.63,USD,DEPOSIT,"1.835266, -60.780326",224.30.40.57,2025-10-15 20:02:47.057,SUCCESS,78,0.58
93,156,3178,4685,1750.79,EUR,PAYMENT,"43.516682, -23.893648",184.220.33.134,2025-03-19 14:48:47.067,FAILED,32,0.45
94,22489,4075,NULL,3468.57,USD,DEPOSIT,"55.316431, -50.038561",192.68.210.248,2024-07-03 09:48:47.077,SUCCESS,78,0.62
95,23251,2113,2473,5328.43,GBP,PAYMENT,"1.389455, -70.526899",104.86.238.45,2025-01-01 02:47:47.087,SUCCESS,53,0.00
96,14434,2722,NULL,7144.72,USD,PAYMENT,"-73.332702, 107.209708",79.215.178.12,2025-02-10 21:40:47.100,SUCCESS,71,0.56
97,18302,4831,3610,6240.27,GBP,TRANSFER,"-64.813109, -133.506064",74.73.193.83,2025-08-06 06:01:47.110,SUCCESS,0,0.53
98,22518,1112,1822,2495.90,CHF,DEPOSIT,"19.285078, -148.051290",226.48.228.241,2024-12-17 08:57:47.120,SUCCESS,18,0.79
99,20278,3825,1010,3839.91,EUR,DEPOSIT,"87.788277, -118.196834",46.23.232.114,2025-10-19 19:10:47.130,SUCCESS,16,0.10
100,14866,2594,3395,3091.63,EUR,TRANSFER,"15.723385, -77.305256",23.247.224.248,2025-08-03 15:14:47.140,SUCCESS,47,0.16
101,15893,3441,1341,7001.33,GBP,DEPOSIT,"-88.070098, 145.384661",72.72.35.203,2024-09-08 19:27:47.150,SUCCESS,65,0.80
102,22973,4581,NULL,1275.06,CHF,DEPOSIT,"10.245190, -14.685249",254.236.61.248,2025-02-27 23:33:47.163,FAILED,50,0.89
103,17407,4896,4878,5724.10,CHF,TRANSFER,"23.173896, 50.684242",69.239.85.82,2025-02-17 03:40:47.173,SUCCESS,36,0.39
104,19717,3458,3259,3143.34,EUR,DEPOSIT,"-49.880470, -76.788237",18.66.84.216,2025-07-15 13:11:47.180,SUCCESS,6,0.15
105,21573,2156,4009,5101.50,CHF,TRANSFER,"67.244512, -152.306820",202.3.156.42,2025-02-22 03:24:47.193,FAILED,41,0.94
106,13332,1231,NULL,6122.49,USD,WITHDRAWAL,"61.359790, -148.379025",210.11.160.146,2024-04-12 00:17:47.207,SUCCESS,14,0.72
107,19222,528,NULL,8961.45,EUR,WITHDRAWAL,"-27.732296, -111.399990",162.200.58.81,2025-05-24 20:59:47.223,SUCCESS,25,0.13
108,16346,4377,NULL,9943.67,CHF,PAYMENT,"-49.106624, 30.746794",226.176.9.11,2025-05-21 18:47:47.240,SUCCESS,82,0.32
109,19163,2432,3650,1534.98,EUR,WITHDRAWAL,"7.856044, -44.598755",246.81.149.95,2025-10-26 21:31:47.250,SUCCESS,73,0.12
110,16143,3679,2948,3674.09,EUR,TRANSFER,"-87.351273, 69.453869",211.234.215.173,2025-10-31 21:02:47.263,SUCCESS,70,0.62
111,16951,4110,NULL,3971.93,USD,WITHDRAWAL,"65.224632, 179.665528",187.158.72.19,2024-08-26 06:20:47.280,SUCCESS,62,0.54
112,13979,4164,4132,2742.50,USD,DEPOSIT,"37.747979, -112.113929",235.185.206.152,2026-02-04 16:29:47.297,SUCCESS,88,0.43
113,21140,1454,3447,4501.54,GBP,PAYMENT,"-17.858590, 82.975056",241.193.85.29,2024-11-29 03:31:47.313,SUCCESS,22,0.11
114,2951,2265,NULL,9580.97,CHF,WITHDRAWAL,"-53.972336, -6.479826",220.44.8.52,2024-12-21 22:09:47.330,SUCCESS,4,0.76
115,9676,2754,2438,7116.11,CHF,TRANSFER,"54.077497, -124.763500",104.145.165.250,2025-02-08 04:19:47.343,SUCCESS,45,0.88
116,22783,4950,4132,6857.79,EUR,PAYMENT,"76.954908, -74.718153",169.179.167.217,2025-01-30 17:20:47.353,SUCCESS,47,0.93
117,22736,1057,4100,6976.70,EUR,DEPOSIT,"65.364814, 155.311563",137.43.156.228,2024-03-19 21:16:47.363,SUCCESS,44,0.43
118,22400,4839,352,823.81,USD,PAYMENT,"68.320575, 111.130708",105.187.196.22,2025-12-27 11:18:47.377,SUCCESS,76,0.48
119,15913,2222,NULL,7952.62,USD,DEPOSIT,"76.021703, 83.305371",133.221.140.43,2025-07-25 04:16:47.390,SUCCESS,7,0.11
120,14479,1269,1913,1563.52,GBP,DEPOSIT,"-85.790201, 26.711534",223.18.60.44,2024-04-03 20:14:47.400,SUCCESS,21,0.71
121,20054,2579,4292,6492.05,GBP,TRANSFER,"1.167857, 26.958994",33.212.34.193,2025-06-19 06:00:47.410,SUCCESS,7,0.69
122,19508,3059,3275,3853.78,EUR,WITHDRAWAL,"5.464551, 20.904095",252.221.237.219,2024-11-02 20:56:47.420,SUCCESS,91,0.63
123,19205,2766,NULL,2661.46,GBP,PAYMENT,"12.580984, -141.950187",131.183.227.153,2024-10-26 05:06:47.430,SUCCESS,6,0.19
124,22214,3753,NULL,177.55,GBP,TRANSFER,"-69.710844, 129.481064",218.42.232.223,2025-11-30 13:19:47.440,SUCCESS,47,0.08
125,22497,1957,3309,7535.16,EUR,DEPOSIT,"-18.813501, -72.003678",60.123.183.16,2025-07-20 01:04:47.447,FAILED,45,0.44
126,19495,916,NULL,6355.65,EUR,WITHDRAWAL,"25.293832, -177.347211",133.124.83.96,2026-02-02 15:16:47.457,SUCCESS,89,0.31
127,13872,3268,3299,271.39,CHF,TRANSFER,"22.766544, -0.838014",137.171.184.197,2024-11-13 18:45:47.463,SUCCESS,40,0.84
128,15794,4223,1665,8599.40,USD,TRANSFER,"-60.730576, -115.485892",15.65.188.168,2024-08-16 23:46:47.473,SUCCESS,50,0.84
129,13769,1889,4297,6131.62,EUR,PAYMENT,"-76.724753, 50.435318",250.229.43.188,2025-06-28 12:14:47.483,SUCCESS,30,0.77
130,15459,4211,4902,2231.39,USD,DEPOSIT,"-61.879102, -47.367830",140.119.227.25,2024-06-24 02:32:47.493,SUCCESS,40,0.33
131,17192,1221,1072,7108.08,CHF,PAYMENT,"-58.136032, 2.489133",221.30.20.137,2024-08-01 07:53:47.503,SUCCESS,19,0.99
132,19108,1934,4068,1208.10,EUR,PAYMENT,"-31.446824, 56.174803",103.189.214.188,2026-01-27 09:00:47.513,SUCCESS,9,0.39
133,22462,889,NULL,8199.88,CHF,WITHDRAWAL,"-35.022379, -127.857076",110.6.16.80,2025-06-13 19:33:47.523,SUCCESS,62,0.60
134,16801,619,3371,1095.50,USD,WITHDRAWAL,"-3.775216, -139.394087",179.199.191.211,2024-12-27 06:43:47.537,SUCCESS,0,0.52
135,10369,3827,NULL,7553.15,EUR,DEPOSIT,"62.248841, 13.586745",168.14.73.40,2025-12-13 20:32:47.547,SUCCESS,73,0.31
136,20274,1397,NULL,9933.59,EUR,PAYMENT,"20.239473, 66.319597",149.182.235.25,2024-05-31 09:16:47.557,SUCCESS,14,0.44
137,14959,685,3406,5177.02,EUR,PAYMENT,"-68.209646, 106.913783",186.27.122.243,2025-09-15 01:19:47.567,SUCCESS,62,0.49
138,21787,1790,NULL,7430.34,CHF,WITHDRAWAL,"40.338364, -1.227079",130.216.60.254,2026-01-10 23:46:47.577,SUCCESS,81,0.40
139,18175,4738,NULL,3383.12,CHF,TRANSFER,"-32.665411, -70.789646",57.46.100.125,2024-10-25 00:39:47.587,SUCCESS,14,0.25
140,21633,3962,NULL,6930.10,CHF,TRANSFER,"57.514619, 103.215167",99.86.209.53,2024-11-26 23:09:47.597,SUCCESS,24,0.39
141,23632,3631,670,139.78,CHF,DEPOSIT,"21.255340, 172.680914",63.141.150.114,2024-09-27 07:45:47.607,SUCCESS,92,0.11
142,19288,1167,1270,2202.56,EUR,TRANSFER,"-36.199209, 65.673527",239.143.42.240,2025-10-19 08:02:47.620,SUCCESS,16,0.95
143,22877,3064,4580,6022.84,GBP,DEPOSIT,"74.863860, 114.206264",34.17.89.249,2025-12-03 19:12:47.630,SUCCESS,19,0.91
144,15497,3964,NULL,3778.22,USD,PAYMENT,"76.771470, -170.318438",47.254.33.77,2025-02-03 18:12:47.640,SUCCESS,61,0.19
145,16521,877,NULL,2872.36,CHF,WITHDRAWAL,"47.582510, 137.461625",161.59.61.99,2025-07-09 09:14:47.650,SUCCESS,71,0.29
146,14519,1065,2542,489.47,EUR,TRANSFER,"-39.093225, -81.099381",88.171.168.202,2025-02-03 22:14:47.660,SUCCESS,95,0.18
147,15912,948,NULL,398.49,EUR,TRANSFER,"55.483874, 160.529588",55.7.75.138,2025-07-03 09:05:47.670,SUCCESS,48,0.31
148,15227,1807,3894,9268.13,EUR,DEPOSIT,"-6.087634, -0.759020",124.188.144.46,2025-01-05 18:28:47.680,SUCCESS,74,0.10
149,22633,4833,NULL,4537.74,EUR,DEPOSIT,"-34.389789, -141.205716",47.160.216.63,2025-04-24 14:26:47.690,FAILED,69,0.28
150,17218,4890,2416,4426.30,USD,WITHDRAWAL,"75.433949, 156.417712",77.53.231.229,2024-05-20 12:30:47.700,SUCCESS,75,0.14
151,6153,2892,1910,3808.20,EUR,PAYMENT,"57.165053, 21.459866",212.250.198.112,2024-03-28 16:47:47.710,SUCCESS,35,0.13
152,563,3784,2712,2264.09,GBP,WITHDRAWAL,"-87.267652, -37.736311",97.67.12.247,2024-07-17 18:43:47.723,SUCCESS,55,0.12
153,23288,548,1504,4802.96,CHF,PAYMENT,"31.284421, -72.257644",116.234.24.159,2025-05-02 01:38:47.730,SUCCESS,69,0.26
154,14558,2922,4046,522.93,CHF,PAYMENT,"-67.845809, 27.246514",178.178.95.204,2024-02-14 22:54:47.740,SUCCESS,4,0.07
155,15120,2820,NULL,3638.30,EUR,WITHDRAWAL,"21.176866, -49.565518",94.76.75.170,2025-11-22 04:49:47.750,SUCCESS,56,0.35
156,14957,794,NULL,5424.53,USD,PAYMENT,"60.495396, 27.781994",104.133.48.5,2025-05-26 19:58:47.760,SUCCESS,93,0.84
157,16326,2598,NULL,817.41,USD,PAYMENT,"56.128164, -83.609362",79.95.163.128,2026-02-03 08:58:47.773,SUCCESS,36,0.21
158,22347,4748,2642,9499.72,CHF,DEPOSIT,"66.001130, -130.199515",85.73.50.158,2024-10-30 08:00:47.783,SUCCESS,77,0.17
159,23114,3802,NULL,4059.59,CHF,PAYMENT,"-35.677629, -43.032043",197.23.63.35,2025-03-25 19:52:47.793,SUCCESS,49,0.34
160,21040,1804,3055,4912.86,GBP,WITHDRAWAL,"-12.339205, -6.074078",65.20.228.8,2025-05-28 09:38:47.807,SUCCESS,52,0.09
161,15088,4765,3254,3637.36,EUR,TRANSFER,"51.410609, -21.160382",217.89.127.197,2024-04-20 13:22:47.817,SUCCESS,41,0.57
162,18400,2377,NULL,4179.19,USD,WITHDRAWAL,"-52.416502, 52.389458",29.4.90.34,2024-08-04 20:23:47.830,SUCCESS,31,0.40
163,16459,434,1398,7303.40,CHF,WITHDRAWAL,"-42.102411, -122.577056",138.58.227.174,2025-11-14 12:31:47.840,SUCCESS,26,0.62
164,22148,4003,3369,9263.06,CHF,DEPOSIT,"-56.455581, -138.049998",11.76.66.217,2025-03-16 23:57:47.853,SUCCESS,37,0.20
165,18949,4425,NULL,5415.92,CHF,PAYMENT,"78.871062, 82.820879",14.90.34.64,2025-01-11 21:51:47.863,SUCCESS,92,0.61
166,16573,2369,1484,6392.13,EUR,PAYMENT,"-24.145505, -165.974936",13.32.184.84,2025-05-01 12:54:47.877,SUCCESS,64,0.03
167,18013,3486,NULL,8990.27,EUR,PAYMENT,"81.329397, -119.014571",114.127.236.246,2025-12-19 13:08:47.887,SUCCESS,100,0.12
168,23056,2669,NULL,4041.54,GBP,TRANSFER,"-72.064269, 29.899996",220.133.88.99,2025-04-21 00:18:47.900,SUCCESS,37,0.56
169,22283,1168,2925,6069.83,CHF,DEPOSIT,"3.969788, -63.533193",169.230.149.157,2026-01-13 16:52:47.910,FAILED,53,0.05
170,15144,1072,NULL,6967.20,GBP,DEPOSIT,"79.271769, -32.515272",154.186.112.100,2025-06-28 04:14:47.923,SUCCESS,53,0.43
171,23590,2526,NULL,4520.78,EUR,TRANSFER,"-74.464441, -31.801173",163.195.109.47,2025-01-05 05:21:47.933,SUCCESS,30,0.87
172,17081,475,NULL,2424.61,EUR,WITHDRAWAL,"15.226402, 154.076844",126.104.202.187,2026-01-02 14:25:47.943,SUCCESS,39,0.79
173,22376,3606,774,7202.59,EUR,DEPOSIT,"35.307927, -142.867844",120.112.70.229,2024-05-16 13:14:47.957,SUCCESS,40,0.31
174,19501,57,NULL,1103.58,EUR,DEPOSIT,"27.823168, -138.916409",20.215.61.65,2026-01-08 07:16:47.967,SUCCESS,85,0.93
175,16801,3071,215,7392.41,CHF,PAYMENT,"12.544191, 19.794464",125.219.35.239,2026-01-06 13:08:47.977,SUCCESS,100,0.29
176,17147,4788,3985,3022.51,CHF,DEPOSIT,"-89.806174, -128.903534",170.24.3.25,2024-07-03 18:19:47.990,SUCCESS,54,0.62
177,20438,4277,NULL,9537.56,CHF,DEPOSIT,"-23.990185, -48.324004",0.19.216.34,2025-08-31 03:16:48.000,SUCCESS,28,0.81
178,18517,1166,653,6450.30,CHF,PAYMENT,"-8.519369, 56.721985",112.154.226.115,2024-02-15 18:10:48.013,FAILED,51,0.85
179,21729,1674,1963,8589.60,CHF,DEPOSIT,"0.096992, -146.490263",87.145.29.59,2024-06-25 20:53:48.027,SUCCESS,99,0.05
180,21882,3327,4984,8374.06,CHF,TRANSFER,"-39.787535, 74.049498",125.138.41.19,2025-06-07 00:21:48.040,SUCCESS,18,0.89
181,17077,1279,1048,4153.42,CHF,PAYMENT,"-30.200937, -4.676019",161.89.136.100,2026-01-27 20:41:48.053,SUCCESS,15,0.10
182,7383,2050,NULL,5459.76,CHF,DEPOSIT,"2.266140, 121.651016",116.25.31.135,2025-02-17 12:25:48.067,SUCCESS,61,0.35
