rule_id,rule_name,description,threshold_value,weight,active
53,Rule_53,Fraud detection rule for pattern 81,1876.55,2,1
54,Rule_54,Fraud detection rule for pattern 518,3038.89,1,1
55,Rule_55,Fraud detection rule for pattern 54,9553.17,2,1
56,Rule_56,Fraud detection rule for pattern 860,3383.32,1,1
57,Rule_57,Fraud detection rule for pattern 317,74.08,3,1
58,Rule_58,Fraud detection rule for pattern 605,9252.07,1,1
59,Rule_59,Fraud detection rule for pattern 502,1948.48,2,1
60,Rule_60,Fraud detection rule for pattern 483,7108.43,4,1
61,Rule_61,Fraud detection rule for pattern 688,363.73,5,1
62,Rule_62,Fraud detection rule for pattern 234,1448.01,1,1
63,Rule_63,Fraud detection rule for pattern 404,9049.88,2,1
64,Rule_64,Fraud detection rule for pattern 116,2899.90,5,1
65,Rule_65,Fraud detection rule for pattern 609,2682.58,3,1
66,Rule_66,Fraud detection rule for pattern 89,3648.30,3,1
67,Rule_67,Fraud detection rule for pattern 791,6618.97,5,1
68,Rule_68,Fraud detection rule for pattern 827,5969.44,3,1
69,Rule_69,Fraud detection rule for pattern 161,7939.36,4,1
70,Rule_70,Fraud detection rule for pattern 163,5601.21,3,1
71,Rule_71,Fraud detection rule for pattern 440,3213.16,5,1
72,Rule_72,Fraud detection rule for pattern 355,6551.89,3,1
73,Rule_73,Fraud detection rule for pattern 473,7061.55,4,1
74,Rule_74,Fraud detection rule for pattern 570,110.51,5,1
75,Rule_75,Fraud detection rule for pattern 921,1666.93,3,1
76,Rule_76,Fraud detection rule for pattern 298,6931.46,3,1
77,Rule_77,Fraud detection rule for pattern 363,4568.82,3,1
78,Rule_78,Fraud detection rule for pattern 597,3788.21,3,1
79,Rule_79,Fraud detection rule for pattern 77,2498.57,5,1
80,Rule_80,Fraud detection rule for pattern 911,8163.18,1,1
81,Rule_81,Fraud detection rule for pattern 646,6788.35,3,1
82,Rule_82,Fraud detection rule for pattern 114,9783.82,3,1
83,Rule_83,Fraud detection rule for pattern 985,5139.08,4,1
84,Rule_84,Fraud detection rule for pattern 948,7012.87,3,1
85,Rule_85,Fraud detection rule for pattern 851,4991.11,3,0
86,Rule_86,Fraud detection rule for pattern 287,2646.86,5,1
87,Rule_87,Fraud detection rule for pattern 442,5701.18,2,1
88,Rule_88,Fraud detection rule for pattern 609,5351.71,5,1
89,Rule_89,Fraud detection rule for pattern 225,6652.27,5,1
90,Rule_90,Fraud detection rule for pattern 492,5496.09,1,1
91,Rule_91,Fraud detection rule for pattern 428,8964.61,2,1
92,Rule_92,Fraud detection rule for pattern 374,8563.95,4,0
93,Rule_93,Fraud detection rule for pattern 489,8877.27,2,1
94,Rule_94,Fraud detection rule for pattern 345,3298.47,3,1
95,Rule_95,Fraud detection rule for pattern 39,284.18,2,0
96,Rule_96,Fraud detection rule for pattern 744,4565.36,4,1
97,Rule_97,Fraud detection rule for pattern 92,5439.47,4,1
98,Rule_98,Fraud detection rule for pattern 894,9165.97,4,1
99,Rule_99,Fraud detection rule for pattern 597,8778.10,4,1
100,Rule_100,Fraud detection rule for pattern 637,1691.14,2,1
101,Rule_101,Fraud detection rule for pattern 938,2343.45,3,1
102,Rule_102,Fraud detection rule for pattern 338,5558.90,2,1
103,Rule_103,Fraud detection rule for pattern 28,1638.74,4,1
104,Rule_104,Fraud detection rule for pattern 170,8944.59,3,1
105,Rule_105,Fraud detection rule for pattern 700,9533.19,1,1
106,Rule_106,Fraud detection rule for pattern 518,2880.98,2,1
107,Rule_107,Fraud detection rule for pattern 694,2759.67,3,1
108,Rule_108,Fraud detection rule for pattern 23,8001.07,4,1
109,Rule_109,Fraud detection rule for pattern 925,7700.06,5,1
110,Rule_110,Fraud detection rule for pattern 835,2808.33,2,1
111,Rule_111,Fraud detection rule for pattern 200,6891.29,1,1
112,Rule_112,Fraud detection rule for pattern 297,8287.68,3,1
113,Rule_113,Fraud detection rule for pattern 111,287.95,5,1
114,Rule_114,Fraud detection rule for pattern 45,9702.89,1,1
115,Rule_115,Fraud detection rule for pattern 783,7554.32,4,1
116,Rule_116,Fraud detection rule for pattern 568,7992.65,4,1
117,Rule_117,Fraud detection rule for pattern 435,838.29,2,1
118,Rule_118,Fraud detection rule for pattern 116,5027.88,4,1
119,Rule_119,Fraud detection rule for pattern 385,5194.94,5,1
120,Rule_120,Fraud detection rule for pattern 279,6674.83,3,1
121,Rule_121,Fraud detection rule for pattern 474,6609.88,3,1
122,Rule_122,Fraud detection rule for pattern 727,7859.91,2,1
123,Rule_123,Fraud detection rule for pattern 144,4558.46,5,1
124,Rule_124,Fraud detection rule for pattern 820,4071.75,5,0
125,Rule_125,Fraud detection rule for pattern 44,9889.05,4,1
126,Rule_126,Fraud detection rule for pattern 270,3874.05,3,1
127,Rule_127,Fraud detection rule for pattern 769,1257.80,2,1
128,Rule_128,Fraud detection rule for pattern 812,1796.09,2,1
129,Rule_129,Fraud detection rule for pattern 855,5207.59,5,0
130,Rule_130,Fraud detection rule for pattern 848,2999.12,2,1
131,Rule_131,Fraud detection rule for pattern 570,5368.85,4,1
132,Rule_132,Fraud detection rule for pattern 216,7657.12,4,1
133,Rule_133,Fraud detection rule for pattern 450,5467.85,2,1
134,Rule_134,Fraud detection rule for pattern 956,8110.39,5,1
135,Rule_135,Fraud detection rule for pattern 233,2403.74,2,1
136,Rule_136,Fraud detection rule for pattern 278,7195.53,4,1
137,Rule_137,Fraud detection rule for pattern 476,8178.43,2,1
138,Rule_138,Fraud detection rule for pattern 297,8169.15,1,1
139,Rule_139,Fraud detection rule for pattern 715,9407.82,2,1
140,Rule_140,Fraud detection rule for pattern 355,3360.38,4,1
141,Rule_141,Fraud detection rule for pattern 963,1363.73,5,1
142,Rule_142,Fraud detection rule for pattern 741,8993.74,5,1
143,Rule_143,Fraud detection rule for pattern 650,7340.54,2,1
144,Rule_144,Fraud detection rule for pattern 264,3726.91,3,1
145,Rule_145,Fraud detection rule for pattern 811,812.48,3,1
146,Rule_146,Fraud detection rule for pattern 882,4077.70,3,1
147,Rule_147,Fraud detection rule for pattern 143,530.43,5,1
148,Rule_148,Fraud detection rule for pattern 845,9814.02,2,0
149,Rule_149,Fraud detection rule for pattern 990,5035.70,3,1
150,Rule_150,Fraud detection rule for pattern 175,1625.14,4,1
151,Rule_151,Fraud detection rule for pattern 634,3300.94,3,1
152,Rule_152,Fraud detection rule for pattern 945,9547.23,2,1
153,Rule_153,Fraud detection rule for pattern 872,2332.35,3,1
154,Rule_154,Fraud detection rule for pattern 580,1899.92,4,1
155,Rule_155,Fraud detection rule for pattern 267,2827.97,2,1
156,Rule_156,Fraud detection rule for pattern 593,610.68,1,1
157,Rule_157,Fraud detection rule for pattern 585,185.23,3,1
158,Rule_158,Fraud detection rule for pattern 234,5443.11,1,1
159,Rule_159,Fraud detection rule for pattern 456,1887.20,1,1
160,Rule_160,Fraud detection rule for pattern 547,7122.23,4,1
161,Rule_161,Fraud detection rule for pattern 273,1885.13,4,1
162,Rule_162,Fraud detection rule for pattern 765,386.33,4,1
163,Rule_163,Fraud detection rule for pattern 570,8811.76,5,1
164,Rule_164,Fraud detection rule for pattern 926,8163.55,4,0
165,Rule_165,Fraud detection rule for pattern 78,2079.75,3,1
166,Rule_166,Fraud detection rule for pattern 749,1777.02,1,1
167,Rule_167,Fraud detection rule for pattern 555,1192.47,3,1
168,Rule_168,Fraud detection rule for pattern 288,5264.55,1,1
169,Rule_169,Fraud detection rule for pattern 695,2407.64,5,1
170,Rule_170,Fraud detection rule for pattern 136,6705.75,5,1
171,Rule_171,Fraud detection rule for pattern 488,6612.93,3,1
172,Rule_172,Fraud detection rule for pattern 798,5062.03,4,0
173,Rule_173,Fraud detection rule for pattern 718,5851.74,1,1
174,Rule_174,Fraud detection rule for pattern 579,7214.51,2,1
175,Rule_175,Fraud detection rule for pattern 778,773.33,1,1
176,Rule_176,Fraud detection rule for pattern 134,3865.68,2,1
177,Rule_177,Fraud detection rule for pattern 961,1066.16,5,1
178,Rule_178,Fraud detection rule for pattern 418,3729.68,3,1
179,Rule_179,Fraud detection rule for pattern 143,7358.74,1,1
180,Rule_180,Fraud detection rule for pattern 830,4017.44,4,1
181,Rule_181,Fraud detection rule for pattern 939,9736.27,2,1
182,Rule_182,Fraud detection rule for pattern 288,9758.40,5,1
183,Rule_183,Fraud detection rule for pattern 22,8700.75,3,1
184,Rule_184,Fraud detection rule for pattern 942,6436.31,4,1
185,Rule_185,Fraud detection rule for pattern 564,172.07,5,1
186,Rule_186,Fraud detection rule for pattern 507,176.60,1,1
187,Rule_187,Fraud detection rule for pattern 839,5229.51,2,1
188,Rule_188,Fraud detection rule for pattern 781,7629.14,5,1
189,Rule_189,Fraud detection rule for pattern 306,7723.52,4,1
190,Rule_190,Fraud detection rule for pattern 672,6322.80,5,1
191,Rule_191,Fraud detection rule for pattern 422,7799.11,1,1
192,Rule_192,Fraud detection rule for pattern 974,6348.25,3,0
193,Rule_193,Fraud detection rule for pattern 235,478.17,5,1
194,Rule_194,Fraud detection rule for pattern 37,3522.94,5,1
195,Rule_195,Fraud detection rule for pattern 177,7039.47,2,1
196,Rule_196,Fraud detection rule for pattern 978,9680.90,1,1
197,Rule_197,Fraud detection rule for pattern 864,7863.83,4,1
198,Rule_198,Fraud detection rule for pattern 359,8391.58,5,1
199,Rule_199,Fraud detection rule for pattern 214,8259.80,2,1
200,Rule_200,Fraud detection rule for pattern 874,3702.21,3,1
201,Rule_201,Fraud detection rule for pattern 775,558.28,1,1
202,Rule_202,Fraud detection rule for pattern 245,5343.05,1,1
203,Rule_203,Fraud detection rule for pattern 933,3350.62,2,1
204,Rule_204,Fraud detection rule for pattern 90,5098.57,1,1
205,Rule_205,Fraud detection rule for pattern 23,962.12,4,1
206,Rule_206,Fraud detection rule for pattern 52,4404.48,1,1
207,Rule_207,Fraud detection rule for pattern 357,2761.48,1,1
208,Rule_208,Fraud detection rule for pattern 591,6670.20,1,0
209,Rule_209,Fraud detection rule for pattern 855,954.59,5,1
210,Rule_210,Fraud detection rule for pattern 132,9023.94,3,0
211,Rule_211,Fraud detection rule for pattern 783,6444.71,4,0
212,Rule_212,Fraud detection rule for pattern 334,2797.55,5,1
213,Rule_213,Fraud detection rule for pattern 231,6372.87,2,1
214,Rule_214,Fraud detection rule for pattern 656,8990.13,5,0
215,Rule_215,Fraud detection rule for pattern 756,2668.83,5,1
216,Rule_216,Fraud detection rule for pattern 189,4609.07,3,1
217,Rule_217,Fraud detection rule for pattern 810,5037.51,1,1
218,Rule_218,Fraud detection rule for pattern 705,6154.41,4,1
219,Rule_219,Fraud detection rule for pattern 58,9725.85,1,1
220,Rule_220,Fraud detection rule for pattern 124,8394.27,1,1
221,Rule_221,Fraud detection rule for pattern 576,7112.72,1,1
222,Rule_222,Fraud detection rule for pattern 499,795.41,1,1
223,Rule_223,Fraud detection rule for pattern 825,8841.88,2,1
224,Rule_224,Fraud detection rule for pattern 323,9183.54,3,1
225,Rule_225,Fraud detection rule for pattern 284,6545.59,3,1
226,Rule_226,Fraud detection rule for pattern 176,8933.68,3,1
227,Rule_227,Fraud detection rule for pattern 872,4303.45,5,1
228,Rule_228,Fraud detection rule for pattern 785,1668.84,5,1
229,Rule_229,Fraud detection rule for pattern 962,2029.43,5,1
230,Rule_230,Fraud detection rule for pattern 111,9682.56,3,0
231,Rule_231,Fraud detection rule for pattern 357,8344.49,3,1
232,Rule_232,Fraud detection rule for pattern 274,5949.59,1,1
233,Rule_233,Fraud detection rule for pattern 421,6894.08,3,1
234,Rule_234,Fraud detection rule for pattern 502,210.06,4,1
235,Rule_235,Fraud detection rule for pattern 776,8564.76,5,1
236,Rule_236,Fraud detection rule for pattern 351,7384.42,5,1
237,Rule_237,Fraud detection rule for pattern 804,6731.97,5,1
238,Rule_238,Fraud detection rule for pattern 776,7403.56,5,1
239,Rule_239,Fraud detection rule for pattern 93,5051.84,2,1
240,Rule_240,Fraud detection rule for pattern 306,6242.51,4,1
241,Rule_241,Fraud detection rule for pattern 886,3180.79,2,1
242,Rule_242,Fraud detection rule for pattern 42,461.52,1,0
243,Rule_243,Fraud detection rule for pattern 447,2820.91,2,1
244,Rule_244,Fraud detection rule for pattern 758,4072.45,1,1
245,Rule_245,Fraud detection rule for pattern 880,8667.43,3,1
246,Rule_246,Fraud detection rule for pattern 460,6064.25,1,1
247,Rule_247,Fraud detection rule for pattern 183,7617.17,5,1
248,Rule_248,Fraud detection rule for pattern 27,1951.46,4,1
249,Rule_249,Fraud detection rule for pattern 315,5536.70,1,0
250,Rule_250,Fraud detection rule for pattern 621,6751.90,4,1
251,Rule_251,Fraud detection rule for pattern 635,7850.84,4,1
252,Rule_252,Fraud detection rule for pattern 216,3713.83,4,1
253,Rule_253,Fraud detection rule for pattern 593,4108.35,3,1
254,Rule_254,Fraud detection rule for pattern 226,3600.87,5,1
255,Rule_255,Fraud detection rule for pattern 542,9422.75,2,1
256,Rule_256,Fraud detection rule for pattern 584,4438.58,2,1
257,Rule_257,Fraud detection rule for pattern 778,6827.53,3,1
258,Rule_258,Fraud detection rule for pattern 565,4163.97,1,1
259,Rule_259,Fraud detection rule for pattern 959,3542.56,1,1
260,Rule_260,Fraud detection rule for pattern 195,4038.83,1,1
261,Rule_261,Fraud detection rule for pattern 599,7076.28,3,0
262,Rule_262,Fraud detection rule for pattern 990,5618.89,2,1
263,Rule_263,Fraud detection rule for pattern 94,5739.20,5,1
264,Rule_264,Fraud detection rule for pattern 41,6208.30,1,1
265,Rule_265,Fraud detection rule for pattern 551,3983.08,4,1
266,Rule_266,Fraud detection rule for pattern 507,3263.32,3,1
267,Rule_267,Fraud detection rule for pattern 896,468.96,3,1
268,Rule_268,Fraud detection rule for pattern 367,7201.74,3,1
269,Rule_269,Fraud detection rule for pattern 62,1842.73,1,1
270,Rule_270,Fraud detection rule for pattern 826,3477.95,5,1
271,Rule_271,Fraud detection rule for pattern 361,4208.68,1,1
272,Rule_272,Fraud detection rule for pattern 237,9147.37,5,1
273,Rule_273,Fraud detection rule for pattern 879,8138.28,3,1
274,Rule_274,Fraud detection rule for pattern 653,4862.65,4,1
275,Rule_275,Fraud detection rule for pattern 157,5934.84,3,1
276,Rule_276,Fraud detection rule for pattern 839,8798.13,5,1
277,Rule_277,Fraud detection rule for pattern 207,9661.10,3,0
278,Rule_278,Fraud detection rule for pattern 33,2155.21,2,1
279,Rule_279,Fraud detection rule for pattern 439,5396.94,2,1
280,Rule_280,Fraud detection rule for pattern 152,8078.10,1,1
281,Rule_281,Fraud detection rule for pattern 969,1695.19,2,1
282,Rule_282,Fraud detection rule for pattern 481,343.87,1,1
283,Rule_283,Fraud detection rule for pattern 797,5859.08,2,1
284,Rule_284,Fraud detection rule for pattern 412,5921.36,3,1
285,Rule_285,Fraud detection rule for pattern 374,3601.74,2,1
286,Rule_286,Fraud detection rule for pattern 106,4073.97,1,1
287,Rule_287,Fraud detection rule for pattern 655,7576.39,3,1
288,Rule_288,Fraud detection rule for pattern 461,8026.38,2,1
289,Rule_289,Fraud detection rule for pattern 707,5690.39,5,1
290,Rule_290,Fraud detection rule for pattern 319,4255.55,1,1
291,Rule_291,Fraud detection rule for pattern 86,6420.11,3,0
292,Rule_292,Fraud detection rule for pattern 551,1158.35,2,1
293,Rule_293,Fraud detection rule for pattern 615,242.78,2,1
294,Rule_294,Fraud detection rule for pattern 992,6766.67,2,1
295,Rule_295,Fraud detection rule for pattern 540,758.12,1,1
296,Rule_296,Fraud detection rule for pattern 874,4642.87,3,1
297,Rule_297,Fraud detection rule for pattern 658,9938.67,4,1
298,Rule_298,Fraud detection rule for pattern 467,7382.93,5,1
299,Rule_299,Fraud detection rule for pattern 271,4478.94,5,1
300,Rule_300,Fraud detection rule for pattern 223,1488.24,1,1
301,Rule_301,Fraud detection rule for pattern 778,6392.61,4,1
302,Rule_302,Fraud detection rule for pattern 94,5547.48,2,1
303,Rule_303,Fraud detection rule for pattern 517,558.37,3,1
304,Rule_304,Fraud detection rule for pattern 436,4058.00,1,1
305,Rule_305,Fraud detection rule for pattern 773,3882.75,1,0
306,Rule_306,Fraud detection rule for pattern 557,703.81,3,1
307,Rule_307,Fraud detection rule for pattern 94,7302.93,4,1
308,Rule_308,Fraud detection rule for pattern 565,888.25,5,1
309,Rule_309,Fraud detection rule for pattern 180,6847.40,1,1
310,Rule_310,Fraud detection rule for pattern 219,3197.20,5,1
311,Rule_311,Fraud detection rule for pattern 817,7465.78,3,1
312,Rule_312,Fraud detection rule for pattern 885,1311.30,4,1
313,Rule_313,Fraud detection rule for pattern 463,2393.35,2,1
314,Rule_314,Fraud detection rule for pattern 896,5554.74,4,1
315,Rule_315,Fraud detection rule for pattern 185,8880.46,1,1
316,Rule_316,Fraud detection rule for pattern 919,3078.16,4,1
317,Rule_317,Fraud detection rule for pattern 877,5334.13,2,1
318,Rule_318,Fraud detection rule for pattern 909,1521.46,1,1
319,Rule_319,Fraud detection rule for pattern 457,6206.19,2,1
320,Rule_320,Fraud detection rule for pattern 674,7988.74,1,1
321,Rule_321,Fraud detection rule for pattern 569,1676.89,2,1
322,Rule_322,Fraud detection rule for pattern 754,4339.03,3,1
323,Rule_323,Fraud detection rule for pattern 545,1924.78,3,1
324,Rule_324,Fraud detection rule for pattern 878,6577.65,4,1
325,Rule_325,Fraud detection rule for pattern 688,7166.38,3,1
326,Rule_326,Fraud detection rule for pattern 756,6926.35,4,1
327,Rule_327,Fraud detection rule for pattern 619,4055.75,3,1
328,Rule_328,Fraud detection rule for pattern 410,1475.35,1,1
329,Rule_329,Fraud detection rule for pattern 77,27.20,1,1
330,Rule_330,Fraud detection rule for pattern 887,4922.80,3,1
331,Rule_331,Fraud detection rule for pattern 631,1103.84,2,1
332,Rule_332,Fraud detection rule for pattern 77,6729.54,1,1
333,Rule_333,Fraud detection rule for pattern 71,5912.68,5,1
334,Rule_334,Fraud detection rule for pattern 844,7298.73,3,0
335,Rule_335,Fraud detection rule for pattern 888,8031.11,2,1
336,Rule_336,Fraud detection rule for pattern 202,4711.61,1,1
337,Rule_337,Fraud detection rule for pattern 999,6270.55,5,1
338,Rule_338,Fraud detection rule for pattern 248,505.75,3,1
339,Rule_339,Fraud detection rule for pattern 443,6920.04,2,1
340,Rule_340,Fraud detection rule for pattern 108,9845.85,4,1
341,Rule_341,Fraud detection rule for pattern 50,3128.33,4,1
342,Rule_342,Fraud detection rule for pattern 653,3639.51,4,1
343,Rule_343,Fraud detection rule for pattern 955,2949.61,3,1
344,Rule_344,Fraud detection rule for pattern 55,7039.50,1,1
345,Rule_345,Fraud detection rule for pattern 729,3389.32,2,1
346,Rule_346,Fraud detection rule for pattern 297,9224.54,5,1
347,Rule_347,Fraud detection rule for pattern 269,4511.01,4,1
348,Rule_348,Fraud detection rule for pattern 237,2886.51,4,1
349,Rule_349,Fraud detection rule for pattern 351,3341.34,2,1
350,Rule_350,Fraud detection rule for pattern 871,1867.24,2,1
351,Rule_351,Fraud detection rule for pattern 592,2483.33,4,0
352,Rule_352,Fraud detection rule for pattern 516,4668.01,3,0
353,Rule_353,Fraud detection rule for pattern 977,6404.96,4,1
354,Rule_354,Fraud detection rule for pattern 829,6000.79,2,1
355,Rule_355,Fraud detection rule for pattern 199,7874.37,2,1
356,Rule_356,Fraud detection rule for pattern 489,7270.38,3,1
357,Rule_357,Fraud detection rule for pattern 954,4416.95,2,1
358,Rule_358,Fraud detection rule for pattern 629,1493.03,3,1
359,Rule_359,Fraud detection rule for pattern 897,9533.45,3,1
360,Rule_360,Fraud detection rule for pattern 477,5622.56,1,1
361,Rule_361,Fraud detection rule for pattern 875,5611.45,3,1
362,Rule_362,Fraud detection rule for pattern 742,7697.11,3,0
363,Rule_363,Fraud detection rule for pattern 759,3217.28,1,1
364,Rule_364,Fraud detection rule for pattern 35,1462.79,3,1
365,Rule_365,Fraud detection rule for pattern 277,3342.40,1,1
366,Rule_366,Fraud detection rule for pattern 559,705.48,1,1
367,Rule_367,Fraud detection rule for pattern 504,7399.73,3,1
368,Rule_368,Fraud detection rule for pattern 868,2491.43,1,1
369,Rule_369,Fraud detection rule for pattern 99,6128.09,2,0
370,Rule_370,Fraud detection rule for pattern 136,4676.11,5,1
371,Rule_371,Fraud detection rule for pattern 104,7897.05,1,1
372,Rule_372,Fraud detection rule for pattern 13,8188.73,3,1
373,Rule_373,Fraud detection rule for pattern 46,4561.17,1,1
374,Rule_374,Fraud detection rule for pattern 189,4761.19,1,1
375,Rule_375,Fraud detection rule for pattern 521,4985.17,2,1
376,Rule_376,Fraud detection rule for pattern 525,4696.87,3,1
377,Rule_377,Fraud detection rule for pattern 537,7871.68,2,1
378,Rule_378,Fraud detection rule for pattern 416,645.66,4,1
379,Rule_379,Fraud detection rule for pattern 788,5894.57,3,0
380,Rule_380,Fraud detection rule for pattern 832,9765.61,1,1
381,Rule_381,Fraud detection rule for pattern 431,6946.25,3,1
382,Rule_382,Fraud detection rule for pattern 410,1065.22,4,1
383,Rule_383,Fraud detection rule for pattern 951,5130.85,1,0
384,Rule_384,Fraud detection rule for pattern 746,9065.19,3,0
385,Rule_385,Fraud detection rule for pattern 378,9951.17,2,1
386,Rule_386,Fraud detection rule for pattern 464,3078.06,3,1
387,Rule_387,Fraud detection rule for pattern 636,3380.73,5,1
388,Rule_388,Fraud detection rule for pattern 997,1630.54,2,1
389,Rule_389,Fraud detection rule for pattern 32,8308.78,5,1
390,Rule_390,Fraud detection rule for pattern 464,3709.48,2,1
391,Rule_391,Fraud detection rule for pattern 826,5451.25,5,1
392,Rule_392,Fraud detection rule for pattern 492,9501.78,4,1
393,Rule_393,Fraud detection rule for pattern 738,6638.25,2,1
394,Rule_394,Fraud detection rule for pattern 570,7012.60,1,1
395,Rule_395,Fraud detection rule for pattern 280,117.44,5,1
396,Rule_396,Fraud detection rule for pattern 222,7621.23,2,1
397,Rule_397,Fraud detection rule for pattern 401,7049.89,1,1
398,Rule_398,Fraud detection rule for pattern 864,6789.66,2,1
399,Rule_399,Fraud detection rule for pattern 662,4826.85,5,1
400,Rule_400,Fraud detection rule for pattern 534,3802.49,1,1
401,Rule_401,Fraud detection rule for pattern 59,2975.13,1,1
402,Rule_402,Fraud detection rule for pattern 891,9889.83,1,1
403,Rule_403,Fraud detection rule for pattern 995,4966.98,4,1
404,Rule_404,Fraud detection rule for pattern 182,7504.82,4,1
405,Rule_405,Fraud detection rule for pattern 391,1055.28,5,1
406,Rule_406,Fraud detection rule for pattern 156,840.48,5,1
407,Rule_407,Fraud detection rule for pattern 664,6210.44,3,1
408,Rule_408,Fraud detection rule for pattern 776,4740.92,1,0
409,Rule_409,Fraud detection rule for pattern 217,8553.34,2,1
410,Rule_410,Fraud detection rule for pattern 760,3151.48,2,1
411,Rule_411,Fraud detection rule for pattern 245,699.57,1,0
412,Rule_412,Fraud detection rule for pattern 156,9172.19,5,1
413,Rule_413,Fraud detection rule for pattern 537,3280.11,4,1
414,Rule_414,Fraud detection rule for pattern 62,4585.48,2,1
415,Rule_415,Fraud detection rule for pattern 603,7055.81,2,1
416,Rule_416,Fraud detection rule for pattern 103,7901.71,1,1
417,Rule_417,Fraud detection rule for pattern 727,7482.99,3,1
418,Rule_418,Fraud detection rule for pattern 917,9648.21,5,0
419,Rule_419,Fraud detection rule for pattern 954,4953.83,4,0
420,Rule_420,Fraud detection rule for pattern 195,2508.87,5,1
421,Rule_421,Fraud detection rule for pattern 620,8150.61,1,1
422,Rule_422,Fraud detection rule for pattern 28,4390.60,1,1
423,Rule_423,Fraud detection rule for pattern 544,5272.79,3,1
424,Rule_424,Fraud detection rule for pattern 763,4123.91,3,1
425,Rule_425,Fraud detection rule for pattern 970,7859.51,4,1
426,Rule_426,Fraud detection rule for pattern 280,5987.07,5,1
427,Rule_427,Fraud detection rule for pattern 384,1526.00,1,1
428,Rule_428,Fraud detection rule for pattern 460,163.98,1,1
429,Rule_429,Fraud detection rule for pattern 11,9286.78,1,1
430,Rule_430,Fraud detection rule for pattern 170,7457.71,3,1
431,Rule_431,Fraud detection rule for pattern 306,3184.82,5,1
432,Rule_432,Fraud detection rule for pattern 39,8818.50,1,1
433,Rule_433,Fraud detection rule for pattern 318,8922.09,3,1
434,Rule_434,Fraud detection rule for pattern 455,3461.53,2,1
435,Rule_435,Fraud detection rule for pattern 280,5384.68,3,1
436,Rule_436,Fraud detection rule for pattern 590,494.27,5,1
437,Rule_437,Fraud detection rule for pattern 809,8487.71,5,1
