alert_id,transaction_id,rule_id,risk_score,severity,created_at,resolved,analyst_id
28,6213,8127,33,LOW,2024-04-13 19:36:41.690,1,NULL
29,3626,5339,33,HIGH,2025-07-24 12:49:41.697,0,NULL
30,6331,8961,81,LOW,2024-05-16 04:57:41.707,0,NULL
31,4749,2432,22,LOW,2025-05-18 12:20:41.717,0,NULL
32,3163,7366,56,HIGH,2025-10-21 06:41:41.723,0,NULL
33,892,1458,89,LOW,2025-11-17 14:01:41.733,0,NULL
34,2240,5788,69,MEDIUM,2025-06-23 21:36:41.747,0,2399
35,7951,5678,22,MEDIUM,2024-06-16 19:06:41.753,0,NULL
36,1046,1869,49,MEDIUM,2024-09-20 09:30:41.767,0,6947
37,6607,3188,30,LOW,2025-02-04 20:06:41.783,1,2453
38,7093,760,27,MEDIUM,2025-10-11 10:51:41.793,1,NULL
39,1373,1882,37,HIGH,2024-09-09 14:46:41.800,0,NULL
40,8848,956,15,HIGH,2024-02-23 10:40:41.813,0,NULL
41,3801,4240,59,HIGH,2025-09-28 13:02:41.827,1,1878
42,3960,6027,49,HIGH,2026-01-22 05:39:41.837,1,NULL
43,8279,3103,23,LOW,2026-01-04 14:04:41.847,0,NULL
44,8874,8608,25,HIGH,2024-08-27 19:26:41.857,0,NULL
45,5245,3727,97,MEDIUM,2026-02-05 23:01:41.867,1,NULL
46,6601,8358,26,CRITICAL,2024-02-27 22:10:41.880,0,2479
47,2345,502,58,HIGH,2024-12-22 12:15:41.890,1,NULL
48,8842,1239,68,CRITICAL,2024-10-02 04:36:41.900,1,NULL
49,7300,6243,13,LOW,2024-04-25 20:18:41.910,1,NULL
50,8088,4461,36,HIGH,2024-04-12 13:33:41.917,0,NULL
51,8525,2455,73,HIGH,2025-12-27 14:59:41.927,0,NULL
52,1360,4398,25,MEDIUM,2024-03-15 07:22:41.940,0,879
53,3936,7281,97,CRITICAL,2024-04-28 10:20:41.947,1,NULL
54,8956,5497,3,MEDIUM,2024-02-12 00:02:41.953,1,NULL
55,5496,2213,89,HIGH,2025-04-19 05:02:41.960,0,NULL
56,4900,1801,96,HIGH,2025-04-17 03:51:41.980,0,2859
57,2228,3156,95,CRITICAL,2024-10-24 05:56:41.987,0,NULL
58,7681,1388,1,MEDIUM,2025-02-04 05:26:41.993,1,NULL
59,9044,7384,34,CRITICAL,2024-03-26 02:39:42.003,0,NULL
60,1825,8525,29,LOW,2025-07-11 01:37:42.017,1,4465
61,1613,6667,84,MEDIUM,2025-06-09 08:21:42.023,0,NULL
62,8056,117,3,CRITICAL,2024-06-04 23:53:42.033,1,5536
63,3609,5701,7,MEDIUM,2025-10-12 10:37:42.040,1,NULL
64,4874,3983,62,CRITICAL,2024-12-19 16:56:42.050,0,NULL
65,1221,2560,90,HIGH,2025-07-26 12:53:42.053,1,NULL
66,7341,2396,32,MEDIUM,2025-03-08 07:15:42.060,0,NULL
67,7734,1613,4,LOW,2025-03-31 22:00:42.067,0,NULL
68,554,6357,2,HIGH,2025-11-23 06:53:42.073,0,NULL
69,8758,8595,20,LOW,2024-11-18 01:56:42.080,0,NULL
70,7188,4442,47,LOW,2025-10-16 08:51:42.090,0,NULL
71,2314,6957,31,MEDIUM,2024-02-17 21:52:42.100,1,2563
72,7690,5683,51,LOW,2024-05-07 21:38:42.107,0,NULL
73,4476,1099,58,CRITICAL,2025-02-18 06:27:42.113,0,NULL
74,4734,1979,42,LOW,2025-12-26 01:06:42.120,0,NULL
75,5794,158,24,MEDIUM,2026-01-08 05:54:42.130,0,1099
76,5974,1121,74,HIGH,2025-05-26 23:53:42.137,0,NULL
77,6013,3617,25,LOW,2025-06-30 00:30:42.143,1,NULL
78,3449,4987,28,MEDIUM,2025-06-22 09:08:42.150,0,NULL
79,2881,1978,49,HIGH,2025-06-30 00:54:42.157,1,NULL
80,4006,8494,92,HIGH,2025-11-15 22:47:42.163,0,NULL
81,6684,2852,29,CRITICAL,2024-04-09 04:04:42.177,0,7789
82,8601,6778,90,LOW,2024-09-26 15:50:42.183,0,NULL
83,8810,6867,50,LOW,2025-01-26 14:16:42.190,0,NULL
84,9755,6222,52,CRITICAL,2024-05-09 13:27:42.197,1,NULL
85,9696,3256,76,MEDIUM,2024-12-10 17:00:42.203,0,NULL
86,9579,4399,1,LOW,2024-02-12 01:04:42.210,0,NULL
87,6103,520,81,LOW,2024-06-04 08:32:42.217,1,NULL
88,1100,6594,92,CRITICAL,2025-09-27 06:54:42.223,1,NULL
89,2619,7455,72,CRITICAL,2025-04-04 05:25:42.230,0,NULL
90,2069,8528,22,CRITICAL,2025-02-06 20:27:42.237,0,NULL
91,4205,2083,27,MEDIUM,2024-09-05 04:15:42.243,0,NULL
92,4824,3636,61,MEDIUM,2025-08-31 17:54:42.250,1,NULL
93,4617,3875,54,MEDIUM,2024-08-07 22:48:42.260,0,NULL
94,6858,8016,5,HIGH,2024-09-29 11:32:42.270,0,5825
95,8806,4242,60,HIGH,2025-07-31 17:06:42.277,1,NULL
96,7846,6548,78,MEDIUM,2024-11-23 06:57:42.283,0,NULL
97,8309,8911,55,MEDIUM,2025-01-11 01:37:42.290,0,NULL
98,1082,1241,49,CRITICAL,2026-01-25 15:06:42.297,0,NULL
99,3023,8873,34,LOW,2025-04-20 12:38:42.303,1,NULL
100,1510,3532,14,CRITICAL,2024-12-19 22:47:42.310,0,NULL
101,9501,2057,91,LOW,2025-10-23 19:25:42.317,0,NULL
102,4925,5896,87,LOW,2024-04-15 13:10:42.323,0,NULL
103,7114,2148,47,MEDIUM,2025-10-12 20:35:42.330,0,NULL
104,9825,5382,91,LOW,2025-04-22 20:11:42.340,0,999
105,4855,8430,90,CRITICAL,2024-10-09 14:53:42.347,0,NULL
106,1838,3666,45,HIGH,2025-04-07 19:14:42.353,1,NULL
107,9174,7666,5,HIGH,2025-02-19 07:28:42.360,0,NULL
108,8307,2207,23,MEDIUM,2024-08-23 16:28:42.373,0,4381
109,3969,8315,20,HIGH,2025-12-30 22:15:42.380,0,NULL
110,5543,2814,46,MEDIUM,2026-01-25 00:01:42.387,0,NULL
111,5043,6336,39,LOW,2026-02-04 08:59:42.393,1,NULL
112,7501,3096,60,LOW,2024-11-12 07:50:42.400,1,NULL
113,7481,2747,55,MEDIUM,2024-08-25 03:19:42.407,0,NULL
114,6565,2150,83,MEDIUM,2025-12-10 08:45:42.413,0,NULL
115,1723,7353,18,HIGH,2025-07-01 20:03:42.420,0,NULL
116,4353,6042,9,CRITICAL,2025-10-07 05:05:42.427,1,NULL
117,4060,7052,14,HIGH,2024-08-26 18:27:42.433,0,NULL
118,7493,7430,60,LOW,2025-08-16 20:29:42.440,0,NULL
119,3422,489,52,LOW,2025-08-18 13:33:42.447,1,NULL
120,5884,3555,82,MEDIUM,2024-04-11 03:41:42.457,0,6617
121,5691,2481,33,MEDIUM,2024-05-25 10:11:42.460,0,NULL
122,9093,5384,14,LOW,2025-04-09 11:18:42.470,0,NULL
123,6328,3136,64,CRITICAL,2025-10-18 20:24:42.477,0,NULL
124,9792,4374,71,CRITICAL,2024-03-28 00:48:42.487,0,2464
125,1854,7601,94,CRITICAL,2025-03-14 20:13:42.497,0,2895
126,6556,7213,67,CRITICAL,2026-02-04 04:20:42.503,1,8378
127,9082,2811,37,CRITICAL,2025-12-15 02:25:42.510,0,NULL
128,442,2403,34,MEDIUM,2025-09-12 01:59:42.517,1,NULL
129,7178,945,73,MEDIUM,2024-12-21 19:36:42.523,0,NULL
130,419,7364,10,MEDIUM,2024-10-20 04:26:42.533,1,4437
131,2474,3152,24,MEDIUM,2025-04-03 07:20:42.540,0,NULL
132,9438,7093,67,LOW,2025-01-02 23:51:42.547,1,NULL
133,7271,2369,0,LOW,2025-06-07 21:28:42.553,0,NULL
134,9987,7515,92,HIGH,2026-01-28 16:59:42.563,0,219
135,5635,8912,64,HIGH,2025-06-16 03:18:42.570,0,NULL
136,815,3253,85,LOW,2024-08-11 18:46:42.580,0,8370
137,5421,5157,76,CRITICAL,2024-09-27 11:50:42.590,0,NULL
138,6121,3745,60,LOW,2025-01-01 19:05:42.597,1,NULL
139,3363,1985,84,MEDIUM,2025-11-21 21:09:42.603,0,NULL
140,1417,6078,96,LOW,2025-07-31 15:59:42.610,0,NULL
141,6752,4337,89,CRITICAL,2024-07-27 08:28:42.617,0,NULL
142,3274,3348,88,CRITICAL,2024-03-05 23:36:42.623,0,NULL
143,6150,1234,92,CRITICAL,2025-12-27 08:33:42.633,0,NULL
144,4326,6104,73,MEDIUM,2025-05-24 21:49:42.643,1,4414
145,878,6844,38,MEDIUM,2025-07-05 07:18:42.650,0,NULL
146,7183,6494,7,MEDIUM,2026-01-06 22:56:42.660,1,NULL
147,3686,4507,59,MEDIUM,2024-04-29 05:29:42.663,0,NULL
148,9186,7541,25,LOW,2024-08-12 16:29:42.670,0,NULL
149,233,4519,31,CRITICAL,2025-01-14 23:49:42.677,0,NULL
150,8323,2331,44,HIGH,2024-07-02 17:00:42.687,1,7408
151,2559,8960,63,LOW,2024-09-28 15:24:42.693,0,NULL
152,5984,41,68,HIGH,2025-11-07 00:43:42.703,0,2430
153,9102,3887,100,HIGH,2024-07-28 09:42:42.710,0,NULL
154,2446,1526,64,LOW,2024-09-04 07:18:42.717,1,NULL
155,1400,5460,15,LOW,2024-11-11 08:53:42.723,0,NULL
156,1884,8038,83,CRITICAL,2025-11-28 05:21:42.730,0,NULL
157,9753,213,63,HIGH,2025-05-11 20:47:42.737,1,NULL
158,9330,6144,78,HIGH,2025-09-18 02:18:42.740,0,NULL
159,1582,4651,73,HIGH,2025-06-05 15:00:42.750,0,NULL
160,996,5082,58,CRITICAL,2025-01-13 05:04:42.757,1,NULL
161,4556,3040,36,CRITICAL,2024-11-04 09:00:42.767,0,6050
162,8766,3969,41,LOW,2025-12-22 17:48:42.773,0,NULL
163,7361,2600,78,MEDIUM,2024-03-15 16:24:42.780,0,NULL
164,2517,6542,20,HIGH,2025-04-28 18:21:42.787,0,NULL
165,2228,1873,31,LOW,2024-11-08 08:27:42.797,0,3442
166,4582,5224,5,MEDIUM,2024-05-25 04:09:42.803,1,NULL
167,4625,4065,97,MEDIUM,2026-01-07 15:04:42.810,0,NULL
168,7393,319,50,MEDIUM,2025-02-17 20:21:42.820,0,NULL
169,5904,8208,20,LOW,2026-01-02 00:44:42.830,0,NULL
170,608,7765,63,LOW,2024-04-01 06:37:42.833,0,NULL
171,876,2202,65,CRITICAL,2024-03-28 22:37:42.840,0,NULL
172,3351,4560,78,CRITICAL,2025-04-01 16:42:42.847,0,NULL
173,737,8267,91,HIGH,2025-11-02 01:33:42.853,1,NULL
174,9514,53,52,MEDIUM,2024-04-18 05:06:42.863,0,NULL
175,316,1731,96,LOW,2025-05-07 20:27:42.873,0,1482
176,4529,7245,89,MEDIUM,2025-03-31 02:43:42.880,1,NULL
177,8267,1110,38,LOW,2025-08-10 09:37:42.887,1,NULL
178,63,8255,69,LOW,2025-08-13 20:48:42.893,0,NULL
179,4468,4469,11,HIGH,2025-09-25 14:40:42.900,1,NULL
180,6431,1473,96,HIGH,2024-08-01 12:48:42.910,0,NULL
181,9336,1005,22,CRITICAL,2025-08-07 08:46:42.920,0,8999
182,8555,2156,86,CRITICAL,2025-10-26 04:33:42.933,0,8086
183,761,5702,26,MEDIUM,2025-12-04 11:34:42.943,1,NULL
184,2187,569,29,HIGH,2025-07-21 10:52:42.953,0,8800
185,5312,4986,94,HIGH,2024-06-02 02:53:42.960,0,NULL
186,1791,7191,55,CRITICAL,2025-05-27 12:52:42.970,0,NULL
187,7955,2174,73,MEDIUM,2025-12-16 06:12:42.977,1,NULL
188,8359,7841,58,HIGH,2024-06-17 10:04:42.987,0,NULL
189,9075,5476,18,CRITICAL,2025-02-05 15:48:42.993,1,NULL
190,7122,8690,49,MEDIUM,2024-07-24 20:51:43.003,1,NULL
191,8053,8495,52,LOW,2024-06-06 08:41:43.013,0,NULL
192,4509,990,43,MEDIUM,2025-05-01 17:55:43.027,0,2101
193,5240,286,72,HIGH,2024-12-21 05:20:43.037,0,NULL
194,950,122,99,MEDIUM,2024-05-08 22:19:43.043,1,NULL
195,4662,4290,85,LOW,2024-05-25 05:48:43.050,0,NULL
196,9173,5650,90,CRITICAL,2025-02-01 17:15:43.057,1,NULL
197,3197,6525,48,CRITICAL,2024-08-27 19:48:43.067,1,NULL
198,8410,5594,17,LOW,2025-03-12 16:34:43.077,0,3982
199,4543,13,77,CRITICAL,2025-08-31 16:58:43.090,1,9271
200,9360,887,29,CRITICAL,2025-04-12 16:05:43.100,1,NULL
201,7813,8025,94,MEDIUM,2024-10-31 13:40:43.110,0,4729
202,3357,7201,59,HIGH,2024-07-14 19:53:43.120,1,NULL
203,3068,2016,38,CRITICAL,2024-10-20 03:50:43.123,0,NULL
204,5645,4695,52,CRITICAL,2024-09-02 08:56:43.133,0,4518
205,5276,27,7,HIGH,2024-06-20 05:36:43.140,0,NULL
206,5062,6865,84,MEDIUM,2025-01-22 04:24:43.147,1,NULL
207,1388,3770,42,CRITICAL,2025-06-11 04:02:43.153,0,NULL
208,8984,4732,44,CRITICAL,2025-01-16 05:28:43.160,0,NULL
209,1901,2118,97,CRITICAL,2024-06-11 07:56:43.167,0,NULL
210,2769,530,65,HIGH,2025-11-22 12:25:43.177,0,NULL
211,2885,41,8,MEDIUM,2025-06-29 09:08:43.183,1,NULL
212,8250,97,5,HIGH,2025-09-06 12:27:43.190,0,NULL
213,4540,1978,18,MEDIUM,2025-09-30 20:16:43.197,0,NULL
214,3198,4401,63,HIGH,2024-04-20 09:03:43.203,0,NULL
215,3811,6760,25,HIGH,2024-12-12 07:48:43.210,0,NULL
216,8342,7302,92,MEDIUM,2024-12-11 09:55:43.217,1,NULL
217,2643,7641,12,LOW,2024-08-14 08:23:43.223,0,NULL
218,214,5591,72,LOW,2025-10-25 14:59:43.230,0,NULL
219,3984,5914,42,MEDIUM,2025-04-10 10:56:43.237,1,NULL
220,1930,465,2,HIGH,2025-05-22 13:18:43.240,0,NULL
221,9269,3570,84,HIGH,2024-03-02 03:13:43.250,0,NULL
222,2775,4665,44,LOW,2024-04-14 18:03:43.253,1,NULL
223,6007,6285,19,LOW,2025-07-10 23:51:43.260,0,NULL
224,1473,2482,48,HIGH,2025-06-16 18:21:43.270,0,NULL
225,1680,99,55,LOW,2025-08-13 23:40:43.277,0,NULL
226,2914,7774,90,LOW,2024-03-03 14:40:43.280,0,NULL
227,5866,502,88,CRITICAL,2025-11-12 17:59:43.290,1,NULL
228,191,633,23,CRITICAL,2024-12-10 10:09:43.297,0,NULL
229,8223,8279,68,LOW,2024-10-14 09:58:43.300,1,NULL
230,5722,4824,16,LOW,2024-07-31 22:34:43.310,0,NULL
231,5350,3660,55,HIGH,2024-08-27 15:58:43.313,0,NULL
232,2165,127,37,LOW,2024-09-30 05:21:43.320,0,NULL
233,8831,1279,43,CRITICAL,2025-02-19 21:04:43.327,0,NULL
234,724,6240,68,HIGH,2024-09-07 17:43:43.333,0,NULL
235,5943,1950,96,CRITICAL,2025-02-13 05:40:43.343,0,46
236,2657,3757,10,HIGH,2025-06-24 08:28:43.350,0,NULL
237,2543,2384,82,LOW,2025-10-01 22:59:43.357,0,NULL
238,1123,6467,26,HIGH,2025-09-05 11:50:43.367,0,NULL
239,6705,8925,87,HIGH,2025-10-30 05:44:43.380,0,1717
240,7370,6598,74,HIGH,2026-01-04 19:18:43.387,0,NULL
241,387,3320,40,LOW,2024-05-23 21:43:43.393,1,NULL
242,8501,8457,95,HIGH,2025-07-19 17:07:43.400,0,NULL
243,2083,3320,7,CRITICAL,2025-10-22 17:42:43.407,1,NULL
244,8305,8595,69,LOW,2024-09-03 12:13:43.413,0,NULL
245,7467,5161,50,CRITICAL,2025-02-07 14:40:43.423,0,NULL
246,5675,5243,96,HIGH,2026-02-03 09:00:43.430,0,NULL
247,4237,8081,31,HIGH,2025-06-07 13:50:43.443,0,4189
248,3433,6781,12,HIGH,2025-05-06 04:45:43.453,0,3189
249,1982,462,26,HIGH,2024-10-07 15:34:43.467,0,4364
250,7372,7655,72,CRITICAL,2026-01-31 06:22:43.477,0,5688
251,3754,3183,97,LOW,2025-04-05 00:52:43.490,0,1736
252,6807,8879,82,CRITICAL,2025-12-14 04:53:43.497,0,NULL
253,3930,8336,39,LOW,2025-07-18 21:35:43.503,1,NULL
254,8290,303,83,LOW,2025-01-18 16:01:43.513,0,992
255,1294,7703,30,MEDIUM,2026-02-02 10:34:43.520,0,NULL
256,8336,6589,56,MEDIUM,2024-09-26 04:27:43.530,1,2725
257,8992,2588,85,MEDIUM,2024-02-23 15:20:43.540,0,NULL
258,7763,564,77,MEDIUM,2024-04-07 15:05:43.550,1,4577
259,8699,5033,4,MEDIUM,2025-01-03 09:02:43.557,1,NULL
260,7297,8122,9,LOW,2025-01-25 07:32:43.563,0,NULL
261,9498,438,32,CRITICAL,2024-03-15 20:56:43.577,0,2836
262,5181,4423,3,LOW,2024-06-01 07:23:43.587,0,285
263,3019,4733,44,LOW,2024-08-15 17:39:43.597,0,NULL
264,7876,2755,33,LOW,2024-11-17 03:57:43.603,1,NULL
265,7725,6236,41,CRITICAL,2025-06-22 06:30:43.610,0,NULL
266,9718,6171,66,LOW,2025-05-05 06:14:43.623,1,7214
267,6032,1757,91,LOW,2024-09-03 13:08:43.630,0,NULL
268,531,2669,72,LOW,2025-05-27 06:48:43.640,0,NULL
269,1063,23,40,MEDIUM,2026-01-26 11:51:43.650,0,1005
270,1822,8765,78,LOW,2024-07-13 03:19:43.657,0,NULL
271,6393,716,97,MEDIUM,2024-08-20 04:19:43.663,0,NULL
272,3711,6939,98,LOW,2025-07-22 00:47:43.673,0,NULL
273,9650,2560,82,CRITICAL,2026-01-27 16:23:43.680,0,NULL
274,5122,4283,46,MEDIUM,2025-05-26 13:36:43.693,0,9168
275,2521,5097,23,LOW,2024-04-01 14:23:43.703,0,1068
276,2446,3197,53,MEDIUM,2024-10-01 15:27:43.713,0,5075
277,7161,6612,97,CRITICAL,2025-02-05 14:56:43.723,0,NULL
278,7843,2568,73,LOW,2025-08-08 13:15:43.730,0,NULL
279,2633,4291,87,LOW,2024-04-20 01:15:43.740,1,3995
280,2609,8513,2,CRITICAL,2024-09-04 14:48:43.750,0,NULL
281,2127,8183,13,MEDIUM,2024-12-21 06:45:43.757,0,NULL
282,2058,8474,15,LOW,2024-06-09 18:48:43.767,0,NULL
283,8670,7247,35,CRITICAL,2025-05-10 15:23:43.773,0,NULL
284,5397,6689,67,LOW,2024-04-28 14:27:43.787,0,154
285,7571,8196,54,MEDIUM,2025-01-14 05:26:43.797,1,NULL
286,1445,9000,63,HIGH,2025-05-26 04:54:43.803,0,NULL
287,5118,7190,42,LOW,2024-06-13 14:11:43.813,0,8838
288,5929,2101,90,MEDIUM,2024-07-27 05:11:43.823,1,NULL
289,8881,6289,59,CRITICAL,2025-03-20 18:37:43.830,1,NULL
290,8938,6218,49,LOW,2026-01-09 23:10:43.837,1,NULL
291,1017,6289,5,MEDIUM,2024-09-11 12:12:43.843,0,NULL
292,5767,5329,41,HIGH,2025-10-02 22:16:43.850,0,NULL
293,4698,6279,14,HIGH,2024-02-20 08:02:43.860,0,NULL
294,9977,8786,28,MEDIUM,2025-03-30 16:40:43.870,0,482
295,3667,2895,46,LOW,2026-01-25 22:53:43.883,1,5206
296,4024,4498,29,LOW,2024-04-10 14:39:43.890,0,NULL
297,3929,4288,35,CRITICAL,2025-05-22 23:06:43.903,0,5179
298,1964,7931,76,MEDIUM,2024-10-29 22:59:43.910,0,NULL
299,1635,4285,82,MEDIUM,2025-10-12 19:22:43.920,0,NULL
300,1979,4948,81,LOW,2024-03-08 14:12:43.927,0,NULL
301,7838,5066,92,CRITICAL,2025-03-26 17:18:43.940,0,752
302,4854,1525,66,MEDIUM,2024-03-03 22:12:43.947,0,NULL
303,8942,4102,49,HIGH,2024-06-01 20:30:43.953,0,NULL
304,2416,2027,75,HIGH,2024-02-17 09:58:43.963,0,NULL
305,5216,8216,70,LOW,2025-05-15 07:33:43.970,0,NULL
306,7899,2116,76,LOW,2024-03-16 11:46:43.980,0,NULL
307,6889,2872,24,CRITICAL,2025-11-17 04:04:43.990,1,9208
308,1298,3038,30,MEDIUM,2024-08-27 02:18:43.997,0,NULL
309,8485,163,8,MEDIUM,2026-01-31 02:55:44.010,0,NULL
310,2302,8731,75,LOW,2025-01-26 18:04:44.020,1,NULL
311,9327,5195,0,MEDIUM,2025-09-13 04:44:44.030,0,NULL
312,7159,8256,16,CRITICAL,2024-02-15 13:15:44.040,0,NULL
313,2534,8161,100,LOW,2025-09-13 10:15:44.050,0,NULL
314,1957,1368,32,MEDIUM,2024-10-31 12:39:44.060,1,NULL
315,287,1657,18,MEDIUM,2025-09-12 08:51:44.067,0,NULL
316,6858,3050,42,LOW,2025-01-27 16:12:44.077,0,NULL
317,1696,3103,61,HIGH,2024-06-08 07:14:44.083,0,NULL
318,4411,4517,16,CRITICAL,2025-04-23 18:09:44.093,0,NULL
319,5831,4974,82,CRITICAL,2026-02-03 23:05:44.103,1,NULL
320,2294,6973,0,LOW,2025-12-11 09:46:44.117,1,7950
321,1501,3750,100,MEDIUM,2024-04-26 23:41:44.127,1,NULL
322,1330,2836,9,CRITICAL,2024-08-19 21:14:44.137,1,NULL
323,7086,7910,70,MEDIUM,2025-10-17 12:55:44.143,1,NULL
324,9821,5954,68,HIGH,2024-08-25 22:16:44.153,0,NULL
325,49,3178,57,HIGH,2025-07-25 01:25:44.163,1,NULL
326,4305,1054,43,LOW,2025-02-10 18:23:44.170,0,NULL
327,8210,4149,73,LOW,2024-10-18 11:12:44.180,1,NULL
328,4539,5402,53,HIGH,2025-03-24 09:04:44.187,1,NULL
329,9494,8574,23,LOW,2025-08-02 10:38:44.197,1,NULL
330,3512,8397,56,HIGH,2024-03-09 11:42:44.203,0,NULL
331,179,2492,4,LOW,2025-02-20 01:43:44.210,0,NULL
332,9015,1471,51,LOW,2025-04-17 06:32:44.223,1,NULL
333,4150,8864,26,HIGH,2025-08-27 22:59:44.237,0,3851
334,6385,3318,49,HIGH,2024-07-11 19:42:44.247,0,NULL
335,5120,3614,24,LOW,2024-11-08 05:42:44.257,0,NULL
336,4362,6783,14,LOW,2025-09-24 01:44:44.267,0,NULL
337,4930,8427,79,HIGH,2025-07-20 10:09:44.273,1,NULL
338,8771,3487,96,MEDIUM,2025-08-11 13:18:44.287,0,5720
339,3656,4950,78,HIGH,2025-10-21 13:33:44.297,1,NULL
340,587,5792,96,LOW,2025-09-25 17:24:44.307,0,NULL
341,8178,2486,8,MEDIUM,2025-11-21 06:59:44.313,1,NULL
342,3865,8154,88,MEDIUM,2024-09-15 17:08:44.323,1,NULL
343,2721,3166,8,HIGH,2025-10-26 23:13:44.330,0,NULL
344,5241,5806,43,CRITICAL,2025-08-15 02:39:44.343,0,1543
345,7659,5352,0,LOW,2025-09-22 21:45:44.353,0,NULL
346,555,7268,95,MEDIUM,2025-03-11 11:44:44.367,1,1335
347,1052,3034,84,MEDIUM,2025-04-21 06:04:44.377,0,NULL
348,4349,8904,3,MEDIUM,2025-09-21 23:52:44.383,1,NULL
349,6987,6228,98,LOW,2025-04-27 07:05:44.393,0,NULL
350,8626,6195,29,CRITICAL,2025-01-27 15:57:44.403,1,NULL
351,4934,1787,53,CRITICAL,2025-11-07 19:51:44.413,0,NULL
352,6303,3519,11,HIGH,2026-01-14 08:06:44.423,0,NULL
353,9881,6270,97,LOW,2024-10-23 10:27:44.430,0,NULL
354,2196,7094,83,MEDIUM,2024-08-18 04:36:44.440,0,NULL
355,3854,5057,66,CRITICAL,2025-09-17 11:54:44.450,0,NULL
356,7920,3091,28,HIGH,2025-06-11 16:09:44.460,1,NULL
357,4354,8687,54,HIGH,2025-04-30 06:46:44.470,0,NULL
358,248,6732,77,LOW,2025-01-25 04:01:44.483,0,8636
359,8954,5747,73,LOW,2025-04-24 18:43:44.500,1,6073
360,2201,8399,52,LOW,2025-05-11 16:22:44.507,1,NULL
361,4288,5235,67,CRITICAL,2026-01-29 10:52:44.517,0,NULL
362,7673,8230,38,CRITICAL,2025-09-23 21:52:44.527,1,NULL
363,5235,1094,22,MEDIUM,2025-11-19 13:00:44.537,1,NULL
364,6268,8526,25,LOW,2024-07-02 07:41:44.547,0,NULL
365,1566,4020,77,MEDIUM,2024-05-24 13:33:44.560,0,NULL
366,2645,209,66,CRITICAL,2025-04-04 08:40:44.570,0,NULL
367,1765,1598,86,LOW,2024-10-07 03:59:44.580,1,NULL
368,8937,1868,5,CRITICAL,2025-02-21 14:59:44.590,0,NULL
369,2669,256,39,LOW,2024-09-11 14:05:44.603,0,2658
370,1014,1429,81,MEDIUM,2025-07-02 03:05:44.613,0,NULL
371,3065,4627,7,HIGH,2025-03-03 06:54:44.623,0,NULL
372,2589,2744,6,CRITICAL,2025-09-15 11:25:44.637,0,6805
373,5239,6698,63,CRITICAL,2025-09-28 19:23:44.647,0,NULL
374,9402,5556,19,CRITICAL,2024-04-26 21:53:44.660,0,1717
375,524,4491,93,MEDIUM,2025-08-18 01:40:44.670,1,NULL
376,3665,7964,48,MEDIUM,2024-05-14 13:16:44.677,1,NULL
377,372,508,67,LOW,2024-06-12 09:04:44.687,0,NULL
378,3308,2379,42,CRITICAL,2025-12-18 18:01:44.697,0,9907
379,108,4698,20,MEDIUM,2024-07-14 01:26:44.713,0,9554
380,1960,5687,48,LOW,2025-08-13 07:14:44.720,0,NULL
381,9688,7330,11,MEDIUM,2024-09-28 14:05:44.730,1,NULL
382,7717,8516,12,LOW,2024-03-13 02:56:44.737,0,NULL
383,2742,17,41,MEDIUM,2025-11-07 11:09:44.747,0,NULL
384,421,7597,72,MEDIUM,2024-11-25 15:58:44.757,0,NULL
