log_id,table_name,record_id,action,old_value,new_value,changed_by,changed_at
198,Devices,1873,UPDATE,Old value sample 138,New value sample 509,7892,2026-02-08 19:24:01.410
199,Fraud_Alerts,5667,UPDATE,Old value sample 836,New value sample -474,8602,2026-02-08 19:24:01.420
200,Devices,129,UPDATE,Old value sample 304,New value sample 336,6931,2026-02-08 19:24:01.433
201,Transactions,9578,UPDATE,Old value sample -162,New value sample -936,9210,2026-02-08 19:24:01.443
202,Users,9391,INSERT,Old value sample 493,New value sample 858,3529,2026-02-08 19:24:01.453
203,Fraud_Alerts,1149,INSERT,Old value sample 677,New value sample -795,8591,2026-02-08 19:24:01.463
204,Transactions,1841,INSERT,Old value sample -589,New value sample 813,4013,2026-02-08 19:24:01.473
205,Transactions,5030,INSERT,Old value sample -799,New value sample 675,3045,2026-02-08 19:24:01.483
206,Devices,2195,INSERT,Old value sample 991,New value sample -23,2545,2026-02-08 19:24:01.490
207,Merchants,3316,DELETE,Old value sample -25,New value sample -391,8514,2026-02-08 19:24:01.500
208,Transactions,313,DELETE,Old value sample -232,New value sample -482,8712,2026-02-08 19:24:01.510
209,Devices,1148,UPDATE,Old value sample -612,New value sample 553,5699,2026-02-08 19:24:01.517
210,Users,1577,DELETE,Old value sample 832,New value sample -841,3038,2026-02-08 19:24:01.527
211,Merchants,239,DELETE,Old value sample 556,New value sample -993,5222,2026-02-08 19:24:01.533
212,Users,332,UPDATE,Old value sample 939,New value sample -963,2182,2026-02-08 19:24:01.543
213,Login_History,15489,INSERT,Old value sample 156,New value sample -530,1299,2026-02-08 19:24:01.560
214,Users,7930,UPDATE,Old value sample 41,New value sample 832,1570,2026-02-08 19:24:01.567
215,Login_History,6113,INSERT,Old value sample -885,New value sample 724,8447,2026-02-08 19:24:01.583
216,Merchants,4337,INSERT,Old value sample -828,New value sample -205,1979,2026-02-08 19:24:01.590
217,Accounts,17228,DELETE,Old value sample 472,New value sample 31,3546,2026-02-08 19:24:01.600
218,Devices,4326,DELETE,Old value sample 520,New value sample 883,1469,2026-02-08 19:24:01.610
219,Fraud_Alerts,6144,DELETE,Old value sample -55,New value sample 101,5482,2026-02-08 19:24:01.617
220,Users,7760,INSERT,Old value sample -68,New value sample 270,2262,2026-02-08 19:24:01.627
221,Fraud_Alerts,5013,DELETE,Old value sample -376,New value sample 675,7051,2026-02-08 19:24:01.633
222,Fraud_Alerts,3600,DELETE,Old value sample -367,New value sample 128,5313,2026-02-08 19:24:01.643
223,Users,9717,INSERT,Old value sample 231,New value sample -74,5609,2026-02-08 19:24:01.653
224,Devices,3990,UPDATE,Old value sample 240,New value sample -477,7270,2026-02-08 19:24:01.660
225,Merchants,3682,INSERT,Old value sample -507,New value sample -742,2492,2026-02-08 19:24:01.667
226,Fraud_Alerts,6010,UPDATE,Old value sample -372,New value sample 276,9232,2026-02-08 19:24:01.673
227,Login_History,4839,DELETE,Old value sample -413,New value sample -466,1615,2026-02-08 19:24:01.687
228,Fraud_Alerts,7625,INSERT,Old value sample 113,New value sample 462,5533,2026-02-08 19:24:01.697
229,Merchants,2566,INSERT,Old value sample 362,New value sample -404,4537,2026-02-08 19:24:01.703
230,Merchants,4073,INSERT,Old value sample -564,New value sample -97,3537,2026-02-08 19:24:01.710
231,Transactions,7912,INSERT,Old value sample -655,New value sample -580,5886,2026-02-08 19:24:01.720
232,Devices,4073,DELETE,Old value sample -154,New value sample -879,4625,2026-02-08 19:24:01.730
233,Fraud_Alerts,1570,UPDATE,Old value sample -289,New value sample 855,4538,2026-02-08 19:24:01.737
234,Devices,4073,INSERT,Old value sample -301,New value sample -15,3420,2026-02-08 19:24:01.747
235,Devices,2165,DELETE,Old value sample -416,New value sample -714,4640,2026-02-08 19:24:01.753
236,Login_History,15554,DELETE,Old value sample 659,New value sample -98,5867,2026-02-08 19:24:01.767
237,Users,6903,INSERT,Old value sample -819,New value sample 673,7599,2026-02-08 19:24:01.780
238,Fraud_Alerts,1391,UPDATE,Old value sample -748,New value sample 71,134,2026-02-08 19:24:01.787
239,Users,7513,UPDATE,Old value sample -515,New value sample 597,2938,2026-02-08 19:24:01.800
240,Devices,949,DELETE,Old value sample 693,New value sample -559,1949,2026-02-08 19:24:01.807
241,Fraud_Alerts,6595,INSERT,Old value sample 173,New value sample -387,9135,2026-02-08 19:24:01.817
242,Transactions,3616,INSERT,Old value sample 726,New value sample 551,9112,2026-02-08 19:24:01.827
243,Fraud_Alerts,1696,INSERT,Old value sample -170,New value sample -239,4652,2026-02-08 19:24:01.837
244,Merchants,940,DELETE,Old value sample -751,New value sample -496,3954,2026-02-08 19:24:01.843
245,Users,1691,INSERT,Old value sample 321,New value sample -346,2548,2026-02-08 19:24:01.850
246,Login_History,14309,UPDATE,Old value sample 932,New value sample 191,401,2026-02-08 19:24:01.867
247,Merchants,2291,DELETE,Old value sample 68,New value sample -746,1318,2026-02-08 19:24:01.873
248,Merchants,1218,UPDATE,Old value sample 400,New value sample 953,1666,2026-02-08 19:24:01.880
249,Fraud_Alerts,2813,INSERT,Old value sample 30,New value sample -788,921,2026-02-08 19:24:01.890
250,Merchants,4653,UPDATE,Old value sample 776,New value sample 637,4619,2026-02-08 19:24:01.897
251,Transactions,4065,INSERT,Old value sample -137,New value sample 379,619,2026-02-08 19:24:01.907
252,Transactions,6849,INSERT,Old value sample 797,New value sample 94,7856,2026-02-08 19:24:01.917
253,Accounts,13922,INSERT,Old value sample 228,New value sample 326,8539,2026-02-08 19:24:01.927
254,Login_History,11068,INSERT,Old value sample 492,New value sample -526,6696,2026-02-08 19:24:01.940
255,Accounts,22158,UPDATE,Old value sample 6,New value sample 105,8807,2026-02-08 19:24:01.950
256,Users,2080,DELETE,Old value sample 315,New value sample 503,3465,2026-02-08 19:24:01.960
257,Transactions,332,UPDATE,Old value sample -11,New value sample 264,5861,2026-02-08 19:24:01.970
258,Users,653,UPDATE,Old value sample 472,New value sample 778,7580,2026-02-08 19:24:01.980
259,Transactions,541,INSERT,Old value sample 778,New value sample 339,7633,2026-02-08 19:24:01.990
260,Users,3493,UPDATE,Old value sample -579,New value sample 970,7690,2026-02-08 19:24:02.000
261,Devices,2747,DELETE,Old value sample 958,New value sample -281,1835,2026-02-08 19:24:02.013
262,Merchants,1390,INSERT,Old value sample 195,New value sample -270,8718,2026-02-08 19:24:02.020
263,Transactions,491,UPDATE,Old value sample -19,New value sample 283,2288,2026-02-08 19:24:02.033
264,Fraud_Alerts,6924,UPDATE,Old value sample 971,New value sample 898,1180,2026-02-08 19:24:02.043
265,Fraud_Alerts,5869,UPDATE,Old value sample -225,New value sample -467,3040,2026-02-08 19:24:02.053
266,Fraud_Alerts,1558,DELETE,Old value sample 782,New value sample -295,7509,2026-02-08 19:24:02.063
267,Users,9064,INSERT,Old value sample 400,New value sample -707,2971,2026-02-08 19:24:02.073
268,Devices,709,INSERT,Old value sample -729,New value sample 909,2421,2026-02-08 19:24:02.080
269,Devices,820,INSERT,Old value sample -285,New value sample 752,9038,2026-02-08 19:24:02.087
270,Transactions,8094,INSERT,Old value sample -910,New value sample 675,9051,2026-02-08 19:24:02.097
271,Transactions,1020,INSERT,Old value sample 957,New value sample 623,166,2026-02-08 19:24:02.107
272,Fraud_Alerts,3644,UPDATE,Old value sample -496,New value sample 760,1068,2026-02-08 19:24:02.117
273,Login_History,18513,INSERT,Old value sample -942,New value sample -427,1124,2026-02-08 19:24:02.130
274,Devices,1659,UPDATE,Old value sample -828,New value sample -653,5133,2026-02-08 19:24:02.137
275,Accounts,18960,DELETE,Old value sample -936,New value sample 378,6218,2026-02-08 19:24:02.147
276,Login_History,16575,UPDATE,Old value sample -63,New value sample 192,7470,2026-02-08 19:24:02.160
277,Accounts,15021,INSERT,Old value sample -381,New value sample 509,5733,2026-02-08 19:24:02.170
278,Devices,1042,UPDATE,Old value sample -30,New value sample 788,3550,2026-02-08 19:24:02.173
279,Accounts,22502,UPDATE,Old value sample -606,New value sample -94,7309,2026-02-08 19:24:02.183
280,Accounts,22788,UPDATE,Old value sample -987,New value sample 555,6867,2026-02-08 19:24:02.193
281,Devices,3205,UPDATE,Old value sample -206,New value sample -262,550,2026-02-08 19:24:02.200
282,Transactions,8855,INSERT,Old value sample 693,New value sample -200,4045,2026-02-08 19:24:02.210
283,Transactions,9817,INSERT,Old value sample 969,New value sample -604,673,2026-02-08 19:24:02.223
284,Accounts,13712,DELETE,Old value sample 387,New value sample -570,4493,2026-02-08 19:24:02.240
285,Fraud_Alerts,2059,INSERT,Old value sample -966,New value sample 470,3514,2026-02-08 19:24:02.253
286,Fraud_Alerts,1950,INSERT,Old value sample 518,New value sample 143,3091,2026-02-08 19:24:02.267
287,Merchants,1761,UPDATE,Old value sample 113,New value sample -913,4956,2026-02-08 19:24:02.273
288,Login_History,18647,UPDATE,Old value sample 497,New value sample -687,53,2026-02-08 19:24:02.297
