whitelist_id,user_id,merchant_id,reason
111,8272,3713,Trusted user 8272 and merchant 3713
112,9222,4494,Trusted user 9222 and merchant 4494
113,NULL,3624,Trusted merchant: 3624
114,3148,NULL,Trusted user: 3148
115,NULL,860,Trusted merchant: 860
116,4796,NULL,Trusted user: 4796
117,1450,NULL,Trusted user: 1450
118,5552,NULL,Trusted user: 5552
119,6022,2890,Trusted user 6022 and merchant 2890
120,8433,NULL,Trusted user: 8433
121,3463,NULL,Trusted user: 3463
122,6889,NULL,Trusted user: 6889
123,4671,3139,Trusted user 4671 and merchant 3139
124,NULL,3494,Trusted merchant: 3494
125,8590,NULL,Trusted user: 8590
126,7431,4504,Trusted user 7431 and merchant 4504
127,9509,NULL,Trusted user: 9509
128,4773,NULL,Trusted user: 4773
129,NULL,4310,Trusted merchant: 4310
130,5190,NULL,Trusted user: 5190
131,6271,4572,Trusted user 6271 and merchant 4572
132,NULL,2527,Trusted merchant: 2527
133,5199,NULL,Trusted user: 5199
134,21,4762,Trusted user 21 and merchant 4762
135,8503,2704,Trusted user 8503 and merchant 2704
136,6018,142,Trusted user 6018 and merchant 142
137,5079,4636,Trusted user 5079 and merchant 4636
138,3658,NULL,Trusted user: 3658
139,3686,2898,Trusted user 3686 and merchant 2898
140,7385,NULL,Trusted user: 7385
141,4732,1653,Trusted user 4732 and merchant 1653
142,9976,3630,Trusted user 9976 and merchant 3630
143,1069,NULL,Trusted user: 1069
144,2952,409,Trusted user 2952 and merchant 409
145,8676,NULL,Trusted user: 8676
146,NULL,4044,Trusted merchant: 4044
147,8159,NULL,Trusted user: 8159
148,4198,NULL,Trusted user: 4198
149,8856,4614,Trusted user 8856 and merchant 4614
150,1197,NULL,Trusted user: 1197
151,8374,NULL,Trusted user: 8374
152,2290,NULL,Trusted user: 2290
153,6581,3038,Trusted user 6581 and merchant 3038
154,NULL,3853,Trusted merchant: 3853
155,3587,NULL,Trusted user: 3587
156,1739,NULL,Trusted user: 1739
157,NULL,4649,Trusted merchant: 4649
158,NULL,3070,Trusted merchant: 3070
159,NULL,4960,Trusted merchant: 4960
160,NULL,1694,Trusted merchant: 1694
161,6418,NULL,Trusted user: 6418
162,5027,NULL,Trusted user: 5027
163,4950,NULL,Trusted user: 4950
164,NULL,741,Trusted merchant: 741
165,8691,1540,Trusted user 8691 and merchant 1540
166,210,NULL,Trusted user: 210
167,4381,3472,Trusted user 4381 and merchant 3472
168,6693,NULL,Trusted user: 6693
169,NULL,3607,Trusted merchant: 3607
170,NULL,2984,Trusted merchant: 2984
171,6461,NULL,Trusted user: 6461
172,506,3101,Trusted user 506 and merchant 3101
173,7101,NULL,Trusted user: 7101
174,6857,2714,Trusted user 6857 and merchant 2714
175,NULL,3837,Trusted merchant: 3837
176,1437,4695,Trusted user 1437 and merchant 4695
177,2408,NULL,Trusted user: 2408
178,NULL,160,Trusted merchant: 160
179,8638,NULL,Trusted user: 8638
180,540,2056,Trusted user 540 and merchant 2056
181,1713,1537,Trusted user 1713 and merchant 1537
182,8355,NULL,Trusted user: 8355
183,8462,NULL,Trusted user: 8462
184,NULL,2728,Trusted merchant: 2728
185,9961,NULL,Trusted user: 9961
186,1150,NULL,Trusted user: 1150
187,2379,3799,Trusted user 2379 and merchant 3799
188,673,NULL,Trusted user: 673
189,NULL,3742,Trusted merchant: 3742
190,NULL,892,Trusted merchant: 892
191,7462,4018,Trusted user 7462 and merchant 4018
192,NULL,4085,Trusted merchant: 4085
193,NULL,2342,Trusted merchant: 2342
194,1937,NULL,Trusted user: 1937
195,2275,NULL,Trusted user: 2275
196,NULL,4944,Trusted merchant: 4944
197,4163,3355,Trusted user 4163 and merchant 3355
198,5061,NULL,Trusted user: 5061
199,NULL,2017,Trusted merchant: 2017
200,4606,142,Trusted user 4606 and merchant 142
201,4766,111,Trusted user 4766 and merchant 111
202,8410,202,Trusted user 8410 and merchant 202
203,NULL,1422,Trusted merchant: 1422
204,5249,4808,Trusted user 5249 and merchant 4808
205,9434,1089,Trusted user 9434 and merchant 1089
206,7651,NULL,Trusted user: 7651
207,4064,NULL,Trusted user: 4064
208,2988,4094,Trusted user 2988 and merchant 4094
209,6562,NULL,Trusted user: 6562
210,7084,NULL,Trusted user: 7084
211,NULL,2251,Trusted merchant: 2251
212,3836,NULL,Trusted user: 3836
213,933,NULL,Trusted user: 933
214,4363,NULL,Trusted user: 4363
215,9028,NULL,Trusted user: 9028
216,556,NULL,Trusted user: 556
217,8551,NULL,Trusted user: 8551
218,NULL,4329,Trusted merchant: 4329
219,2015,NULL,Trusted user: 2015
220,1340,NULL,Trusted user: 1340
221,1492,3513,Trusted user 1492 and merchant 3513
222,NULL,1633,Trusted merchant: 1633
223,1154,3466,Trusted user 1154 and merchant 3466
224,NULL,4767,Trusted merchant: 4767
225,NULL,2659,Trusted merchant: 2659
226,NULL,1079,Trusted merchant: 1079
227,NULL,2356,Trusted merchant: 2356
228,4884,NULL,Trusted user: 4884
229,9464,NULL,Trusted user: 9464
230,NULL,4352,Trusted merchant: 4352
231,8939,NULL,Trusted user: 8939
232,162,NULL,Trusted user: 162
233,NULL,511,Trusted merchant: 511
234,NULL,4600,Trusted merchant: 4600
235,NULL,2265,Trusted merchant: 2265
236,4369,NULL,Trusted user: 4369
237,1114,NULL,Trusted user: 1114
238,9801,4209,Trusted user 9801 and merchant 4209
239,NULL,4201,Trusted merchant: 4201
240,2732,NULL,Trusted user: 2732
241,NULL,2171,Trusted merchant: 2171
242,3054,NULL,Trusted user: 3054
243,5121,NULL,Trusted user: 5121
244,NULL,887,Trusted merchant: 887
245,NULL,3376,Trusted merchant: 3376
246,2600,NULL,Trusted user: 2600
247,3300,NULL,Trusted user: 3300
248,NULL,3605,Trusted merchant: 3605
249,294,NULL,Trusted user: 294
250,8041,NULL,Trusted user: 8041
251,565,NULL,Trusted user: 565
252,NULL,2332,Trusted merchant: 2332
253,7303,4979,Trusted user 7303 and merchant 4979
254,NULL,4613,Trusted merchant: 4613
255,NULL,3337,Trusted merchant: 3337
256,3433,NULL,Trusted user: 3433
257,6245,NULL,Trusted user: 6245
258,46,NULL,Trusted user: 46
259,4152,NULL,Trusted user: 4152
260,NULL,3438,Trusted merchant: 3438
261,7854,NULL,Trusted user: 7854
262,7948,788,Trusted user 7948 and merchant 788
263,554,3235,Trusted user 554 and merchant 3235
264,1268,1160,Trusted user 1268 and merchant 1160
265,6284,3572,Trusted user 6284 and merchant 3572
266,NULL,961,Trusted merchant: 961
267,3456,NULL,Trusted user: 3456
268,1303,NULL,Trusted user: 1303
269,NULL,1800,Trusted merchant: 1800
270,NULL,2720,Trusted merchant: 2720
271,3790,NULL,Trusted user: 3790
272,NULL,440,Trusted merchant: 440
273,7536,NULL,Trusted user: 7536
274,3181,NULL,Trusted user: 3181
275,NULL,3081,Trusted merchant: 3081
276,7530,NULL,Trusted user: 7530
277,9532,NULL,Trusted user: 9532
278,4423,NULL,Trusted user: 4423
279,6668,NULL,Trusted user: 6668
280,NULL,3860,Trusted merchant: 3860
281,591,NULL,Trusted user: 591
282,NULL,4284,Trusted merchant: 4284
283,940,NULL,Trusted user: 940
284,4903,NULL,Trusted user: 4903
285,NULL,408,Trusted merchant: 408
286,7990,NULL,Trusted user: 7990
287,8117,NULL,Trusted user: 8117
288,5450,3616,Trusted user 5450 and merchant 3616
289,5326,NULL,Trusted user: 5326
290,2461,NULL,Trusted user: 2461
291,465,1568,Trusted user 465 and merchant 1568
292,5315,NULL,Trusted user: 5315
293,NULL,4861,Trusted merchant: 4861
294,6492,NULL,Trusted user: 6492
295,3693,NULL,Trusted user: 3693
296,4554,NULL,Trusted user: 4554
297,4258,NULL,Trusted user: 4258
298,6275,4640,Trusted user 6275 and merchant 4640
299,NULL,3784,Trusted merchant: 3784
300,NULL,868,Trusted merchant: 868
301,NULL,659,Trusted merchant: 659
302,NULL,2858,Trusted merchant: 2858
303,NULL,16,Trusted merchant: 16
304,5483,NULL,Trusted user: 5483
305,NULL,2396,Trusted merchant: 2396
306,6945,3331,Trusted user 6945 and merchant 3331
307,1069,NULL,Trusted user: 1069
308,4333,NULL,Trusted user: 4333
309,8114,2425,Trusted user 8114 and merchant 2425
310,43,NULL,Trusted user: 43
311,7000,NULL,Trusted user: 7000
312,9989,727,Trusted user 9989 and merchant 727
313,5880,NULL,Trusted user: 5880
314,6671,NULL,Trusted user: 6671
315,NULL,1679,Trusted merchant: 1679
316,NULL,671,Trusted merchant: 671
317,NULL,969,Trusted merchant: 969
318,6882,NULL,Trusted user: 6882
319,6929,NULL,Trusted user: 6929
320,4867,NULL,Trusted user: 4867
321,5732,NULL,Trusted user: 5732
322,8961,NULL,Trusted user: 8961
323,5269,NULL,Trusted user: 5269
324,2149,NULL,Trusted user: 2149
325,8846,NULL,Trusted user: 8846
326,693,NULL,Trusted user: 693
327,NULL,1640,Trusted merchant: 1640
328,2106,NULL,Trusted user: 2106
329,1135,NULL,Trusted user: 1135
330,5975,NULL,Trusted user: 5975
331,1498,4200,Trusted user 1498 and merchant 4200
332,5648,NULL,Trusted user: 5648
333,6872,NULL,Trusted user: 6872
334,1025,NULL,Trusted user: 1025
335,NULL,2758,Trusted merchant: 2758
336,1820,NULL,Trusted user: 1820
337,872,NULL,Trusted user: 872
338,NULL,3532,Trusted merchant: 3532
339,NULL,1779,Trusted merchant: 1779
340,NULL,2389,Trusted merchant: 2389
341,6990,4558,Trusted user 6990 and merchant 4558
342,1237,NULL,Trusted user: 1237
343,5499,2458,Trusted user 5499 and merchant 2458
344,2088,NULL,Trusted user: 2088
345,NULL,4914,Trusted merchant: 4914
346,960,NULL,Trusted user: 960
347,9557,NULL,Trusted user: 9557
348,NULL,3086,Trusted merchant: 3086
349,1564,NULL,Trusted user: 1564
350,9458,NULL,Trusted user: 9458
351,3635,2495,Trusted user 3635 and merchant 2495
352,9619,2509,Trusted user 9619 and merchant 2509
353,4933,NULL,Trusted user: 4933
354,5667,413,Trusted user 5667 and merchant 413
355,224,4643,Trusted user 224 and merchant 4643
356,4427,NULL,Trusted user: 4427
357,2756,NULL,Trusted user: 2756
358,6086,NULL,Trusted user: 6086
359,2084,NULL,Trusted user: 2084
360,6065,NULL,Trusted user: 6065
361,8513,2201,Trusted user 8513 and merchant 2201
362,NULL,1366,Trusted merchant: 1366
363,9813,2912,Trusted user 9813 and merchant 2912
364,NULL,1313,Trusted merchant: 1313
365,4710,2513,Trusted user 4710 and merchant 2513
366,9389,NULL,Trusted user: 9389
367,NULL,3003,Trusted merchant: 3003
368,6650,NULL,Trusted user: 6650
369,1876,NULL,Trusted user: 1876
370,6229,NULL,Trusted user: 6229
371,674,NULL,Trusted user: 674
372,9432,NULL,Trusted user: 9432
373,8359,NULL,Trusted user: 8359
374,4735,NULL,Trusted user: 4735
375,467,NULL,Trusted user: 467
376,2013,NULL,Trusted user: 2013
377,6152,NULL,Trusted user: 6152
378,5970,109,Trusted user 5970 and merchant 109
379,NULL,148,Trusted merchant: 148
380,232,NULL,Trusted user: 232
381,1352,4838,Trusted user 1352 and merchant 4838
382,6368,NULL,Trusted user: 6368
383,5649,NULL,Trusted user: 5649
384,NULL,1491,Trusted merchant: 1491
385,6859,NULL,Trusted user: 6859
386,287,NULL,Trusted user: 287
387,7370,NULL,Trusted user: 7370
388,8321,NULL,Trusted user: 8321
389,4872,NULL,Trusted user: 4872
390,1011,NULL,Trusted user: 1011
391,902,NULL,Trusted user: 902
392,988,NULL,Trusted user: 988
393,642,26,Trusted user 642 and merchant 26
394,5764,1290,Trusted user 5764 and merchant 1290
395,4494,NULL,Trusted user: 4494
396,NULL,4868,Trusted merchant: 4868
397,2821,NULL,Trusted user: 2821
398,5099,NULL,Trusted user: 5099
399,NULL,3235,Trusted merchant: 3235
400,NULL,3,Trusted merchant: 3
401,7179,1788,Trusted user 7179 and merchant 1788
402,9200,NULL,Trusted user: 9200
403,1337,NULL,Trusted user: 1337
404,NULL,4206,Trusted merchant: 4206
405,3424,NULL,Trusted user: 3424
406,722,3760,Trusted user 722 and merchant 3760
407,1951,4719,Trusted user 1951 and merchant 4719
408,NULL,4082,Trusted merchant: 4082
409,3713,1997,Trusted user 3713 and merchant 1997
410,4520,NULL,Trusted user: 4520
411,NULL,3488,Trusted merchant: 3488
412,3701,834,Trusted user 3701 and merchant 834
413,NULL,4044,Trusted merchant: 4044
414,NULL,2414,Trusted merchant: 2414
415,NULL,4197,Trusted merchant: 4197
416,NULL,4651,Trusted merchant: 4651
417,4299,NULL,Trusted user: 4299
418,8701,NULL,Trusted user: 8701
419,9250,3793,Trusted user 9250 and merchant 3793
420,3307,1615,Trusted user 3307 and merchant 1615
421,NULL,4352,Trusted merchant: 4352
422,NULL,3913,Trusted merchant: 3913
423,NULL,4403,Trusted merchant: 4403
424,NULL,4759,Trusted merchant: 4759
425,NULL,297,Trusted merchant: 297
426,NULL,1966,Trusted merchant: 1966
427,5433,NULL,Trusted user: 5433
428,5306,NULL,Trusted user: 5306
429,3609,NULL,Trusted user: 3609
430,3837,1431,Trusted user 3837 and merchant 1431
431,7465,NULL,Trusted user: 7465
432,135,NULL,Trusted user: 135
433,NULL,4286,Trusted merchant: 4286
434,4681,NULL,Trusted user: 4681
435,5724,NULL,Trusted user: 5724
436,4148,NULL,Trusted user: 4148
437,5463,NULL,Trusted user: 5463
438,3738,NULL,Trusted user: 3738
439,7535,NULL,Trusted user: 7535
440,842,NULL,Trusted user: 842
441,8687,NULL,Trusted user: 8687
442,3639,NULL,Trusted user: 3639
443,NULL,1131,Trusted merchant: 1131
444,8549,2012,Trusted user 8549 and merchant 2012
445,56,NULL,Trusted user: 56
446,4648,1164,Trusted user 4648 and merchant 1164
447,NULL,2467,Trusted merchant: 2467
448,8940,NULL,Trusted user: 8940
449,NULL,2124,Trusted merchant: 2124
450,NULL,2453,Trusted merchant: 2453
451,NULL,4511,Trusted merchant: 4511
452,3597,NULL,Trusted user: 3597
453,NULL,4261,Trusted merchant: 4261
454,NULL,3422,Trusted merchant: 3422
455,1811,NULL,Trusted user: 1811
456,NULL,3237,Trusted merchant: 3237
457,3862,1826,Trusted user 3862 and merchant 1826
458,2189,1568,Trusted user 2189 and merchant 1568
459,NULL,2135,Trusted merchant: 2135
460,390,NULL,Trusted user: 390
461,9301,NULL,Trusted user: 9301
462,7182,NULL,Trusted user: 7182
463,NULL,3838,Trusted merchant: 3838
464,2823,NULL,Trusted user: 2823
465,866,NULL,Trusted user: 866
466,6336,NULL,Trusted user: 6336
467,5170,NULL,Trusted user: 5170
468,1729,3704,Trusted user 1729 and merchant 3704
469,1281,4135,Trusted user 1281 and merchant 4135
470,NULL,2805,Trusted merchant: 2805
471,188,NULL,Trusted user: 188
472,NULL,1895,Trusted merchant: 1895
473,9228,NULL,Trusted user: 9228
474,2251,4516,Trusted user 2251 and merchant 4516
475,NULL,3940,Trusted merchant: 3940
476,4797,NULL,Trusted user: 4797
477,306,1355,Trusted user 306 and merchant 1355
478,302,1300,Trusted user 302 and merchant 1300
479,NULL,2690,Trusted merchant: 2690
480,7098,4660,Trusted user 7098 and merchant 4660
481,7474,NULL,Trusted user: 7474
482,NULL,2622,Trusted merchant: 2622
483,NULL,2451,Trusted merchant: 2451
484,7896,NULL,Trusted user: 7896
485,5058,NULL,Trusted user: 5058
486,NULL,1783,Trusted merchant: 1783
487,4386,NULL,Trusted user: 4386
488,2822,NULL,Trusted user: 2822
489,NULL,1420,Trusted merchant: 1420
490,3080,2661,Trusted user 3080 and merchant 2661
491,589,NULL,Trusted user: 589
492,5180,NULL,Trusted user: 5180
493,NULL,2886,Trusted merchant: 2886
494,962,NULL,Trusted user: 962
495,9725,NULL,Trusted user: 9725
496,5930,NULL,Trusted user: 5930
497,NULL,2634,Trusted merchant: 2634
498,NULL,1193,Trusted merchant: 1193
499,7997,1876,Trusted user 7997 and merchant 1876
500,NULL,1198,Trusted merchant: 1198
501,7157,NULL,Trusted user: 7157
502,2959,NULL,Trusted user: 2959
503,480,NULL,Trusted user: 480
504,1689,595,Trusted user 1689 and merchant 595
505,86,4902,Trusted user 86 and merchant 4902
506,7615,3582,Trusted user 7615 and merchant 3582
507,8139,2604,Trusted user 8139 and merchant 2604
508,1466,NULL,Trusted user: 1466
509,9078,NULL,Trusted user: 9078
510,7062,NULL,Trusted user: 7062
511,NULL,3928,Trusted merchant: 3928
512,660,NULL,Trusted user: 660
513,8771,NULL,Trusted user: 8771
514,6976,NULL,Trusted user: 6976
515,6904,NULL,Trusted user: 6904
516,4890,2685,Trusted user 4890 and merchant 2685
517,NULL,1094,Trusted merchant: 1094
518,2326,NULL,Trusted user: 2326
519,5541,4244,Trusted user 5541 and merchant 4244
520,5580,NULL,Trusted user: 5580
521,8599,1816,Trusted user 8599 and merchant 1816
522,7741,NULL,Trusted user: 7741
523,4026,3951,Trusted user 4026 and merchant 3951
524,7247,NULL,Trusted user: 7247
525,NULL,3574,Trusted merchant: 3574
526,NULL,3279,Trusted merchant: 3279
527,NULL,1825,Trusted merchant: 1825
528,7867,NULL,Trusted user: 7867
529,NULL,4350,Trusted merchant: 4350
530,NULL,3438,Trusted merchant: 3438
531,NULL,2821,Trusted merchant: 2821
532,1293,NULL,Trusted user: 1293
533,NULL,1660,Trusted merchant: 1660
534,8555,4583,Trusted user 8555 and merchant 4583
535,2594,NULL,Trusted user: 2594
536,6723,NULL,Trusted user: 6723
537,3152,NULL,Trusted user: 3152
538,5163,NULL,Trusted user: 5163
539,NULL,3409,Trusted merchant: 3409
540,172,1311,Trusted user 172 and merchant 1311
541,NULL,1595,Trusted merchant: 1595
542,NULL,4224,Trusted merchant: 4224
543,7407,925,Trusted user 7407 and merchant 925
544,6553,NULL,Trusted user: 6553
545,9341,NULL,Trusted user: 9341
546,683,NULL,Trusted user: 683
547,4503,NULL,Trusted user: 4503
548,9191,NULL,Trusted user: 9191
549,9759,NULL,Trusted user: 9759
550,NULL,3338,Trusted merchant: 3338
551,2398,NULL,Trusted user: 2398
552,5774,383,Trusted user 5774 and merchant 383
553,5548,NULL,Trusted user: 5548
554,NULL,1470,Trusted merchant: 1470
555,NULL,4132,Trusted merchant: 4132
556,NULL,2314,Trusted merchant: 2314
557,7470,NULL,Trusted user: 7470
558,1015,908,Trusted user 1015 and merchant 908
559,3220,NULL,Trusted user: 3220
560,7946,2142,Trusted user 7946 and merchant 2142
561,5993,NULL,Trusted user: 5993
562,NULL,733,Trusted merchant: 733
563,3290,2413,Trusted user 3290 and merchant 2413
564,1514,NULL,Trusted user: 1514
565,2554,NULL,Trusted user: 2554
566,8422,NULL,Trusted user: 8422
567,NULL,805,Trusted merchant: 805
568,3711,1411,Trusted user 3711 and merchant 1411
569,7409,336,Trusted user 7409 and merchant 336
570,NULL,3847,Trusted merchant: 3847
571,1697,NULL,Trusted user: 1697
572,1210,NULL,Trusted user: 1210
573,5622,NULL,Trusted user: 5622
574,815,NULL,Trusted user: 815
575,8098,NULL,Trusted user: 8098
576,NULL,2542,Trusted merchant: 2542
577,NULL,4833,Trusted merchant: 4833
578,3264,NULL,Trusted user: 3264
579,9541,NULL,Trusted user: 9541
580,6594,4487,Trusted user 6594 and merchant 4487
581,NULL,2918,Trusted merchant: 2918
582,25,NULL,Trusted user: 25
583,2675,NULL,Trusted user: 2675
584,1176,NULL,Trusted user: 1176
585,1553,4895,Trusted user 1553 and merchant 4895
586,4547,NULL,Trusted user: 4547
587,NULL,382,Trusted merchant: 382
588,805,NULL,Trusted user: 805
589,5655,4518,Trusted user 5655 and merchant 4518
590,40,NULL,Trusted user: 40
591,57,1352,Trusted user 57 and merchant 1352
592,NULL,2501,Trusted merchant: 2501
593,NULL,2234,Trusted merchant: 2234
594,4165,NULL,Trusted user: 4165
595,8267,NULL,Trusted user: 8267
596,2959,NULL,Trusted user: 2959
597,NULL,4942,Trusted merchant: 4942
598,875,3845,Trusted user 875 and merchant 3845
599,2332,1491,Trusted user 2332 and merchant 1491
600,6306,NULL,Trusted user: 6306
601,7806,NULL,Trusted user: 7806
602,3287,3089,Trusted user 3287 and merchant 3089
603,930,NULL,Trusted user: 930
604,1125,NULL,Trusted user: 1125
605,3794,2175,Trusted user 3794 and merchant 2175
606,1127,NULL,Trusted user: 1127
607,1479,NULL,Trusted user: 1479
608,9484,NULL,Trusted user: 9484
609,NULL,4131,Trusted merchant: 4131
610,5739,2325,Trusted user 5739 and merchant 2325
611,4019,3551,Trusted user 4019 and merchant 3551
612,5013,NULL,Trusted user: 5013
613,NULL,115,Trusted merchant: 115
614,824,NULL,Trusted user: 824
615,9653,4892,Trusted user 9653 and merchant 4892
616,NULL,4142,Trusted merchant: 4142
617,NULL,1880,Trusted merchant: 1880
618,9382,NULL,Trusted user: 9382
619,8397,4927,Trusted user 8397 and merchant 4927
620,NULL,1639,Trusted merchant: 1639
621,2025,3514,Trusted user 2025 and merchant 3514
622,1674,627,Trusted user 1674 and merchant 627
623,NULL,1578,Trusted merchant: 1578
624,NULL,1396,Trusted merchant: 1396
625,1577,NULL,Trusted user: 1577
626,NULL,1202,Trusted merchant: 1202
627,NULL,4918,Trusted merchant: 4918
628,9189,NULL,Trusted user: 9189
629,NULL,4123,Trusted merchant: 4123
630,NULL,399,Trusted merchant: 399
631,9036,3622,Trusted user 9036 and merchant 3622
632,9429,NULL,Trusted user: 9429
633,NULL,3091,Trusted merchant: 3091
634,9146,NULL,Trusted user: 9146
635,NULL,1436,Trusted merchant: 1436
636,5771,NULL,Trusted user: 5771
637,NULL,3219,Trusted merchant: 3219
638,5025,NULL,Trusted user: 5025
639,216,NULL,Trusted user: 216
640,NULL,3302,Trusted merchant: 3302
641,6756,3526,Trusted user 6756 and merchant 3526
642,8923,NULL,Trusted user: 8923
643,NULL,2582,Trusted merchant: 2582
644,NULL,3220,Trusted merchant: 3220
645,1159,3023,Trusted user 1159 and merchant 3023
646,6761,NULL,Trusted user: 6761
647,NULL,1556,Trusted merchant: 1556
648,5069,NULL,Trusted user: 5069
649,NULL,1872,Trusted merchant: 1872
650,8384,NULL,Trusted user: 8384
651,NULL,2800,Trusted merchant: 2800
652,2579,3842,Trusted user 2579 and merchant 3842
653,NULL,4855,Trusted merchant: 4855
654,6802,NULL,Trusted user: 6802
655,NULL,1791,Trusted merchant: 1791
656,NULL,4788,Trusted merchant: 4788
657,3156,2913,Trusted user 3156 and merchant 2913
658,2440,4736,Trusted user 2440 and merchant 4736
659,9152,NULL,Trusted user: 9152
660,8747,NULL,Trusted user: 8747
661,NULL,4305,Trusted merchant: 4305
662,8673,3228,Trusted user 8673 and merchant 3228
663,8140,NULL,Trusted user: 8140
664,6900,NULL,Trusted user: 6900
665,4229,906,Trusted user 4229 and merchant 906
666,7357,NULL,Trusted user: 7357
667,NULL,3254,Trusted merchant: 3254
668,7223,3137,Trusted user 7223 and merchant 3137
669,1123,278,Trusted user 1123 and merchant 278
670,7407,NULL,Trusted user: 7407
671,549,NULL,Trusted user: 549
672,NULL,4,Trusted merchant: 4
673,NULL,4525,Trusted merchant: 4525
674,6528,NULL,Trusted user: 6528
675,NULL,40,Trusted merchant: 40
676,NULL,3437,Trusted merchant: 3437
677,NULL,80,Trusted merchant: 80
678,8835,NULL,Trusted user: 8835
679,4001,NULL,Trusted user: 4001
680,NULL,4106,Trusted merchant: 4106
