profile_id,user_id,avg_transaction_amount,avg_daily_transactions,common_country,usual_login_hour,risk_pattern_score,last_updated
80,5934,5002.16,0.02,Shqipëri,3,67,2026-02-08 19:19:53.233
81,6981,5511.41,1.00,Germany,17,44,2026-02-08 19:19:53.247
82,2582,410.60,0.00,Shqipëri,12,68,2026-02-08 19:19:53.257
83,4112,795.91,0.00,Kosove,17,95,2026-02-08 19:19:53.270
84,8552,6669.52,0.01,Shqipëri,2,31,2026-02-08 19:19:53.287
85,145,5215.59,0.02,Shqipëri,23,21,2026-02-08 19:19:53.303
86,7370,3931.34,0.03,Shqipëri,23,48,2026-02-08 19:19:53.317
87,4318,390.18,0.00,UK,8,28,2026-02-08 19:19:53.330
88,6697,8053.16,1.00,Kosove,21,15,2026-02-08 19:19:53.343
89,5768,825.83,0.00,Shqipëri,21,68,2026-02-08 19:19:53.360
90,2479,268.79,0.00,Kosove,22,70,2026-02-08 19:19:53.370
91,8990,3263.31,0.01,Shqipëri,6,31,2026-02-08 19:19:53.387
92,7749,579.48,1.00,Shqipëri,13,21,2026-02-08 19:19:53.400
93,3345,760.49,0.00,UK,4,90,2026-02-08 19:19:53.413
94,2380,998.52,0.00,USA,15,80,2026-02-08 19:19:53.427
95,3619,2200.23,1.00,USA,23,35,2026-02-08 19:19:53.440
96,2066,2080.33,0.01,Shqipëri,5,17,2026-02-08 19:19:53.453
97,2620,3780.98,0.02,UK,15,79,2026-02-08 19:19:53.467
98,5975,2164.15,1.00,USA,1,48,2026-02-08 19:19:53.480
99,5080,765.77,0.00,Kosove,20,80,2026-02-08 19:19:53.497
100,3118,413.12,0.00,Kosove,20,78,2026-02-08 19:19:53.503
101,4002,882.46,0.00,Kosove,20,66,2026-02-08 19:19:53.513
102,7073,8895.21,0.02,UK,6,8,2026-02-08 19:19:53.527
103,3877,701.53,0.00,Shqipëri,2,38,2026-02-08 19:19:53.540
104,502,4405.21,0.01,Shqipëri,2,48,2026-02-08 19:19:53.557
105,3591,532.17,0.00,Shqipëri,19,31,2026-02-08 19:19:53.563
106,161,5921.52,0.01,USA,6,19,2026-02-08 19:19:53.580
107,3015,621.46,0.00,Kosove,14,45,2026-02-08 19:19:53.590
108,2038,158.34,0.00,Kosove,14,12,2026-02-08 19:19:53.607
109,8963,925.54,0.02,Kosove,3,63,2026-02-08 19:19:53.623
110,44,3853.12,0.01,Kosove,3,97,2026-02-08 19:19:53.640
111,7633,9109.65,1.00,Kosove,0,44,2026-02-08 19:19:53.660
112,890,8625.22,0.01,USA,21,55,2026-02-08 19:19:53.677
113,7483,3683.89,0.02,USA,12,76,2026-02-08 19:19:53.697
114,8596,102.49,0.00,Germany,17,55,2026-02-08 19:19:53.707
115,3198,9281.80,1.00,Germany,23,12,2026-02-08 19:19:53.723
116,2047,33.88,0.00,UK,23,52,2026-02-08 19:19:53.730
117,5965,4710.97,0.01,UK,2,81,2026-02-08 19:19:53.747
118,2968,4715.25,0.02,USA,1,18,2026-02-08 19:19:53.763
119,6252,8618.46,1.00,Germany,20,37,2026-02-08 19:19:53.777
120,7658,522.23,0.00,Germany,20,43,2026-02-08 19:19:53.787
121,132,31.15,0.00,UK,22,60,2026-02-08 19:19:53.800
122,7477,2688.01,1.00,UK,22,21,2026-02-08 19:19:53.820
123,3981,652.67,0.00,USA,11,28,2026-02-08 19:19:53.833
124,3263,848.09,0.00,Germany,20,67,2026-02-08 19:19:53.843
125,3462,5749.88,1.00,Shqipëri,22,85,2026-02-08 19:19:53.860
126,6510,348.20,0.00,UK,15,67,2026-02-08 19:19:53.873
127,9740,355.12,1.00,USA,19,39,2026-02-08 19:19:53.890
128,649,635.03,0.00,USA,8,28,2026-02-08 19:19:53.900
129,6645,4069.42,0.03,USA,16,15,2026-02-08 19:19:53.913
130,5017,832.31,0.00,USA,4,66,2026-02-08 19:19:53.927
131,7919,9952.24,1.00,Kosove,23,90,2026-02-08 19:19:53.940
132,3450,989.75,0.00,Germany,20,32,2026-02-08 19:19:53.957
133,1492,394.20,0.00,Kosove,1,78,2026-02-08 19:19:53.963
134,5321,3904.77,0.01,Kosove,1,92,2026-02-08 19:19:53.980
135,8934,3848.45,0.01,Kosove,17,70,2026-02-08 19:19:53.997
136,9571,869.13,0.00,Shqipëri,17,79,2026-02-08 19:19:54.020
137,4016,516.02,0.00,Shqipëri,17,32,2026-02-08 19:19:54.030
138,9766,267.39,0.00,Germany,0,69,2026-02-08 19:19:54.043
139,1289,4836.36,0.01,Shqipëri,23,0,2026-02-08 19:19:54.060
140,2680,7608.14,0.04,USA,1,50,2026-02-08 19:19:54.073
141,7826,822.84,0.00,UK,0,18,2026-02-08 19:19:54.083
142,8743,7345.42,0.01,Germany,6,81,2026-02-08 19:19:54.097
143,7922,536.78,0.00,Kosove,21,72,2026-02-08 19:19:54.110
144,1445,735.25,0.00,UK,13,89,2026-02-08 19:19:54.120
145,8667,5274.55,0.01,UK,18,75,2026-02-08 19:19:54.137
146,8474,3303.58,1.00,Germany,21,64,2026-02-08 19:19:54.153
147,5898,640.52,0.00,Germany,1,48,2026-02-08 19:19:54.167
148,8223,549.84,1.00,UK,9,10,2026-02-08 19:19:54.183
149,197,3065.39,1.00,Kosove,18,59,2026-02-08 19:19:54.200
150,329,716.37,0.00,Kosove,6,7,2026-02-08 19:19:54.213
151,8692,309.59,0.00,Germany,14,19,2026-02-08 19:19:54.237
152,520,1179.26,1.00,USA,15,67,2026-02-08 19:19:54.253
153,6577,4335.93,0.04,USA,15,90,2026-02-08 19:19:54.270
154,3603,166.53,0.00,USA,19,65,2026-02-08 19:19:54.290
155,4266,257.37,0.00,Kosove,2,0,2026-02-08 19:19:54.300
156,2340,205.42,0.00,USA,6,44,2026-02-08 19:19:54.313
157,5771,898.18,0.00,USA,6,59,2026-02-08 19:19:54.330
158,14,4485.75,0.01,USA,6,75,2026-02-08 19:19:54.347
159,521,2814.10,1.00,USA,1,29,2026-02-08 19:19:54.367
160,4720,312.31,0.00,UK,20,82,2026-02-08 19:19:54.380
161,6820,522.83,0.00,Kosove,3,75,2026-02-08 19:19:54.397
162,9085,4463.20,0.01,USA,3,65,2026-02-08 19:19:54.417
163,6764,145.29,1.00,Kosove,13,53,2026-02-08 19:19:54.433
164,489,795.01,0.00,Kosove,9,29,2026-02-08 19:19:54.450
165,4671,983.41,0.00,USA,0,19,2026-02-08 19:19:54.470
166,3427,9001.54,1.00,Kosove,18,52,2026-02-08 19:19:54.490
167,5624,4503.20,1.00,Shqipëri,1,67,2026-02-08 19:19:54.517
168,7328,3267.21,1.00,Shqipëri,1,69,2026-02-08 19:19:54.533
169,271,591.90,0.00,Shqipëri,0,60,2026-02-08 19:19:54.547
170,4172,292.59,0.00,USA,8,37,2026-02-08 19:19:54.560
171,4923,642.33,0.00,USA,11,9,2026-02-08 19:19:54.577
172,2508,9770.32,1.00,UK,7,89,2026-02-08 19:19:54.593
173,399,5799.29,1.00,UK,4,30,2026-02-08 19:19:54.613
174,6917,3607.93,0.01,Shqipëri,4,21,2026-02-08 19:19:54.633
175,9662,858.42,0.00,Shqipëri,4,27,2026-02-08 19:19:54.653
176,2124,891.49,0.00,Shqipëri,9,38,2026-02-08 19:19:54.673
177,6418,922.65,0.00,Shqipëri,19,28,2026-02-08 19:19:54.693
178,5490,5399.10,0.02,Kosove,19,39,2026-02-08 19:19:54.710
179,9461,444.57,0.00,USA,11,8,2026-02-08 19:19:54.727
180,8418,937.29,0.00,UK,13,88,2026-02-08 19:19:54.740
181,8837,717.01,0.00,USA,20,52,2026-02-08 19:19:54.753
182,2133,115.82,0.00,USA,2,97,2026-02-08 19:19:54.763
183,9153,7733.83,0.01,Shqipëri,8,99,2026-02-08 19:19:54.780
184,4370,381.40,0.00,Shqipëri,8,8,2026-02-08 19:19:54.793
185,2271,5341.44,1.00,UK,21,67,2026-02-08 19:19:54.807
186,7962,9172.63,1.00,Germany,10,15,2026-02-08 19:19:54.820
187,3440,357.96,0.00,Kosove,0,65,2026-02-08 19:19:54.837
188,9666,4.25,0.00,UK,8,16,2026-02-08 19:19:54.850
189,298,916.37,0.00,USA,20,36,2026-02-08 19:19:54.860
190,9795,142.38,1.00,Kosove,17,5,2026-02-08 19:19:54.873
191,4440,3903.69,1.00,UK,21,21,2026-02-08 19:19:54.890
192,7,992.20,0.00,Kosove,11,66,2026-02-08 19:19:54.900
193,3183,808.88,0.00,Shqipëri,13,97,2026-02-08 19:19:54.917
194,4175,671.74,0.00,UK,19,65,2026-02-08 19:19:54.927
195,8975,9091.00,0.00,UK,3,70,2026-02-08 19:19:54.943
196,6138,3245.94,0.17,Germany,13,78,2026-02-08 19:19:54.957
197,708,265.99,0.00,USA,16,6,2026-02-08 19:19:54.973
198,9210,590.93,0.00,Shqipëri,16,57,2026-02-08 19:19:54.990
199,3346,6771.72,1.00,Shqipëri,17,68,2026-02-08 19:19:55.007
200,2562,239.12,0.00,USA,3,84,2026-02-08 19:19:55.017
201,9475,6669.82,0.01,Shqipëri,23,75,2026-02-08 19:19:55.030
202,831,595.67,0.00,Shqipëri,21,50,2026-02-08 19:19:55.040
203,2150,612.39,0.00,Kosove,17,84,2026-02-08 19:19:55.053
204,4286,812.03,0.00,Kosove,17,26,2026-02-08 19:19:55.070
205,8645,317.14,0.00,UK,19,86,2026-02-08 19:19:55.080
206,4035,378.72,0.00,Germany,16,52,2026-02-08 19:19:55.087
207,896,303.65,0.00,Shqipëri,11,56,2026-02-08 19:19:55.100
208,604,4554.85,0.02,Shqipëri,7,18,2026-02-08 19:19:55.147
209,1201,57.76,0.00,UK,2,93,2026-02-08 19:19:55.187
210,927,5292.81,0.01,UK,18,65,2026-02-08 19:19:55.220
211,3083,928.24,0.00,USA,14,73,2026-02-08 19:19:55.237
212,2000,544.56,0.00,USA,14,60,2026-02-08 19:19:55.257
213,4996,6981.96,1.00,UK,22,7,2026-02-08 19:19:55.277
214,2018,5970.13,0.01,Germany,16,79,2026-02-08 19:19:55.307
215,8160,810.34,0.00,UK,4,19,2026-02-08 19:19:55.333
216,6093,5612.07,1.00,UK,13,64,2026-02-08 19:19:55.363
217,920,142.71,0.00,Germany,18,52,2026-02-08 19:19:55.390
218,1145,5295.43,0.01,UK,18,77,2026-02-08 19:19:55.410
219,482,655.27,0.00,USA,20,95,2026-02-08 19:19:55.447
220,3743,4329.80,1.00,Kosove,5,88,2026-02-08 19:19:55.477
221,5606,4992.32,0.01,Kosove,3,88,2026-02-08 19:19:55.507
222,5889,4824.69,0.01,Kosove,18,89,2026-02-08 19:19:55.533
223,2537,3182.58,1.00,Germany,22,24,2026-02-08 19:19:55.557
224,842,39.60,0.00,Germany,21,82,2026-02-08 19:19:55.590
225,4813,823.89,0.00,Germany,21,69,2026-02-08 19:19:55.603
226,6247,918.82,0.00,Germany,2,51,2026-02-08 19:19:55.630
227,6560,6746.36,1.00,Shqipëri,2,52,2026-02-08 19:19:55.663
228,8496,976.20,0.00,Shqipëri,7,40,2026-02-08 19:19:55.677
229,8745,5074.04,0.03,UK,21,64,2026-02-08 19:19:55.707
230,4220,99.21,0.00,Shqipëri,4,80,2026-02-08 19:19:55.730
231,1462,889.97,0.00,Kosove,23,70,2026-02-08 19:19:55.750
232,826,4161.50,0.01,UK,5,81,2026-02-08 19:19:55.780
233,8574,4288.70,0.02,Germany,11,63,2026-02-08 19:19:55.813
234,1576,358.58,1.00,USA,22,7,2026-02-08 19:19:55.843
235,6441,19.47,0.00,Germany,12,0,2026-02-08 19:19:55.870
236,7785,222.34,0.00,Germany,9,14,2026-02-08 19:19:55.900
237,9022,929.92,0.00,Germany,9,11,2026-02-08 19:19:55.913
238,5618,6096.44,0.01,Shqipëri,6,92,2026-02-08 19:19:55.933
239,3859,4451.09,1.00,USA,19,52,2026-02-08 19:19:55.953
240,6216,161.89,0.00,Germany,15,13,2026-02-08 19:19:55.970
241,3194,459.78,0.00,Germany,12,33,2026-02-08 19:19:55.983
242,3719,637.14,0.00,USA,15,42,2026-02-08 19:19:55.997
243,5289,5499.25,0.01,Shqipëri,22,44,2026-02-08 19:19:56.020
244,4415,888.87,0.00,Shqipëri,22,17,2026-02-08 19:19:56.037
245,901,93.42,0.00,Shqipëri,1,33,2026-02-08 19:19:56.053
246,5181,793.44,0.00,UK,6,79,2026-02-08 19:19:56.063
247,2605,281.14,0.00,USA,19,86,2026-02-08 19:19:56.073
248,1322,5130.36,0.01,Shqipëri,22,40,2026-02-08 19:19:56.090
249,9430,232.39,0.00,Germany,23,51,2026-02-08 19:19:56.100
250,6073,4621.48,0.05,Kosove,14,93,2026-02-08 19:19:56.120
251,4719,760.48,0.00,USA,21,28,2026-02-08 19:19:56.130
252,4642,39.51,0.00,USA,6,44,2026-02-08 19:19:56.143
253,4103,440.74,0.00,Shqipëri,0,84,2026-02-08 19:19:56.153
254,6062,573.64,0.00,Germany,16,5,2026-02-08 19:19:56.177
255,2309,655.63,0.00,Shqipëri,9,38,2026-02-08 19:19:56.193
256,963,4893.31,0.01,Germany,3,13,2026-02-08 19:19:56.210
257,2116,325.02,0.00,Shqipëri,17,63,2026-02-08 19:19:56.227
258,4718,307.62,0.00,USA,8,74,2026-02-08 19:19:56.247
259,8538,3361.73,0.01,USA,8,70,2026-02-08 19:19:56.267
260,707,5049.50,1.00,Shqipëri,4,10,2026-02-08 19:19:56.287
261,8843,817.55,0.00,USA,13,50,2026-02-08 19:19:56.307
262,4600,5596.96,0.01,Shqipëri,10,32,2026-02-08 19:19:56.327
263,4289,294.54,0.00,USA,12,58,2026-02-08 19:19:56.347
264,1552,3537.86,1.00,USA,12,35,2026-02-08 19:19:56.370
265,2602,4093.04,0.01,UK,9,72,2026-02-08 19:19:56.390
266,6011,529.05,0.00,UK,11,58,2026-02-08 19:19:56.410
267,6305,729.33,0.00,USA,20,91,2026-02-08 19:19:56.423
268,6209,7072.06,0.01,USA,8,94,2026-02-08 19:19:56.447
269,2205,8327.87,1.00,USA,7,15,2026-02-08 19:19:56.470
270,7202,4554.26,0.02,Germany,14,85,2026-02-08 19:19:56.490
271,4343,3183.87,1.00,Germany,14,94,2026-02-08 19:19:56.510
272,2545,421.62,0.00,Germany,14,81,2026-02-08 19:19:56.537
273,1003,5298.39,0.01,Germany,14,1,2026-02-08 19:19:56.567
274,4861,910.05,0.00,Kosove,16,5,2026-02-08 19:19:56.590
275,4714,167.12,0.00,Kosove,16,59,2026-02-08 19:19:56.613
276,8766,6850.56,0.02,Shqipëri,0,94,2026-02-08 19:19:56.650
277,1896,9579.26,1.00,UK,1,100,2026-02-08 19:19:56.683
278,4032,2385.24,0.02,USA,19,17,2026-02-08 19:19:56.713
279,851,193.90,0.00,UK,11,58,2026-02-08 19:19:56.730
280,3444,868.00,0.00,Kosove,12,15,2026-02-08 19:19:56.763
281,579,667.95,0.00,Kosove,12,22,2026-02-08 19:19:56.783
282,4185,153.14,0.00,USA,4,17,2026-02-08 19:19:56.807
283,7354,826.26,0.00,USA,4,54,2026-02-08 19:19:56.820
284,8356,648.58,1.00,UK,0,78,2026-02-08 19:19:56.857
285,4136,3860.05,0.01,Shqipëri,18,94,2026-02-08 19:19:56.890
286,7256,525.88,0.00,UK,11,61,2026-02-08 19:19:56.910
287,637,4536.84,0.01,Shqipëri,13,73,2026-02-08 19:19:56.937
288,5417,5164.15,1.00,Kosove,0,7,2026-02-08 19:19:56.973
289,600,957.16,0.00,Shqipëri,2,77,2026-02-08 19:19:57.003
290,5359,2810.10,0.01,Kosove,2,10,2026-02-08 19:19:57.030
291,9183,529.43,0.00,Germany,20,89,2026-02-08 19:19:57.050
292,6814,2540.87,1.00,UK,14,39,2026-02-08 19:19:57.073
293,9187,977.24,0.00,USA,1,28,2026-02-08 19:19:57.090
294,6021,929.16,0.00,Germany,4,79,2026-02-08 19:19:57.107
295,2057,2326.76,0.01,Shqipëri,6,75,2026-02-08 19:19:57.127
296,9306,431.59,0.00,USA,14,92,2026-02-08 19:19:57.140
297,6583,586.40,0.00,Kosove,13,9,2026-02-08 19:19:57.173
298,4430,3634.62,1.00,Shqipëri,6,26,2026-02-08 19:19:57.197
299,5078,6889.51,1.00,Shqipëri,6,78,2026-02-08 19:19:57.217
300,2262,7991.59,0.01,Kosove,9,49,2026-02-08 19:19:57.237
301,7825,2628.25,0.01,Kosove,21,59,2026-02-08 19:19:57.257
302,3281,753.92,0.00,USA,19,60,2026-02-08 19:19:57.270
303,1363,4582.32,0.00,Germany,5,43,2026-02-08 19:19:57.297
304,962,425.67,0.00,Kosove,22,69,2026-02-08 19:19:57.310
305,4999,195.44,0.00,Kosove,0,73,2026-02-08 19:19:57.333
306,2164,81.38,0.00,Shqipëri,13,34,2026-02-08 19:19:57.347
307,7067,318.25,0.00,Shqipëri,22,41,2026-02-08 19:19:57.367
308,1925,5022.94,0.01,Kosove,9,22,2026-02-08 19:19:57.383
309,2567,2690.24,0.01,Kosove,11,2,2026-02-08 19:19:57.400
310,6613,151.86,0.00,Shqipëri,22,23,2026-02-08 19:19:57.410
311,6492,5387.29,1.00,Kosove,1,77,2026-02-08 19:19:57.423
312,2398,697.66,0.00,Kosove,1,86,2026-02-08 19:19:57.433
313,3199,521.62,0.00,UK,3,49,2026-02-08 19:19:57.453
314,2481,829.89,0.00,USA,8,93,2026-02-08 19:19:57.463
315,6841,633.73,0.00,Kosove,21,88,2026-02-08 19:19:57.487
316,500,6346.63,0.01,Kosove,21,18,2026-02-08 19:19:57.507
317,4344,6173.36,1.00,Shqipëri,3,27,2026-02-08 19:19:57.527
318,5823,3761.31,0.01,UK,22,86,2026-02-08 19:19:57.547
319,9335,2896.03,0.01,Kosove,9,20,2026-02-08 19:19:57.563
320,5050,4114.22,0.22,Kosove,13,40,2026-02-08 19:19:57.580
321,4078,7188.67,1.00,UK,14,73,2026-02-08 19:19:57.603
322,4441,9429.15,1.00,Germany,8,16,2026-02-08 19:19:57.620
323,3670,257.75,0.00,Shqipëri,18,25,2026-02-08 19:19:57.633
324,8425,895.62,0.00,Kosove,9,94,2026-02-08 19:19:57.647
325,4685,6024.48,0.01,Germany,13,61,2026-02-08 19:19:57.667
326,7969,1.30,0.00,Kosove,2,63,2026-02-08 19:19:57.680
327,2435,515.33,0.00,Kosove,2,62,2026-02-08 19:19:57.693
328,834,66.62,0.00,USA,7,15,2026-02-08 19:19:57.713
329,1430,726.85,0.00,Shqipëri,6,28,2026-02-08 19:19:57.727
330,1453,419.88,0.00,Kosove,12,77,2026-02-08 19:19:57.737
331,6618,4824.73,0.00,Shqipëri,13,34,2026-02-08 19:19:57.753
332,1213,680.46,0.00,Kosove,23,85,2026-02-08 19:19:57.767
333,9041,397.70,0.00,UK,12,78,2026-02-08 19:19:57.783
334,8998,1153.14,1.00,UK,7,6,2026-02-08 19:19:57.807
335,3297,128.09,0.00,Shqipëri,14,51,2026-02-08 19:19:57.827
336,4072,7669.08,0.00,Germany,20,22,2026-02-08 19:19:57.847
337,5489,5890.04,1.00,Germany,20,44,2026-02-08 19:19:57.863
338,4269,602.70,0.00,Germany,18,88,2026-02-08 19:19:57.880
339,6919,922.22,0.00,USA,18,80,2026-02-08 19:19:57.900
340,6023,496.52,0.00,Kosove,20,63,2026-02-08 19:19:57.913
341,7464,160.57,0.00,Kosove,10,97,2026-02-08 19:19:57.927
342,578,459.74,0.00,Kosove,10,39,2026-02-08 19:19:57.940
343,8175,76.98,0.00,USA,16,8,2026-02-08 19:19:57.950
344,2581,795.48,0.00,Kosove,21,64,2026-02-08 19:19:57.970
345,4515,972.24,0.00,Shqipëri,23,78,2026-02-08 19:19:57.983
346,546,837.71,0.00,Shqipëri,0,71,2026-02-08 19:19:58.003
347,1985,5715.37,0.01,Shqipëri,11,64,2026-02-08 19:19:58.023
348,3711,2788.54,0.01,Kosove,15,65,2026-02-08 19:19:58.040
349,6592,158.91,0.00,Kosove,9,72,2026-02-08 19:19:58.053
350,2412,6180.97,0.01,USA,5,41,2026-02-08 19:19:58.073
351,3662,124.18,1.00,UK,12,62,2026-02-08 19:19:58.090
352,2664,5399.10,0.01,USA,15,29,2026-02-08 19:19:58.107
353,5922,9796.10,1.00,UK,5,94,2026-02-08 19:19:58.137
354,9383,563.75,0.00,Kosove,9,80,2026-02-08 19:19:58.153
355,3459,6182.07,0.14,Germany,0,58,2026-02-08 19:19:58.173
356,2388,264.66,0.00,Shqipëri,6,86,2026-02-08 19:19:58.190
357,5224,6751.73,0.01,Kosove,3,33,2026-02-08 19:19:58.207
358,9659,865.13,0.00,Shqipëri,9,6,2026-02-08 19:19:58.227
359,4165,107.76,0.00,Germany,7,97,2026-02-08 19:19:58.243
360,6074,786.99,0.00,Kosove,20,0,2026-02-08 19:19:58.260
361,8454,4519.80,0.01,Germany,19,1,2026-02-08 19:19:58.280
362,2471,982.74,0.00,USA,0,93,2026-02-08 19:19:58.293
363,2653,299.97,0.00,USA,0,9,2026-02-08 19:19:58.303
364,8801,423.58,0.00,Shqipëri,18,72,2026-02-08 19:19:58.323
365,7219,56.20,0.00,UK,17,37,2026-02-08 19:19:58.343
366,4744,7175.76,1.00,UK,15,9,2026-02-08 19:19:58.360
367,9270,1152.99,1.00,USA,23,5,2026-02-08 19:19:58.380
368,1894,4892.78,0.04,Germany,23,11,2026-02-08 19:19:58.397
369,8853,5294.42,1.00,Kosove,18,59,2026-02-08 19:19:58.417
370,9686,353.49,0.00,Germany,13,7,2026-02-08 19:19:58.430
371,8208,5012.59,0.01,Kosove,14,91,2026-02-08 19:19:58.450
372,4102,6904.89,0.02,Shqipëri,16,19,2026-02-08 19:19:58.470
373,9325,800.08,0.00,UK,16,79,2026-02-08 19:19:58.480
374,7191,215.28,0.00,Shqipëri,3,3,2026-02-08 19:19:58.497
375,8426,179.52,0.00,Germany,13,7,2026-02-08 19:19:58.510
376,1676,1062.98,1.00,Germany,12,94,2026-02-08 19:19:58.530
377,5722,6753.97,0.02,UK,2,0,2026-02-08 19:19:58.547
