device_id,user_id,device_fingerprint,os,browser,first_seen,last_seen,trusted
58,8944,DEV-354177140-58,Android,Firefox,2025-02-05 18:51:41.410,2025-02-16 18:51:41.410,1
59,1694,DEV-1565577943-59,Android,Firefox,2024-08-13 18:51:41.420,2024-08-24 18:51:41.420,1
60,6054,DEV-1003951307-60,Windows 11,Chrome,2025-07-02 18:51:41.423,2025-07-24 18:51:41.423,1
61,5163,DEV-304556622-61,Windows 11,Edge,2025-03-26 18:51:41.430,2025-04-12 18:51:41.430,1
62,3199,DEV-632193252-62,Android,Firefox,2025-09-18 18:51:41.440,2025-10-09 18:51:41.440,1
63,811,DEV-1421816033-63,Windows 10,Edge,2024-10-15 18:51:41.443,2024-10-16 18:51:41.443,1
64,1117,DEV-1795812788-64,macOS,Firefox,2026-01-06 18:51:41.450,2026-01-28 18:51:41.450,1
65,7150,DEV-797293406-65,macOS,Edge,2026-01-28 18:51:41.457,2026-02-09 18:51:41.457,0
66,4624,DEV-2137853183-66,Windows 10,Opera,2025-12-07 18:51:41.460,2025-12-20 18:51:41.460,1
67,5676,DEV-1281378293-67,macOS,Opera,2025-08-22 18:51:41.467,2025-09-07 18:51:41.467,1
68,7939,DEV-1607179017-68,Linux,Safari,2024-08-01 18:51:41.470,2024-08-01 18:51:41.470,1
69,4915,DEV-1350836426-69,Windows 11,Safari,2024-09-06 18:51:41.477,2024-09-13 18:51:41.477,1
70,411,DEV-31208303-70,macOS,Chrome,2024-12-02 18:51:41.480,2024-12-27 18:51:41.480,0
71,8424,DEV-19259715-71,Linux,Opera,2025-05-30 18:51:41.487,2025-05-30 18:51:41.487,1
72,8011,DEV-1707121805-72,Windows 10,Chrome,2025-12-25 18:51:41.493,2026-01-01 18:51:41.493,1
73,8798,DEV-667679875-73,Linux,Safari,2024-09-06 18:51:41.500,2024-09-17 18:51:41.500,0
74,6687,DEV-2001729883-74,Android,Chrome,2024-10-21 18:51:41.507,2024-10-24 18:51:41.507,1
75,3948,DEV-2020292640-75,Windows 10,Safari,2026-01-11 18:51:41.513,2026-02-03 18:51:41.513,1
76,4992,DEV-487101651-76,macOS,Opera,2026-01-18 18:51:41.520,2026-01-26 18:51:41.520,1
77,5957,DEV-755407803-77,macOS,Chrome,2024-11-01 18:51:41.523,2024-11-23 18:51:41.523,1
78,4762,DEV-1811590673-78,Windows 10,Safari,2025-02-27 18:51:41.530,2025-03-09 18:51:41.530,1
79,6415,DEV-502043711-79,iOS,Chrome,2024-04-08 18:51:41.537,2024-04-13 18:51:41.537,1
80,2407,DEV-503995477-80,Android,Firefox,2024-04-15 18:51:41.540,2024-04-17 18:51:41.540,0
81,6319,DEV-1141814256-81,Windows 11,Opera,2024-09-23 18:51:41.547,2024-10-22 18:51:41.547,0
82,2381,DEV-1080224990-82,Windows 11,Edge,2025-07-01 18:51:41.553,2025-07-30 18:51:41.553,1
83,7608,DEV-1932402274-83,macOS,Firefox,2026-02-07 18:51:41.557,2026-03-07 18:51:41.557,1
84,3436,DEV-521225262-84,iOS,Safari,2024-06-10 18:51:41.563,2024-07-09 18:51:41.563,1
85,1539,DEV-1463795683-85,Linux,Opera,2025-04-14 18:51:41.570,2025-04-21 18:51:41.570,1
86,9210,DEV-415066449-86,Windows 10,Safari,2024-11-04 18:51:41.573,2024-11-28 18:51:41.573,1
87,8180,DEV-218714879-87,iOS,Edge,2025-02-26 18:51:41.577,2025-03-04 18:51:41.577,1
88,5671,DEV-917077364-88,Android,Chrome,2024-09-25 18:51:41.583,2024-10-03 18:51:41.583,1
89,3378,DEV-899625837-89,Windows 11,Chrome,2024-10-30 18:51:41.587,2024-11-04 18:51:41.587,1
90,2254,DEV-322885376-90,Windows 10,Opera,2024-05-16 18:51:41.593,2024-05-23 18:51:41.593,1
91,1457,DEV-687269696-91,Linux,Safari,2024-04-05 18:51:41.600,2024-04-24 18:51:41.600,1
92,5883,DEV-377577838-92,iOS,Safari,2025-03-22 18:51:41.603,2025-04-03 18:51:41.603,1
93,5851,DEV-1262597120-93,macOS,Firefox,2025-09-07 18:51:41.610,2025-09-08 18:51:41.610,0
94,3565,DEV-1945728505-94,Android,Chrome,2024-07-18 18:51:41.613,2024-08-02 18:51:41.613,1
95,8651,DEV-661481072-95,Windows 11,Opera,2025-02-14 18:51:41.620,2025-02-28 18:51:41.620,0
96,5373,DEV-789052501-96,Windows 10,Edge,2024-09-24 18:51:41.627,2024-10-22 18:51:41.627,0
97,8234,DEV-1116413238-97,Linux,Edge,2025-04-22 18:51:41.630,2025-05-11 18:51:41.630,1
98,7397,DEV-1051775182-98,iOS,Edge,2024-06-15 18:51:41.633,2024-07-03 18:51:41.633,1
99,6173,DEV-1065402576-99,macOS,Opera,2025-07-02 18:51:41.640,2025-07-16 18:51:41.640,1
100,74,DEV-1434583467-100,Linux,Safari,2025-01-08 18:51:41.643,2025-02-01 18:51:41.643,1
101,890,DEV-429637189-101,iOS,Safari,2025-04-10 18:51:41.650,2025-04-18 18:51:41.650,0
102,9022,DEV-1851959367-102,Windows 10,Safari,2024-05-23 18:51:41.653,2024-05-23 18:51:41.653,1
103,4469,DEV-1766657632-103,Windows 10,Firefox,2025-03-02 18:51:41.657,2025-03-27 18:51:41.657,1
104,7244,DEV-1604272288-104,iOS,Chrome,2024-11-12 18:51:41.660,2024-12-07 18:51:41.660,1
105,8689,DEV-510485494-105,iOS,Chrome,2025-11-27 18:51:41.667,2025-12-15 18:51:41.667,1
106,8569,DEV-163831463-106,iOS,Opera,2025-04-14 18:51:41.670,2025-05-01 18:51:41.670,1
107,6663,DEV-1677010139-107,Windows 11,Chrome,2025-01-23 18:51:41.673,2025-02-14 18:51:41.673,1
108,3844,DEV-1853354182-108,macOS,Edge,2025-04-12 18:51:41.680,2025-04-30 18:51:41.680,0
109,4721,DEV-1625964634-109,Linux,Firefox,2024-04-07 18:51:41.683,2024-04-09 18:51:41.683,0
110,6561,DEV-2006350047-110,Linux,Firefox,2024-05-20 18:51:41.687,2024-06-06 18:51:41.687,0
111,3494,DEV-80272187-111,Linux,Opera,2024-06-15 18:51:41.693,2024-07-13 18:51:41.693,1
112,9560,DEV-291348663-112,macOS,Edge,2024-03-29 18:51:41.697,2024-04-01 18:51:41.697,0
113,3045,DEV-999195010-113,Android,Edge,2024-11-08 18:51:41.700,2024-11-30 18:51:41.700,1
114,2953,DEV-2072762548-114,Windows 11,Safari,2025-10-09 18:51:41.707,2025-10-23 18:51:41.707,1
115,5954,DEV-962284366-115,Android,Edge,2024-07-20 18:51:41.710,2024-08-02 18:51:41.710,1
116,1102,DEV-51706343-116,Windows 10,Safari,2025-03-19 18:51:41.717,2025-04-10 18:51:41.717,0
117,8714,DEV-56159667-117,Android,Safari,2025-10-07 18:51:41.720,2025-10-12 18:51:41.720,1
118,4590,DEV-1793425527-118,iOS,Firefox,2024-06-09 18:51:41.723,2024-06-15 18:51:41.723,1
119,5700,DEV-1674417891-119,macOS,Edge,2024-08-08 18:51:41.730,2024-09-02 18:51:41.730,1
120,9069,DEV-1869016336-120,Windows 10,Opera,2024-12-04 18:51:41.737,2024-12-18 18:51:41.737,1
121,4232,DEV-1345849728-121,macOS,Edge,2025-01-31 18:51:41.740,2025-02-23 18:51:41.740,1
122,2263,DEV-222020406-122,iOS,Edge,2024-10-19 18:51:41.743,2024-11-11 18:51:41.743,1
123,712,DEV-1925220606-123,Android,Edge,2024-06-03 18:51:41.750,2024-07-01 18:51:41.750,1
124,7826,DEV-1886601512-124,Android,Chrome,2025-03-14 18:51:41.753,2025-04-07 18:51:41.753,1
125,8958,DEV-435804984-125,Linux,Firefox,2026-01-29 18:51:41.760,2026-02-24 18:51:41.760,1
126,1114,DEV-2069544428-126,Linux,Firefox,2024-07-22 18:51:41.763,2024-07-27 18:51:41.763,1
127,3986,DEV-1402480033-127,Android,Firefox,2025-11-19 18:51:41.767,2025-12-16 18:51:41.767,0
128,8679,DEV-980597134-128,Linux,Firefox,2025-09-03 18:51:41.773,2025-09-12 18:51:41.773,1
129,5457,DEV-1608335746-129,Android,Safari,2026-02-01 18:51:41.777,2026-02-13 18:51:41.777,1
130,5039,DEV-266379654-130,Windows 10,Chrome,2025-05-02 18:51:41.780,2025-05-31 18:51:41.780,1
131,1286,DEV-888146526-131,Windows 10,Opera,2024-09-03 18:51:41.787,2024-09-14 18:51:41.787,1
132,4795,DEV-370233827-132,macOS,Edge,2024-06-22 18:51:41.790,2024-06-27 18:51:41.790,0
133,3269,DEV-789385113-133,Android,Chrome,2025-06-06 18:51:41.800,2025-06-13 18:51:41.800,1
134,2077,DEV-601853913-134,Linux,Safari,2025-07-22 18:51:41.803,2025-08-16 18:51:41.803,1
135,684,DEV-1635562202-135,macOS,Safari,2025-08-06 18:51:41.807,2025-09-02 18:51:41.807,0
136,3599,DEV-985225022-136,macOS,Safari,2026-02-06 18:51:41.813,2026-02-10 18:51:41.813,1
137,7323,DEV-1802989206-137,Android,Edge,2026-01-29 18:51:41.817,2026-02-02 18:51:41.817,1
138,1666,DEV-688684202-138,Android,Firefox,2025-04-03 18:51:41.820,2025-05-02 18:51:41.820,1
139,4770,DEV-1258735445-139,Windows 11,Opera,2024-09-30 18:51:41.823,2024-10-20 18:51:41.823,1
140,1216,DEV-177175832-140,macOS,Chrome,2024-07-22 18:51:41.830,2024-08-19 18:51:41.830,1
141,1813,DEV-580996288-141,iOS,Opera,2024-07-26 18:51:41.837,2024-07-27 18:51:41.837,1
142,2250,DEV-137698408-142,Windows 10,Firefox,2025-01-18 18:51:41.843,2025-01-27 18:51:41.843,1
143,8290,DEV-924684390-143,Linux,Safari,2024-08-19 18:51:41.850,2024-09-05 18:51:41.850,1
144,4318,DEV-1461355209-144,iOS,Chrome,2024-11-03 18:51:41.853,2024-11-12 18:51:41.853,0
145,2784,DEV-928099889-145,Windows 11,Chrome,2025-05-11 18:51:41.857,2025-05-29 18:51:41.857,1
146,9444,DEV-1411880690-146,Linux,Chrome,2024-05-14 18:51:41.860,2024-06-10 18:51:41.860,0
147,5526,DEV-483738475-147,Linux,Edge,2025-01-22 18:51:41.867,2025-02-03 18:51:41.867,1
148,644,DEV-556274360-148,Windows 11,Opera,2024-05-11 18:51:41.870,2024-05-29 18:51:41.870,0
149,3960,DEV-205004537-149,Windows 10,Opera,2025-06-23 18:51:41.873,2025-07-22 18:51:41.873,1
150,8495,DEV-920333496-150,iOS,Opera,2025-07-23 18:51:41.877,2025-08-02 18:51:41.877,0
151,7500,DEV-706858392-151,Windows 10,Edge,2025-02-13 18:51:41.880,2025-02-16 18:51:41.880,0
152,8863,DEV-1182888136-152,Linux,Firefox,2024-04-12 18:51:41.887,2024-04-15 18:51:41.887,0
153,9544,DEV-1271915082-153,macOS,Edge,2025-11-16 18:51:41.890,2025-12-05 18:51:41.890,1
154,6705,DEV-1315982893-154,macOS,Opera,2025-02-26 18:51:41.897,2025-02-26 18:51:41.897,0
155,4282,DEV-1779954194-155,macOS,Safari,2024-11-07 18:51:41.900,2024-11-18 18:51:41.900,0
156,2522,DEV-165686304-156,Android,Chrome,2025-03-30 18:51:41.907,2025-04-27 18:51:41.907,0
157,2303,DEV-1438575084-157,Windows 10,Edge,2025-12-27 18:51:41.910,2026-01-23 18:51:41.910,1
158,7898,DEV-1620609839-158,Android,Opera,2025-06-15 18:51:41.913,2025-07-07 18:51:41.913,0
159,9660,DEV-1549687734-159,Linux,Edge,2025-11-13 18:51:41.917,2025-11-17 18:51:41.917,0
160,3760,DEV-1818389122-160,Windows 11,Safari,2024-11-02 18:51:41.923,2024-11-30 18:51:41.923,1
161,4368,DEV-1518505420-161,macOS,Safari,2025-03-08 18:51:41.930,2025-03-17 18:51:41.930,0
162,9065,DEV-1476898517-162,Windows 10,Firefox,2024-02-12 18:51:41.933,2024-02-23 18:51:41.933,1
163,1110,DEV-1297929364-163,Android,Opera,2024-10-16 18:51:41.940,2024-10-20 18:51:41.940,1
164,773,DEV-709268739-164,iOS,Firefox,2025-01-04 18:51:41.950,2025-01-27 18:51:41.950,0
165,2588,DEV-1966975988-165,Windows 11,Edge,2025-02-02 18:51:41.953,2025-02-26 18:51:41.953,1
166,9103,DEV-378516233-166,Android,Edge,2025-05-02 18:51:41.960,2025-05-17 18:51:41.960,1
167,3208,DEV-1643075635-167,Android,Opera,2024-04-27 18:51:41.963,2024-05-02 18:51:41.963,1
168,9420,DEV-1341814516-168,Android,Opera,2025-01-02 18:51:41.967,2025-01-11 18:51:41.967,0
169,8487,DEV-466708206-169,Windows 10,Opera,2024-04-08 18:51:41.970,2024-04-26 18:51:41.970,1
170,1349,DEV-2002689871-170,iOS,Edge,2024-04-03 18:51:41.980,2024-05-02 18:51:41.980,1
171,9228,DEV-1227141529-171,macOS,Opera,2025-09-12 18:51:41.983,2025-10-05 18:51:41.983,0
172,5788,DEV-356900579-172,Linux,Safari,2024-10-04 18:51:41.990,2024-10-10 18:51:41.990,1
173,202,DEV-629122343-173,iOS,Safari,2024-09-06 18:51:41.993,2024-10-03 18:51:41.993,1
174,2894,DEV-1103829037-174,iOS,Opera,2025-10-11 18:51:41.997,2025-10-30 18:51:41.997,1
175,2594,DEV-1082461204-175,Linux,Edge,2026-01-11 18:51:42.007,2026-02-08 18:51:42.007,1
176,9343,DEV-2089235490-176,Windows 11,Safari,2024-04-09 18:51:42.010,2024-05-07 18:51:42.010,1
177,4616,DEV-1471293530-177,iOS,Firefox,2025-09-02 18:51:42.017,2025-09-28 18:51:42.017,0
178,7351,DEV-1356648714-178,Windows 11,Edge,2024-12-03 18:51:42.023,2024-12-20 18:51:42.023,1
179,1214,DEV-1233274742-179,macOS,Opera,2025-11-13 18:51:42.027,2025-11-13 18:51:42.027,0
180,1206,DEV-616920306-180,Windows 10,Firefox,2024-08-30 18:51:42.030,2024-09-19 18:51:42.030,1
181,2966,DEV-451912047-181,Android,Firefox,2025-05-15 18:51:42.037,2025-05-26 18:51:42.037,1
182,1802,DEV-1212538186-182,Windows 10,Chrome,2025-09-08 18:51:42.040,2025-09-20 18:51:42.040,1
183,1738,DEV-1052448243-183,Android,Chrome,2025-08-27 18:51:42.043,2025-09-24 18:51:42.043,0
184,4052,DEV-1248148239-184,Windows 10,Edge,2025-04-19 18:51:42.050,2025-05-07 18:51:42.050,1
185,1446,DEV-2112617067-185,macOS,Edge,2025-11-11 18:51:42.053,2025-11-23 18:51:42.053,1
186,6143,DEV-195724487-186,Windows 11,Safari,2024-08-11 18:51:42.057,2024-09-08 18:51:42.057,0
187,6092,DEV-1625820654-187,iOS,Edge,2025-08-20 18:51:42.063,2025-09-05 18:51:42.063,0
188,1719,DEV-1463520347-188,Windows 10,Chrome,2024-12-01 18:51:42.070,2024-12-13 18:51:42.070,0
189,4467,DEV-1208214993-189,iOS,Firefox,2024-05-23 18:51:42.073,2024-05-27 18:51:42.073,1
190,7760,DEV-1236198907-190,Linux,Safari,2025-10-12 18:51:42.080,2025-11-05 18:51:42.080,1
191,7196,DEV-1111935798-191,Android,Safari,2024-07-12 18:51:42.083,2024-08-02 18:51:42.083,0
192,6515,DEV-836249571-192,Linux,Opera,2024-11-23 18:51:42.090,2024-12-04 18:51:42.090,1
193,1077,DEV-54663180-193,macOS,Firefox,2024-05-21 18:51:42.093,2024-06-04 18:51:42.093,0
194,5558,DEV-1652927923-194,Windows 11,Opera,2025-08-04 18:51:42.097,2025-08-26 18:51:42.097,1
195,9492,DEV-78592739-195,iOS,Firefox,2024-12-25 18:51:42.103,2025-01-01 18:51:42.103,1
196,755,DEV-1746418241-196,macOS,Safari,2024-07-24 18:51:42.107,2024-08-11 18:51:42.107,0
197,6419,DEV-798089480-197,iOS,Chrome,2025-03-31 18:51:42.113,2025-04-25 18:51:42.113,1
198,9308,DEV-85038663-198,macOS,Safari,2025-06-25 18:51:42.120,2025-07-19 18:51:42.120,1
199,6028,DEV-636671942-199,Windows 10,Opera,2025-10-02 18:51:42.123,2025-10-16 18:51:42.123,1
200,1161,DEV-646770817-200,Android,Opera,2025-07-04 18:51:42.127,2025-07-22 18:51:42.127,1
201,7160,DEV-1395549355-201,Linux,Opera,2025-12-03 18:51:42.130,2025-12-31 18:51:42.130,0
202,5324,DEV-648707499-202,Linux,Opera,2024-06-06 18:51:42.137,2024-06-22 18:51:42.137,1
203,2601,DEV-234104791-203,Windows 10,Chrome,2024-09-16 18:51:42.140,2024-10-03 18:51:42.140,1
204,1424,DEV-317083324-204,Windows 10,Safari,2025-10-06 18:51:42.147,2025-10-13 18:51:42.147,0
205,3170,DEV-833296507-205,Windows 11,Opera,2025-06-09 18:51:42.150,2025-06-24 18:51:42.150,1
206,839,DEV-1688150199-206,macOS,Edge,2024-10-02 18:51:42.157,2024-10-08 18:51:42.157,1
207,2041,DEV-365032385-207,Windows 11,Edge,2025-01-02 18:51:42.160,2025-01-25 18:51:42.160,1
208,8813,DEV-835715323-208,macOS,Chrome,2024-02-22 18:51:42.167,2024-03-02 18:51:42.167,0
209,9667,DEV-2097951478-209,Android,Opera,2025-01-01 18:51:42.170,2025-01-03 18:51:42.170,0
210,6178,DEV-1372088952-210,macOS,Safari,2024-06-30 18:51:42.173,2024-07-22 18:51:42.173,1
211,9818,DEV-1157738591-211,macOS,Chrome,2024-08-30 18:51:42.180,2024-09-12 18:51:42.180,1
212,9237,DEV-552396659-212,Linux,Safari,2024-09-17 18:51:42.183,2024-09-20 18:51:42.183,1
213,5657,DEV-267942897-213,iOS,Safari,2024-04-09 18:51:42.190,2024-04-24 18:51:42.190,1
214,4697,DEV-698356669-214,macOS,Opera,2024-05-18 18:51:42.197,2024-06-12 18:51:42.197,1
215,6708,DEV-764224492-215,Windows 11,Opera,2025-04-18 18:51:42.203,2025-04-22 18:51:42.203,1
216,5367,DEV-337624155-216,Windows 11,Edge,2025-05-19 18:51:42.207,2025-06-11 18:51:42.207,1
217,9587,DEV-1325371169-217,Windows 11,Chrome,2025-02-14 18:51:42.213,2025-02-22 18:51:42.213,1
218,9833,DEV-150939144-218,Windows 11,Edge,2024-04-17 18:51:42.217,2024-04-24 18:51:42.217,1
219,124,DEV-680288865-219,Windows 10,Edge,2025-12-09 18:51:42.220,2025-12-19 18:51:42.220,1
220,4727,DEV-1001942116-220,Windows 10,Opera,2024-02-11 18:51:42.227,2024-03-02 18:51:42.227,1
221,9786,DEV-1543246240-221,Windows 11,Opera,2025-10-24 18:51:42.230,2025-11-22 18:51:42.230,1
222,1177,DEV-261676025-222,Windows 11,Safari,2024-07-19 18:51:42.237,2024-07-26 18:51:42.237,1
223,4702,DEV-76954114-223,Android,Chrome,2024-11-05 18:51:42.240,2024-11-29 18:51:42.240,1
224,7092,DEV-1435970930-224,iOS,Chrome,2025-10-29 18:51:42.247,2025-11-01 18:51:42.247,1
225,4438,DEV-1872931640-225,macOS,Safari,2025-10-01 18:51:42.250,2025-10-20 18:51:42.250,0
226,3362,DEV-669202462-226,macOS,Safari,2024-06-06 18:51:42.253,2024-07-02 18:51:42.253,0
227,8311,DEV-562929799-227,Linux,Firefox,2024-12-08 18:51:42.257,2024-12-11 18:51:42.257,0
228,9635,DEV-1670386319-228,Android,Safari,2025-12-10 18:51:42.260,2026-01-06 18:51:42.260,0
229,4131,DEV-2122877068-229,Android,Chrome,2025-03-12 18:51:42.267,2025-04-03 18:51:42.267,1
230,9392,DEV-1204893923-230,Android,Chrome,2025-01-17 18:51:42.270,2025-01-21 18:51:42.270,1
231,6487,DEV-487240262-231,Linux,Edge,2025-10-09 18:51:42.273,2025-10-20 18:51:42.273,1
232,1617,DEV-6866977-232,macOS,Edge,2025-08-04 18:51:42.277,2025-08-05 18:51:42.277,0
233,858,DEV-1940224921-233,Windows 11,Edge,2025-12-15 18:51:42.280,2026-01-12 18:51:42.280,1
234,9351,DEV-76622341-234,Windows 11,Opera,2024-11-29 18:51:42.283,2024-12-17 18:51:42.283,0
235,7961,DEV-1846551813-235,Windows 11,Safari,2025-01-02 18:51:42.290,2025-01-17 18:51:42.290,1
236,5124,DEV-573242994-236,iOS,Firefox,2025-02-04 18:51:42.293,2025-03-04 18:51:42.293,1
237,3034,DEV-1727291799-237,Windows 10,Edge,2025-01-05 18:51:42.297,2025-01-08 18:51:42.297,0
238,571,DEV-140817068-238,Windows 11,Chrome,2025-01-06 18:51:42.303,2025-01-14 18:51:42.303,0
239,3703,DEV-566615411-239,Windows 10,Edge,2024-11-27 18:51:42.307,2024-12-26 18:51:42.307,1
240,3107,DEV-1455269527-240,iOS,Edge,2025-11-13 18:51:42.310,2025-12-11 18:51:42.310,0
241,7733,DEV-1186161785-241,Android,Edge,2026-01-20 18:51:42.317,2026-02-01 18:51:42.317,1
242,3535,DEV-1192571678-242,iOS,Chrome,2025-01-28 18:51:42.320,2025-02-02 18:51:42.320,1
243,3964,DEV-1109525034-243,Windows 11,Edge,2025-10-25 18:51:42.323,2025-10-31 18:51:42.323,0
244,6395,DEV-699568253-244,Linux,Safari,2024-07-28 18:51:42.327,2024-08-22 18:51:42.327,0
245,2269,DEV-1039468253-245,Windows 11,Edge,2025-07-15 18:51:42.330,2025-08-12 18:51:42.330,1
246,7330,DEV-1677002166-246,iOS,Chrome,2024-07-27 18:51:42.333,2024-08-23 18:51:42.333,1
247,6758,DEV-325361541-247,Android,Safari,2025-05-08 18:51:42.337,2025-05-09 18:51:42.337,1
