merchant_id,merchant_name,category,country,risk_score,created_at
93,Merchant_1220423984_93,Restaurants,Shqipëri,58,2025-05-22 18:56:58.367
94,Merchant_208239269_94,Beauty,USA,66,2025-12-01 18:56:58.367
95,Merchant_1452471990_95,Automotive,Switzerland,17,2024-08-30 18:56:58.367
96,Merchant_1148581361_96,Furniture,Italy,21,2024-06-30 18:56:58.370
97,Merchant_920067159_97,Restaurants,Italy,80,2023-11-07 18:56:58.370
98,Merchant_1932634221_98,Restaurants,Netherlands,59,2024-07-30 18:56:58.370
99,Merchant_671911328_99,Beauty,Switzerland,33,2025-02-08 18:56:58.370
100,Merchant_1921643752_100,Travel,Switzerland,90,2024-02-17 18:56:58.370
101,Merchant_1012222595_101,Education,Spain,71,2024-08-13 18:56:58.373
102,Merchant_1108621027_102,Travel,Italy,63,2023-11-18 18:56:58.373
103,Merchant_1823731221_103,Restaurants,France,69,2024-05-02 18:56:58.373
104,Merchant_308959562_104,Sports,Netherlands,98,2025-01-19 18:56:58.373
105,Merchant_485018970_105,Automotive,USA,68,2025-07-30 18:56:58.373
106,Merchant_458736588_106,Groceries,France,90,2025-03-20 18:56:58.377
107,Merchant_998371796_107,Healthcare,France,51,2023-04-14 18:56:58.377
108,Merchant_854171617_108,Travel,Germany,93,2023-03-06 18:56:58.377
109,Merchant_837184315_109,Groceries,Kosove,24,2023-06-29 18:56:58.377
110,Merchant_794360121_110,Clothing,Spain,24,2023-03-30 18:56:58.377
111,Merchant_1462310308_111,Entertainment,Netherlands,33,2023-08-09 18:56:58.377
112,Merchant_1078879371_112,Entertainment,Germany,99,2023-09-20 18:56:58.380
113,Merchant_1926040643_113,Electronics,Italy,72,2023-02-11 18:56:58.380
114,Merchant_1855904094_114,Travel,USA,72,2023-09-05 18:56:58.380
115,Merchant_1598317234_115,Clothing,Germany,64,2024-10-03 18:56:58.380
116,Merchant_1892800132_116,Groceries,UK,40,2023-12-10 18:56:58.380
117,Merchant_1534507154_117,Automotive,Switzerland,72,2025-09-15 18:56:58.383
118,Merchant_2004440534_118,Restaurants,Spain,80,2024-03-01 18:56:58.383
119,Merchant_1328359781_119,Entertainment,Shqipëri,24,2025-01-28 18:56:58.383
120,Merchant_1570475233_120,Clothing,Shqipëri,44,2025-08-11 18:56:58.383
121,Merchant_2035733797_121,Education,Switzerland,55,2023-10-25 18:56:58.383
122,Merchant_1427863866_122,Groceries,Switzerland,69,2023-08-13 18:56:58.383
123,Merchant_1180565120_123,Travel,Switzerland,45,2023-12-01 18:56:58.387
124,Merchant_605414418_124,Restaurants,USA,13,2023-02-23 18:56:58.387
125,Merchant_225913140_125,Travel,Italy,83,2025-08-27 18:56:58.387
126,Merchant_946481524_126,Beauty,Italy,38,2023-07-04 18:56:58.390
127,Merchant_1091822158_127,Travel,Shqipëri,28,2025-11-09 18:56:58.390
128,Merchant_518848334_128,Groceries,UK,74,2024-06-03 18:56:58.390
129,Merchant_262113057_129,Clothing,Kosove,52,2023-07-24 18:56:58.390
130,Merchant_942450614_130,Travel,Shqipëri,51,2024-03-29 18:56:58.390
131,Merchant_432038072_131,Entertainment,Germany,11,2023-12-01 18:56:58.390
132,Merchant_726625678_132,Groceries,France,44,2025-08-13 18:56:58.390
133,Merchant_2146936899_133,Education,Shqipëri,48,2025-08-26 18:56:58.390
134,Merchant_1932010874_134,Furniture,Shqipëri,49,2026-01-03 18:56:58.393
135,Merchant_1883138050_135,Furniture,France,39,2025-08-07 18:56:58.393
136,Merchant_803856595_136,Restaurants,USA,9,2024-06-16 18:56:58.393
137,Merchant_216675279_137,Beauty,Netherlands,96,2025-12-13 18:56:58.393
138,Merchant_1922383532_138,Restaurants,Switzerland,60,2025-05-10 18:56:58.393
139,Merchant_143228020_139,Beauty,Shqipëri,61,2023-04-03 18:56:58.397
140,Merchant_528632094_140,Restaurants,Spain,53,2024-01-13 18:56:58.397
141,Merchant_1452960524_141,Furniture,Switzerland,42,2024-10-16 18:56:58.397
142,Merchant_1063387231_142,Education,Italy,21,2023-03-08 18:56:58.397
143,Merchant_1059520631_143,Furniture,Kosove,71,2024-01-04 18:56:58.397
144,Merchant_1448461545_144,Groceries,Spain,92,2023-07-10 18:56:58.400
145,Merchant_1888375692_145,Beauty,Spain,23,2025-08-03 18:56:58.400
146,Merchant_881615623_146,Furniture,France,33,2023-10-10 18:56:58.400
147,Merchant_1862455124_147,Automotive,France,13,2024-03-01 18:56:58.400
148,Merchant_1380388796_148,Groceries,France,89,2025-10-29 18:56:58.400
149,Merchant_1769626389_149,Clothing,UK,71,2024-07-18 18:56:58.400
150,Merchant_1598626575_150,Groceries,Kosove,62,2023-06-07 18:56:58.403
151,Merchant_1853317630_151,Education,Switzerland,76,2024-07-16 18:56:58.403
152,Merchant_729813422_152,Restaurants,Switzerland,63,2023-10-21 18:56:58.403
153,Merchant_736045471_153,Electronics,Italy,74,2023-07-04 18:56:58.403
154,Merchant_1672118728_154,Electronics,USA,87,2025-10-22 18:56:58.407
155,Merchant_588109359_155,Furniture,Spain,100,2025-01-13 18:56:58.407
156,Merchant_536005725_156,Beauty,Netherlands,81,2023-05-31 18:56:58.407
157,Merchant_658927716_157,Automotive,Spain,53,2023-12-29 18:56:58.407
158,Merchant_1378707340_158,Beauty,USA,23,2024-08-22 18:56:58.407
159,Merchant_2096908071_159,Education,USA,47,2025-10-03 18:56:58.407
160,Merchant_678439607_160,Sports,Shqipëri,85,2024-11-21 18:56:58.410
161,Merchant_1567388760_161,Education,Netherlands,58,2024-02-23 18:56:58.410
162,Merchant_1946443097_162,Restaurants,France,40,2025-04-23 18:56:58.410
163,Merchant_1005624179_163,Healthcare,France,68,2023-08-24 18:56:58.410
164,Merchant_1216828424_164,Electronics,UK,54,2025-04-30 18:56:58.410
165,Merchant_2025035310_165,Groceries,Netherlands,40,2024-06-06 18:56:58.410
166,Merchant_312839643_166,Automotive,France,6,2024-04-16 18:56:58.410
167,Merchant_1675512603_167,Beauty,USA,97,2025-11-18 18:56:58.413
168,Merchant_520412905_168,Automotive,USA,90,2024-04-07 18:56:58.413
169,Merchant_1537516361_169,Furniture,Germany,45,2024-01-20 18:56:58.413
170,Merchant_1300036807_170,Healthcare,UK,72,2025-02-19 18:56:58.413
171,Merchant_723854842_171,Automotive,Italy,35,2023-02-14 18:56:58.413
172,Merchant_151812082_172,Healthcare,France,72,2023-08-11 18:56:58.413
173,Merchant_1992369161_173,Groceries,UK,97,2023-08-20 18:56:58.417
174,Merchant_548931979_174,Electronics,Kosove,75,2025-05-16 18:56:58.417
175,Merchant_2122122623_175,Electronics,Shqipëri,72,2024-10-18 18:56:58.417
176,Merchant_1757226078_176,Restaurants,Germany,81,2023-12-31 18:56:58.417
177,Merchant_1224879415_177,Clothing,UK,70,2024-10-14 18:56:58.417
178,Merchant_745947361_178,Healthcare,USA,70,2024-08-08 18:56:58.417
179,Merchant_899932024_179,Education,USA,16,2025-09-26 18:56:58.420
180,Merchant_2054802175_180,Sports,Shqipëri,69,2024-02-06 18:56:58.420
181,Merchant_1052347589_181,Furniture,Netherlands,57,2025-03-04 18:56:58.420
182,Merchant_311159188_182,Travel,Shqipëri,54,2025-04-29 18:56:58.420
183,Merchant_2143000561_183,Automotive,Germany,81,2025-02-26 18:56:58.420
184,Merchant_535970606_184,Groceries,France,62,2023-04-20 18:56:58.420
185,Merchant_729369627_185,Beauty,Shqipëri,48,2025-03-04 18:56:58.423
186,Merchant_1463251922_186,Entertainment,USA,90,2024-01-30 18:56:58.423
187,Merchant_1863796380_187,Travel,USA,88,2023-04-12 18:56:58.423
188,Merchant_81557194_188,Furniture,UK,50,2023-05-30 18:56:58.423
189,Merchant_1499611501_189,Clothing,France,16,2025-05-08 18:56:58.423
190,Merchant_1553838690_190,Furniture,Switzerland,61,2023-09-30 18:56:58.423
191,Merchant_1715525551_191,Restaurants,Kosove,74,2023-07-06 18:56:58.427
192,Merchant_1987017685_192,Sports,France,51,2025-12-11 18:56:58.427
193,Merchant_1925666454_193,Entertainment,Netherlands,46,2024-01-10 18:56:58.427
194,Merchant_1102937601_194,Education,USA,11,2026-02-02 18:56:58.427
195,Merchant_109878291_195,Entertainment,USA,4,2025-12-12 18:56:58.427
196,Merchant_454714555_196,Groceries,UK,3,2025-07-03 18:56:58.430
197,Merchant_844071080_197,Entertainment,Netherlands,60,2023-12-20 18:56:58.430
198,Merchant_1055090847_198,Healthcare,Spain,60,2025-01-05 18:56:58.430
199,Merchant_900977553_199,Beauty,Shqipëri,67,2024-03-04 18:56:58.430
200,Merchant_2087971662_200,Restaurants,Germany,34,2023-06-22 18:56:58.430
201,Merchant_2006577373_201,Sports,Italy,3,2023-06-12 18:56:58.430
202,Merchant_1866564257_202,Furniture,Netherlands,42,2023-10-28 18:56:58.430
203,Merchant_1189848118_203,Automotive,France,49,2026-01-18 18:56:58.430
204,Merchant_1019207027_204,Electronics,Italy,36,2025-11-02 18:56:58.433
205,Merchant_503586034_205,Sports,USA,71,2025-10-19 18:56:58.433
206,Merchant_973025026_206,Automotive,Switzerland,49,2024-09-29 18:56:58.433
207,Merchant_1910310755_207,Electronics,UK,88,2023-02-22 18:56:58.433
208,Merchant_1148397735_208,Restaurants,Shqipëri,20,2023-04-25 18:56:58.437
209,Merchant_2130092335_209,Sports,Switzerland,90,2024-09-28 18:56:58.437
210,Merchant_1163344115_210,Education,Spain,52,2025-03-31 18:56:58.437
211,Merchant_1614561770_211,Education,Kosove,48,2023-02-19 18:56:58.440
212,Merchant_2074157533_212,Beauty,Italy,72,2023-02-25 18:56:58.440
213,Merchant_1248871629_213,Entertainment,USA,9,2023-03-15 18:56:58.440
214,Merchant_698620700_214,Automotive,Netherlands,15,2026-01-15 18:56:58.440
215,Merchant_2020598841_215,Healthcare,Shqipëri,63,2025-08-29 18:56:58.440
216,Merchant_1565459307_216,Education,Germany,25,2023-08-15 18:56:58.440
217,Merchant_1216752073_217,Healthcare,Shqipëri,10,2025-07-11 18:56:58.443
218,Merchant_1435270824_218,Healthcare,Netherlands,16,2024-02-19 18:56:58.443
219,Merchant_302200862_219,Groceries,Kosove,27,2024-08-24 18:56:58.443
220,Merchant_1581422146_220,Travel,Italy,22,2024-07-18 18:56:58.443
221,Merchant_2102818428_221,Restaurants,Switzerland,95,2025-03-04 18:56:58.443
222,Merchant_919587882_222,Beauty,USA,87,2025-01-19 18:56:58.443
223,Merchant_2090546827_223,Entertainment,Switzerland,4,2025-04-05 18:56:58.447
224,Merchant_1372424804_224,Restaurants,Italy,5,2025-07-12 18:56:58.447
225,Merchant_287387023_225,Furniture,Netherlands,27,2024-03-06 18:56:58.447
226,Merchant_560726528_226,Beauty,Netherlands,66,2023-11-12 18:56:58.447
227,Merchant_1250129903_227,Sports,USA,41,2025-10-02 18:56:58.447
228,Merchant_476293635_228,Entertainment,Italy,90,2023-02-27 18:56:58.447
229,Merchant_744777529_229,Travel,Kosove,42,2023-05-16 18:56:58.450
230,Merchant_812453097_230,Sports,France,86,2025-07-27 18:56:58.450
231,Merchant_1319564382_231,Groceries,France,19,2024-12-18 18:56:58.450
232,Merchant_406426911_232,Furniture,USA,27,2024-01-17 18:56:58.450
233,Merchant_1674486824_233,Clothing,Germany,73,2025-12-08 18:56:58.450
234,Merchant_913139381_234,Automotive,Kosove,83,2025-01-19 18:56:58.450
235,Merchant_441075708_235,Entertainment,USA,20,2023-03-31 18:56:58.453
236,Merchant_1347308752_236,Sports,Kosove,8,2025-08-07 18:56:58.453
237,Merchant_1467346367_237,Electronics,Italy,9,2023-07-08 18:56:58.453
238,Merchant_1353470523_238,Restaurants,Netherlands,69,2024-07-02 18:56:58.453
239,Merchant_1966814677_239,Sports,Switzerland,98,2023-05-25 18:56:58.453
240,Merchant_858101422_240,Furniture,Spain,25,2025-03-09 18:56:58.457
241,Merchant_1432024334_241,Clothing,Kosove,63,2025-04-24 18:56:58.457
242,Merchant_416162673_242,Sports,Shqipëri,7,2023-04-13 18:56:58.457
243,Merchant_1311714870_243,Entertainment,Italy,90,2025-07-23 18:56:58.457
244,Merchant_282914019_244,Entertainment,Switzerland,82,2024-01-24 18:56:58.457
245,Merchant_551505145_245,Beauty,UK,28,2023-07-24 18:56:58.457
246,Merchant_1274937996_246,Travel,France,62,2025-01-01 18:56:58.460
247,Merchant_1551269443_247,Entertainment,Kosove,66,2024-05-14 18:56:58.460
248,Merchant_1427509835_248,Travel,France,93,2025-05-02 18:56:58.460
249,Merchant_151329849_249,Healthcare,Shqipëri,39,2025-02-28 18:56:58.460
250,Merchant_1887895694_250,Travel,USA,70,2025-06-29 18:56:58.460
251,Merchant_452295402_251,Entertainment,Switzerland,91,2025-03-06 18:56:58.460
252,Merchant_848514409_252,Groceries,Shqipëri,81,2025-04-15 18:56:58.460
253,Merchant_386682174_253,Automotive,Netherlands,11,2024-10-04 18:56:58.463
254,Merchant_1618678373_254,Electronics,Switzerland,11,2024-05-10 18:56:58.463
255,Merchant_176771074_255,Furniture,USA,98,2025-10-09 18:56:58.463
256,Merchant_412880523_256,Sports,UK,85,2024-06-17 18:56:58.463
257,Merchant_2146908732_257,Travel,Italy,5,2023-02-12 18:56:58.463
258,Merchant_2020992001_258,Electronics,Spain,28,2024-02-03 18:56:58.463
259,Merchant_727771526_259,Automotive,Germany,37,2024-04-14 18:56:58.463
260,Merchant_1038744352_260,Travel,Italy,31,2025-08-03 18:56:58.467
261,Merchant_1453507988_261,Entertainment,Netherlands,94,2023-03-02 18:56:58.467
262,Merchant_215948206_262,Clothing,Switzerland,91,2025-04-23 18:56:58.467
263,Merchant_819069572_263,Healthcare,Germany,13,2023-08-02 18:56:58.467
264,Merchant_1236071068_264,Healthcare,Netherlands,6,2024-02-06 18:56:58.467
265,Merchant_1063435574_265,Restaurants,Kosove,62,2025-01-22 18:56:58.470
266,Merchant_197778776_266,Beauty,Italy,24,2026-01-29 18:56:58.470
267,Merchant_511907995_267,Clothing,Germany,100,2023-08-15 18:56:58.470
268,Merchant_1851858498_268,Clothing,Italy,21,2023-03-12 18:56:58.470
269,Merchant_721245781_269,Education,Netherlands,61,2025-02-22 18:56:58.470
270,Merchant_177957768_270,Restaurants,Shqipëri,31,2024-01-13 18:56:58.470
271,Merchant_101587364_271,Clothing,Kosove,51,2025-12-20 18:56:58.470
272,Merchant_1354758937_272,Beauty,USA,95,2023-08-24 18:56:58.473
273,Merchant_1609833737_273,Sports,Shqipëri,81,2023-04-11 18:56:58.473
274,Merchant_1050629650_274,Education,Switzerland,30,2023-11-06 18:56:58.473
275,Merchant_1515196017_275,Education,USA,34,2023-06-07 18:56:58.473
276,Merchant_59134881_276,Electronics,UK,41,2023-10-24 18:56:58.473
277,Merchant_1576612053_277,Education,Netherlands,91,2024-03-24 18:56:58.477
278,Merchant_59484627_278,Restaurants,UK,17,2023-07-14 18:56:58.477
279,Merchant_299553275_279,Clothing,Netherlands,48,2023-02-26 18:56:58.477
280,Merchant_131153000_280,Restaurants,Shqipëri,96,2025-04-22 18:56:58.477
281,Merchant_1890190956_281,Entertainment,Shqipëri,18,2025-02-13 18:56:58.480
282,Merchant_1510561920_282,Groceries,UK,90,2023-09-17 18:56:58.480
283,Merchant_1006094857_283,Sports,France,55,2024-03-09 18:56:58.480
284,Merchant_854558664_284,Electronics,Spain,84,2024-10-26 18:56:58.480
285,Merchant_2054925098_285,Furniture,Netherlands,29,2023-02-21 18:56:58.480
286,Merchant_1315515445_286,Education,Netherlands,40,2024-09-06 18:56:58.480
287,Merchant_358907462_287,Automotive,USA,83,2023-02-12 18:56:58.483
288,Merchant_2023163800_288,Healthcare,Switzerland,10,2023-06-23 18:56:58.483
289,Merchant_644257937_289,Entertainment,Shqipëri,42,2024-03-30 18:56:58.483
290,Merchant_1951337325_290,Travel,Switzerland,25,2025-03-23 18:56:58.483
291,Merchant_1353376432_291,Electronics,Shqipëri,83,2023-11-28 18:56:58.483
292,Merchant_166645166_292,Sports,Switzerland,70,2023-04-22 18:56:58.487
293,Merchant_1381396142_293,Restaurants,Switzerland,44,2023-11-02 18:56:58.487
294,Merchant_183007579_294,Clothing,Switzerland,33,2024-03-31 18:56:58.487
295,Merchant_19567649_295,Electronics,UK,88,2024-11-04 18:56:58.487
296,Merchant_1782224565_296,Beauty,Switzerland,89,2025-11-07 18:56:58.487
297,Merchant_720605467_297,Furniture,France,94,2025-11-26 18:56:58.490
298,Merchant_1443006813_298,Automotive,Shqipëri,22,2023-06-19 18:56:58.490
299,Merchant_338245171_299,Healthcare,UK,69,2025-10-26 18:56:58.490
300,Merchant_710687297_300,Groceries,UK,18,2024-04-17 18:56:58.490
301,Merchant_1583310215_301,Groceries,Italy,71,2025-08-30 18:56:58.490
302,Merchant_276256647_302,Automotive,Switzerland,36,2026-01-01 18:56:58.490
303,Merchant_1049178551_303,Healthcare,UK,64,2024-02-03 18:56:58.490
304,Merchant_1204617983_304,Electronics,Kosove,97,2024-05-12 18:56:58.490
305,Merchant_1773184629_305,Sports,Kosove,0,2024-10-20 18:56:58.493
306,Merchant_848707417_306,Furniture,UK,7,2024-04-20 18:56:58.493
307,Merchant_462093125_307,Electronics,Germany,42,2023-11-30 18:56:58.493
308,Merchant_975420434_308,Beauty,USA,15,2024-07-02 18:56:58.493
309,Merchant_1408019339_309,Healthcare,Shqipëri,3,2026-01-10 18:56:58.493
310,Merchant_2003961533_310,Education,Italy,34,2024-12-01 18:56:58.493
311,Merchant_1609159310_311,Clothing,Shqipëri,88,2024-03-31 18:56:58.497
312,Merchant_1452829173_312,Electronics,Kosove,58,2025-04-22 18:56:58.497
313,Merchant_739565266_313,Education,Italy,42,2025-09-27 18:56:58.497
314,Merchant_44213753_314,Sports,Spain,36,2023-04-29 18:56:58.497
315,Merchant_236461780_315,Electronics,USA,30,2024-10-26 18:56:58.497
316,Merchant_667411434_316,Clothing,Italy,25,2026-02-03 18:56:58.497
317,Merchant_103448572_317,Restaurants,Kosove,63,2025-09-08 18:56:58.500
318,Merchant_1548338690_318,Education,Italy,51,2024-03-07 18:56:58.500
319,Merchant_322492566_319,Healthcare,Switzerland,33,2023-06-21 18:56:58.500
320,Merchant_1031562100_320,Education,Switzerland,46,2023-08-04 18:56:58.500
321,Merchant_124619774_321,Education,Switzerland,97,2023-10-27 18:56:58.500
322,Merchant_786285451_322,Travel,Shqipëri,30,2023-06-07 18:56:58.500
323,Merchant_1880662117_323,Beauty,France,64,2024-01-21 18:56:58.500
324,Merchant_38012692_324,Clothing,USA,70,2023-05-08 18:56:58.500
325,Merchant_1246757930_325,Entertainment,USA,28,2024-12-29 18:56:58.503
326,Merchant_1950309895_326,Travel,Shqipëri,95,2025-04-03 18:56:58.503
327,Merchant_1659643706_327,Automotive,Kosove,19,2025-09-09 18:56:58.503
328,Merchant_49085649_328,Sports,Netherlands,78,2023-03-15 18:56:58.503
329,Merchant_1752081416_329,Restaurants,USA,64,2023-09-18 18:56:58.503
330,Merchant_1309591900_330,Sports,Germany,8,2025-05-09 18:56:58.503
331,Merchant_947970256_331,Entertainment,USA,20,2023-12-18 18:56:58.503
332,Merchant_637695342_332,Healthcare,Germany,51,2023-11-17 18:56:58.507
333,Merchant_2135757907_333,Entertainment,UK,30,2025-03-16 18:56:58.507
334,Merchant_1076634849_334,Education,USA,36,2024-11-06 18:56:58.507
335,Merchant_1685236965_335,Electronics,Italy,79,2023-02-27 18:56:58.507
336,Merchant_1671597688_336,Beauty,Spain,63,2024-03-08 18:56:58.507
337,Merchant_1086200956_337,Restaurants,Spain,21,2025-12-19 18:56:58.507
338,Merchant_1056433986_338,Beauty,Switzerland,38,2025-03-13 18:56:58.510
339,Merchant_315371052_339,Groceries,Switzerland,58,2025-11-23 18:56:58.510
340,Merchant_1795876553_340,Groceries,Shqipëri,35,2023-03-20 18:56:58.510
341,Merchant_1157516740_341,Clothing,Shqipëri,10,2023-07-07 18:56:58.510
342,Merchant_1682870204_342,Furniture,France,60,2024-01-25 18:56:58.510
343,Merchant_1418596417_343,Automotive,Germany,31,2023-04-05 18:56:58.510
344,Merchant_1306290533_344,Entertainment,Spain,92,2026-02-02 18:56:58.510
345,Merchant_1383561014_345,Entertainment,USA,73,2025-02-19 18:56:58.510
346,Merchant_696186545_346,Entertainment,Switzerland,77,2023-04-28 18:56:58.513
347,Merchant_1423965183_347,Entertainment,Italy,93,2024-11-25 18:56:58.513
348,Merchant_812500857_348,Entertainment,Netherlands,16,2023-08-07 18:56:58.513
349,Merchant_1230110781_349,Clothing,Shqipëri,6,2023-03-29 18:56:58.513
