id,user_id,role_id
154,9786,4572
155,8934,9437
156,2850,4065
157,5099,9950
158,9533,620
159,4969,5659
160,7418,5247
161,4416,8201
162,2291,9941
163,8446,6986
164,4891,7090
165,1046,2103
166,6096,8529
167,2610,4004
168,3634,7021
169,4224,2326
170,6772,5199
171,2421,4015
172,9496,5920
173,3000,9268
174,5860,6676
175,1982,2802
176,7482,7241
177,3064,1536
178,1990,3267
179,8906,2093
180,8845,736
181,5309,3130
182,64,4636
183,8635,9670
184,7657,7596
185,8495,2891
186,9203,2203
187,1609,4219
188,7653,5242
189,2960,3218
190,228,1217
191,3049,284
192,1604,3163
193,1719,3949
194,2389,5112
195,3605,4533
196,2294,5172
197,5351,987
198,898,9226
199,8895,441
200,1298,4260
201,5016,8776
202,2039,9716
203,1326,1671
204,7428,9756
205,5451,945
206,6677,1780
207,6824,5051
208,1520,971
209,2785,3629
210,5971,4434
211,863,1518
212,6032,6767
213,2498,5238
214,5634,4920
215,7526,9195
216,2826,6677
217,9674,7071
218,7534,8932
219,6957,2599
220,1224,4306
221,3168,8824
222,6564,3492
223,2496,7882
224,8329,9178
225,2795,4265
226,7984,8672
227,6603,3596
228,8381,4843
229,902,6226
230,1442,827
231,3602,9980
232,8549,8530
233,7077,3265
234,1909,1086
235,3543,6158
236,9416,2718
237,4276,2592
238,2479,1150
239,7463,7472
240,9649,5034
241,4202,7076
242,1415,8130
243,1710,9951
244,145,6936
245,7291,6538
246,8964,1349
247,5115,1638
248,1375,9128
249,4992,2111
250,8738,3230
251,6772,3362
252,9810,5003
253,7837,5257
254,1321,3496
255,6072,7463
256,5830,4971
257,3498,252
258,5351,1004
259,1813,8305
260,8501,7409
261,6187,314
262,3885,4198
263,5151,553
264,6248,7819
265,8642,9544
266,3165,2557
267,7446,2046
268,494,2605
269,5083,6101
270,7727,1463
271,3571,508
272,3676,1233
273,7899,1453
274,6074,5124
275,5341,1576
276,8128,2268
277,4529,3249
278,2420,4065
279,4734,4779
280,2513,1549
281,3435,4554
282,4747,3540
283,8721,3431
284,260,3872
285,8214,5303
286,6399,9418
287,597,6931
288,1559,7444
289,9265,566
290,8767,6407
291,396,8759
292,5789,163
293,8940,9500
294,1066,5626
295,9767,1583
296,8966,8265
297,5972,9289
298,3711,9610
299,7015,3342
300,6052,5163
301,7865,1659
302,8826,8629
303,7752,3396
304,7875,7274
305,2747,1930
306,6937,6056
307,1440,3017
308,8094,1725
309,7534,7890
310,9257,6884
311,3954,5849
312,5085,8235
313,2724,5714
314,8966,11
315,5704,4333
316,2361,9854
317,5234,2387
318,5583,1895
319,2563,1687
320,145,9452
321,1668,1068
322,1306,4536
323,2069,5979
324,9381,9175
325,2684,8050
326,6445,1437
327,1729,6404
328,3739,7240
329,7258,9230
330,9054,9783
331,312,4416
332,3755,1185
333,4617,6549
334,4710,1747
335,2604,1753
336,1868,5154
337,472,54
338,389,9189
339,9779,4050
340,5474,1660
341,2928,7282
342,1687,7540
343,4411,9661
344,7826,3290
345,8454,1710
346,1546,9532
347,2221,790
348,2393,7449
349,7951,3651
350,6239,5191
351,9279,978
352,8903,916
353,7529,4074
354,5332,9512
355,5484,888
356,8667,2705
357,4363,8167
358,9885,1713
359,3417,6055
360,9825,8883
361,5547,5696
362,8061,9680
363,7676,9173
364,2226,203
365,6009,8494
366,9814,7788
367,8788,9297
368,7295,8647
369,9244,8767
370,9118,145
371,6991,3379
372,7464,2314
373,4208,3409
374,1226,8783
375,64,2092
376,2869,8473
377,798,9832
378,3679,8420
379,2190,1248
380,158,2870
381,1883,3779
382,1609,9824
383,1639,1152
384,7849,9344
385,1285,783
386,8749,502
387,1195,8751
388,7931,4270
389,1799,4123
390,6380,8737
391,4778,4859
392,2781,8297
393,2264,5024
394,7862,5885
395,7670,7069
396,2631,3852
397,8575,3185
398,2599,565
399,9754,508
400,8953,3961
401,155,4457
402,2692,6503
403,1529,8959
404,1985,5416
405,2153,1559
406,1527,5067
407,4293,5039
408,5252,6585
409,5350,119
410,142,4206
411,151,7532
412,1952,3844
413,2849,6601
414,9582,560
415,5179,3536
416,6771,4813
417,6628,8313
418,9323,4622
419,2288,9268
420,5701,5087
421,6544,2696
422,9419,3906
423,4698,6437
424,9994,1340
425,219,5807
426,9827,2439
427,3463,1859
428,7725,4197
429,8552,8340
430,2976,7747
431,6303,2211
432,3575,8243
433,2975,7208
434,2049,4732
435,7721,2679
436,2478,3307
437,9080,6028
438,4321,2198
439,921,2712
440,6268,4427
441,7063,4239
442,6829,4905
443,4343,3611
444,5926,773
445,3448,7031
446,9592,9632
447,1169,1638
448,242,9895
449,6005,1710
450,4188,3507
451,7268,9535
452,467,9497
453,3970,4928
454,1049,3379
455,8406,9122
456,2751,7853
457,6803,2488
458,2741,1776
459,2903,7155
460,1970,8589
461,2564,4804
462,6419,1571
463,6362,3155
464,1667,6619
465,3342,9123
466,2070,3954
467,7852,5204
468,4018,6477
469,4901,4739
470,4438,1939
471,8463,8021
472,1638,7443
473,7463,3993
474,8034,9706
475,4609,8409
476,7655,2290
477,8056,699
478,2830,4611
479,9188,9023
480,3490,9988
481,1353,7458
482,7510,1921
483,8937,8367
484,2651,7379
485,3532,5222
486,5710,8216
487,35,6210
488,3769,3175
489,8387,4561
490,8992,7126
491,1936,8304
492,4044,9857
493,4819,3145
494,5940,5869
495,9102,2272
496,8508,2651
497,4001,9793
498,4191,7336
499,64,3424
500,5645,7269
501,1533,7092
502,953,9490
503,5904,8701
504,5060,6103
505,1816,8911
506,6603,4523
507,9785,8988
508,5675,1848
509,9817,1143
510,7018,5320
511,3805,9963
512,305,6502
513,137,242
514,6307,8595
515,872,1279
516,623,4302
517,7643,7531
518,8754,9206
519,8601,3007
520,8865,9101
521,3290,3817
522,1043,6706
523,406,7606
524,5725,6533
525,5017,2768
526,9012,3102
527,5091,2141
528,4810,7951
529,8106,3845
530,8081,4919
531,7959,3339
532,3740,7925
533,6831,7728
534,2161,2899
535,265,6686
536,5492,5893
537,7890,6860
538,7936,6540
539,3207,9876
540,7228,8812
541,7798,2238
542,3787,8361
543,3049,705
544,4132,6127
545,8132,148
546,4940,7298
547,3635,6131
548,8954,69
549,3691,746
550,2214,1343
551,1305,7989
552,8309,7313
553,9880,2237
554,4139,7784
555,7561,1213
556,7870,1849
557,4925,7464
558,629,8594
559,2412,8313
560,1720,1108
561,6601,2882
562,9150,4666
563,3423,8706
564,5867,4642
565,388,8291
566,9982,9275
567,1281,3140
568,6310,839
569,1051,154
570,4386,9396
571,594,5746
572,5752,7723
573,315,1507
574,4571,5499
575,8345,7362
576,9507,5536
577,4493,2604
578,1168,3637
579,4696,2536
580,3091,9901
581,4692,4807
582,4413,5147
583,1083,4415
584,9610,5141
585,2678,4889
586,2314,4464
587,37,4459
588,2306,9015
589,1071,5181
590,2261,7083
591,8376,4858
592,4690,3661
593,7472,9940
594,6740,9822
595,5459,6242
596,7725,2657
597,8,8946
598,7119,9031
599,1699,8660
600,8955,2123
601,2803,7215
602,2456,3231
603,906,1105
604,4446,5037
605,9101,9456
606,8071,6091
607,9388,7668
608,1857,612
609,9693,6106
610,7354,1210
611,8475,6033
612,9724,2070
613,3079,6883
614,5082,1264
615,1132,2690
616,7452,2311
617,6055,9969
618,5796,2404
619,8600,9502
620,921,3877
621,1136,9214
622,6740,4728
623,138,3386
624,6145,4581
625,889,9888
626,1684,5830
627,6675,866
628,1612,3313
629,1491,2880
630,44,1536
631,6929,7024
632,3777,2743
633,4362,7433
634,4961,5200
635,7019,4986
636,1725,79
637,915,7334
638,574,5763
639,7738,8945
640,3845,5843
641,5729,2612
642,8330,3583
643,8152,5562
644,7044,1748
645,912,7597
646,7172,6038
647,5895,4803
648,8849,3394
649,6345,5716
650,5710,1396
651,5626,6390
652,1161,1774
653,7381,872
654,4029,4651
655,1331,69
656,4173,6571
657,5919,8723
658,6028,9682
659,9377,9877
660,804,4715
661,5808,9899
662,5259,2360
663,6337,7594
664,7239,3303
665,3978,4199
666,5850,9398
667,8386,9135
668,7210,3092
669,1783,1047
670,3167,1975
671,5025,8360
672,1423,7986
673,768,6
674,6009,617
675,8377,5226
676,3539,5907
677,2052,843
678,9813,4510
679,7808,8494
680,855,7472
681,5771,6424
682,4555,158
683,7103,7078
684,144,3198
685,5434,9679
686,187,3150
687,2021,7536
688,9974,836
689,1117,6451
690,726,3601
691,6370,614
692,6734,8932
693,1536,309
694,3212,7691
695,8334,1636
696,9219,8442
697,1349,4818
698,5767,9913
699,5453,1661
700,1731,1848
701,1503,2557
702,9360,2518
703,2133,8536
704,2803,7013
705,8626,6139
706,4990,107
707,9810,3121
708,2511,690
709,9553,9771
710,1389,2004
711,1618,1152
712,7117,4540
713,3293,7900
714,1669,9449
715,3376,1495
716,2779,7034
717,1935,6739
718,9060,4544
719,7707,800
720,9626,8465
721,3434,7288
722,3606,9738
723,9965,4902
724,2805,2208
725,5051,4781
726,3896,8913
727,6330,1990
728,4959,5627
729,8143,2981
730,7256,4748
731,7861,4866
732,2284,2283
733,6511,8036
734,3220,3421
735,394,4627
736,5281,6801
737,2832,8676
738,3251,7243
739,9153,3748
740,2130,6242
741,6176,5
742,2570,4733
743,6332,5475
744,8342,4897
745,7177,6174
746,1684,4643
747,9408,8478
748,7057,9151
749,77,1537
750,9150,4910
751,9284,6201
752,8995,5316
753,2416,2394
754,3898,625
755,8134,8300
756,20,8855
757,4280,5781
758,5193,6298
759,8058,5148
760,7386,4722
761,2496,5652
762,9078,44
763,2307,4019
764,3348,8698
765,476,5372
766,6551,8800
767,7646,5451
768,1650,6441
769,9727,4917
770,3780,9950
771,3384,4355
772,3269,7765
773,8064,9701
774,7889,7724
775,3563,2171
776,9648,2492
777,6999,2443
778,3427,7265
779,3758,1638
780,8747,8772
781,5857,616
782,274,5890
783,2515,8930
784,9625,9591
785,8768,1434
786,5560,9668
787,6214,6723
788,8715,6651
789,8513,2859
790,6241,5913
791,4642,222
792,723,3530
793,76,566
794,6650,9125
795,4329,7881
796,5219,1256
797,4557,6785
798,9229,9568
799,5360,4552
800,2036,8187
801,8178,4564
802,8483,863
803,5246,672
804,5353,86
805,5192,8378
806,53,9630
807,8806,9820
808,7601,4950
809,7273,9570
810,8454,7055
811,1733,8459
812,8590,9252
813,1492,4140
814,9865,1939
815,567,8341
816,3627,7508
817,8728,463
818,6919,1558
819,3066,686
820,3451,4694
821,8334,5016
822,6518,6025
823,4632,5026
824,1100,5734
825,7960,9242
826,9847,1085
827,5296,6034
828,2832,807
829,6887,3421
830,412,8181
831,9709,4633
832,4407,4683
833,9703,9744
834,2883,6979
835,4619,1574
836,2460,361
837,9281,406
838,1496,8550
839,807,6383
840,9263,9385
841,3106,7052
842,1578,3558
843,8374,7333
844,1893,4950
845,1348,4549
846,4021,6656
847,9121,4377
848,6610,4469
849,5241,5815
850,8617,9621
851,1746,9697
852,2036,8034
853,6849,8595
854,2170,4468
855,5290,5863
856,3438,4190
857,3304,5051
858,580,7460
859,2366,8840
860,5000,6171
861,6256,8293
862,973,6235
863,5923,8354
864,6505,8291
865,7298,7494
866,2716,587
867,8372,4634
868,6054,8946
869,704,504
870,7524,5108
871,3295,1127
872,8894,3918
873,7272,5073
874,5204,6893
875,3054,7109
876,679,7364
877,1811,5043
878,3996,1277
879,5443,5598
880,7767,8916
881,8826,2099
882,167,2805
883,2421,7563
884,348,1472
885,3915,3598
886,1015,1852
887,3963,9933
888,6724,9254
889,7308,4949
890,7633,8087
891,2127,3242
892,6108,242
893,5027,1040
894,7248,6288
895,203,8424
896,6585,655
897,9787,3339
898,2230,1940
899,44,7760
900,9790,7155
901,7946,9620
902,6989,6293
903,8964,8200
904,4255,1865
905,4669,4809
906,8275,2525
907,4728,2925
908,5836,7545
909,7524,5007
910,1923,7583
911,9003,4201
912,524,4830
913,9393,3941
914,1940,4784
915,4767,9587
916,7654,3207
917,2927,1955
918,580,1565
919,8945,9655
920,1014,3689
921,5031,2479
922,3822,7369
923,6096,2427
924,6907,9869
925,1086,9931
926,5927,879
927,1993,4594
928,4837,6739
929,2116,448
930,3077,5021
931,3528,1629
932,5712,9426
933,2508,5874
934,9029,1329
935,3597,8974
936,8651,2258
937,1607,7659
938,3903,2772
939,1975,2494
940,1281,7451
941,6428,8505
942,503,2026
943,43,2980
944,8848,5027
945,1933,1959
946,7202,5259
947,1998,7324
948,1403,2436
949,6096,3375
950,300,339
951,6868,5643
952,5205,841
953,5573,9127
954,5155,2399
955,5928,500
956,6871,4513
957,2345,7232
958,8362,8346
959,4522,998
960,1332,7956
961,7467,2578
962,6198,162
963,944,2191
964,3824,5072
965,9788,8417
966,6666,6186
967,3494,8132
968,7918,1806
969,7277,1280
970,4633,6480
971,7129,9468
972,7508,1210
973,277,2290
974,5892,6671
975,9320,2648
976,4473,9806
977,5127,1995
978,1476,936
979,3464,1928
980,5361,7577
981,2932,1164
982,767,6873
983,4441,3259
984,3013,5227
985,4592,5141
986,353,6231
987,5668,5318
988,3715,2762
989,3185,2053
990,4299,1500
991,4418,2317
992,2695,5375
993,9915,4102
994,2137,5248
995,4166,3981
996,2539,4831
997,1046,9785
998,2945,4952
999,718,8016
1000,1958,2195
1001,6097,6633
1002,531,7104
1003,9509,6286
1004,8695,4482
1005,5740,4607
1006,5619,7760
1007,2085,6390
1008,7213,7526
1009,6074,1045
1010,9505,4388
1011,2747,9905
1012,2516,9705
1013,5786,8752
1014,3302,1473
1015,5429,3668
1016,6341,3136
1017,7791,8759
1018,3559,9118
1019,6073,8564
1020,770,1322
1021,5,1824
1022,8594,8476
1023,6172,8993
1024,9534,940
1025,3629,5248
1026,2557,3926
1027,2394,3845
1028,6547,4932
1029,9361,3967
1030,5954,1059
1031,6171,830
1032,3127,3650
1033,9269,7154
1034,2488,8980
1035,9861,3342
1036,443,9546
1037,1016,9897
1038,7945,3900
1039,717,3125
1040,8446,1524
1041,4065,7672
1042,6793,8718
1043,9558,554
1044,4204,4754
1045,2635,4603
1046,432,4245
1047,9107,5098
1048,5941,9862
1049,421,389
1050,9969,1344
1051,2181,1138
1052,4919,4169
1053,3856,6439
1054,9546,6968
1055,5385,52
1056,2227,7184
1057,4465,1846
1058,5090,2353
1059,4427,863
1060,6857,3156
1061,8683,6806
1062,549,4148
1063,6214,8008
1064,4543,3511
1065,42,5113
1066,2072,2056
1067,1511,3351
1068,1080,3882
1069,3622,9838
1070,6110,879
1071,8208,2764
1072,8818,9295
1073,8277,7044
1074,9062,5846
1075,8196,1123
1076,6899,2627
1077,1709,3894
1078,7805,9053
1079,2477,6729
1080,2089,7540
1081,9049,2955
1082,9245,2011
1083,3009,5753
1084,9752,6123
1085,7997,442
1086,9928,4355
1087,7787,3189
1088,9538,5336
1089,1297,8541
1090,128,5780
1091,4718,5620
1092,4665,2726
1093,8438,5208
1094,8556,2920
1095,8468,9336
1096,4890,2302
1097,6287,8523
1098,2988,7888
1099,2639,105
1100,9317,7820
1101,5551,9861
1102,13,2605
1103,8388,8517
1104,7998,9813
1105,4925,3985
1106,999,3441
1107,5908,6799
1108,3576,832
1109,6220,6133
1110,8369,6743
1111,7060,5883
1112,2548,7571
1113,1175,3516
1114,3358,4372
1115,8629,6398
1116,6710,6027
1117,5661,2456
1118,7937,3865
1119,7221,100
1120,9534,410
1121,8681,9508
1122,9305,4300
1123,2624,7360
1124,3048,2976
1125,2327,4582
1126,4086,4861
1127,6203,9463
1128,1791,135
1129,419,7324
1130,4493,5371
1131,3357,5152
1132,472,6187
1133,4103,9626
1134,1035,2583
1135,4216,950
1136,2683,6229
1137,6841,9653
1138,1781,588
1139,1536,2452
1140,5700,3669
1141,9107,2407
1142,6444,8684
1143,9962,4251
1144,5963,6922
1145,6090,6768
1146,30,6506
1147,8986,2190
1148,3388,3830
1149,1157,9167
1150,4244,9446
1151,4922,2085
1152,8287,4866
1153,9398,5153
1154,9850,5678
1155,3366,5642
1156,7006,6332
1157,9397,8013
1158,3394,9665
1159,3001,3570
1160,4437,8352
1161,6758,4087
1162,1699,6047
1163,180,9916
1164,9994,8833
1165,6462,779
1166,173,3453
1167,525,8770
1168,2654,4389
1169,9066,3967
1170,3397,4086
1171,9294,2592
1172,1264,3093
1173,5671,2052
1174,7671,3657
1175,8229,4445
1176,928,6925
1177,4207,9694
1178,9811,3585
1179,8914,1297
1180,1541,5045
1181,5835,8695
1182,3037,4845
1183,9560,4876
1184,604,7245
1185,8244,1709
1186,9050,8662
1187,6594,5710
1188,2714,1203
1189,8007,6243
1190,1442,8965
1191,5153,3548
1192,629,2955
1193,836,5575
1194,4475,772
1195,6208,7604
1196,5842,6351
1197,974,9160
1198,9771,165
1199,5939,3176
1200,9989,7423
1201,9954,395
1202,2229,3918
1203,2462,8525
1204,8603,7851
1205,4648,5745
1206,5305,8621
1207,7032,3052
1208,260,4926
1209,3397,9871
1210,8432,6703
1211,6991,4859
1212,7276,4871
1213,7053,71
1214,4776,3388
1215,5845,8471
1216,7225,2604
1217,9057,4158
1218,5290,5157
1219,7535,5948
1220,2200,8701
1221,5761,4072
1222,3050,1261
1223,1679,3793
1224,2300,2833
1225,3693,9775
1226,5678,4491
1227,1537,8600
1228,103,4409
1229,8197,9513
1230,3255,5884
1231,2577,5510
1232,4072,2286
1233,3803,5503
1234,903,7391
1235,2728,1948
1236,6054,9761
1237,2096,8681
1238,6467,3580
1239,99,4628
1240,7259,8440
1241,3052,7688
1242,9366,2282
1243,7779,9321
1244,5641,1818
1245,5642,7716
1246,6417,7892
1247,1593,6211
1248,5191,5781
1249,1223,2667
1250,3450,6507
1251,959,5696
1252,5375,9410
1253,5349,6490
1254,5458,7066
1255,5308,1131
1256,1888,5635
1257,9306,6693
1258,3750,2277
1259,6283,1877
1260,8135,1786
1261,521,3096
1262,5087,6811
1263,3127,2334
1264,6767,937
1265,344,7124
1266,3496,2101
1267,4921,1478
1268,394,5388
1269,8215,7248
1270,4271,9256
1271,1573,4908
1272,6348,7483
1273,4679,568
1274,6143,8280
1275,2765,7227
1276,8466,8222
1277,481,2206
1278,6673,6095
1279,7210,5271
1280,2887,1263
1281,8998,2368
1282,85,507
1283,2336,9999
1284,2118,9748
1285,4274,7484
1286,8124,9054
1287,7686,122
1288,9871,283
1289,3875,5640
1290,888,6677
1291,4917,8703
1292,3722,3551
1293,698,2744
1294,5493,5396
1295,9960,1118
1296,4136,9022
1297,8420,9685
1298,562,1432
1299,7683,9359
1300,8134,4253
1301,2219,8905
1302,6143,3008
1303,7184,5431
1304,8262,1143
1305,460,5767
1306,8564,198
1307,21,4758
1308,619,8531
1309,8675,9779
1310,3190,8863
1311,5452,6108
1312,2590,4139
1313,9512,2517
1314,539,5907
1315,5592,6551
1316,789,5134
1317,5112,6403
1318,9826,7204
1319,8354,4045
1320,5812,7855
1321,4923,5249
1322,3518,8019
1323,1318,9630
1324,8139,6342
1325,8032,1293
1326,2218,7794
1327,796,9520
1328,8241,7538
1329,7288,1487
1330,6505,9605
1331,7842,1795
1332,7018,6468
1333,4987,1638
1334,2952,2052
1335,808,9449
1336,5234,7125
1337,3071,4058
1338,8530,3283
1339,764,1720
1340,6810,4726
1341,5768,3150
1342,7411,7390
1343,3949,6581
1344,1373,6111
1345,3740,3754
1346,2827,5374
1347,1092,4256
1348,2543,5998
1349,1004,4961
1350,5796,5131
1351,2404,2997
1352,8763,574
1353,1756,202
1354,9574,7783
1355,2593,4055
1356,4561,334
1357,5125,2177
1358,4726,2790
1359,4612,5449
1360,9723,2908
1361,8708,1992
1362,9728,798
1363,8606,423
1364,287,6556
1365,5071,1079
1366,9127,45
1367,5633,6710
1368,6740,6085
1369,407,5521
1370,5819,6565
1371,1811,2907
1372,6699,2623
1373,3000,8850
1374,5932,9571
1375,2412,4106
1376,1167,3105
1377,4137,3590
1378,4139,521
1379,7389,3615
1380,4909,1792
1381,1279,7386
1382,1556,4808
1383,2273,3869
1384,8836,3577
1385,5632,7228
1386,1726,8434
1387,256,495
1388,4524,9269
1389,3854,6938
1390,4570,5669
1391,5579,3758
1392,418,5533
1393,2357,3969
1394,3182,5823
1395,3211,8823
1396,6203,7249
1397,1845,8514
1398,1389,1058
1399,8215,9173
1400,3323,1737
1401,7659,7967
1402,9997,7094
1403,3742,7560
1404,2649,5462
1405,4737,4855
1406,8241,3393
1407,7280,4251
1408,2333,4685
1409,3307,9025
1410,5667,6035
1411,2841,1705
1412,2849,8385
1413,3823,8799
1414,8290,5267
1415,1194,9759
1416,113,8946
1417,6312,2923
1418,4046,9727
1419,3269,6858
1420,5681,1068
1421,2183,1045
1422,2923,8542
1423,9522,7268
1424,8545,4680
1425,4077,1122
1426,1261,6858
1427,7648,4531
1428,7383,3560
1429,4049,5181
1430,1187,2760
1431,7574,7576
1432,3779,6202
1433,6961,2892
1434,7899,4585
1435,1911,4253
1436,3629,4347
1437,1197,8141
1438,9624,2
1439,6911,4197
1440,3594,6532
1441,9245,5594
1442,2325,891
1443,6754,3434
1444,9528,5928
1445,1013,421
1446,1405,8275
1447,6267,7501
1448,3657,9402
1449,2676,3566
1450,331,7188
1451,8849,8221
1452,3382,529
1453,2082,3401
1454,5721,4651
1455,9294,169
1456,3980,2031
1457,5818,3527
1458,5305,2908
1459,2305,3998
1460,2699,5409
1461,7192,1346
1462,756,6793
1463,1103,3050
1464,5709,703
1465,8363,9771
1466,1356,8653
1467,1675,8705
1468,601,6902
1469,4273,8343
1470,4088,806
1471,1267,3102
1472,1666,1618
1473,4559,108
1474,3953,1646
1475,2653,2112
1476,983,9283
1477,7049,1424
1478,2097,5136
1479,2300,1377
1480,337,1612
1481,8369,9722
1482,3808,9074
1483,9310,6243
1484,1671,4541
1485,3841,1199
1486,7619,3055
1487,5738,7112
1488,8484,4463
1489,5547,6325
1490,6871,2256
1491,6781,9264
1492,3530,3649
1493,2134,6089
1494,3711,8491
1495,7899,1330
1496,3028,1061
1497,7659,9098
1498,2290,2491
1499,6592,6734
1500,6120,1020
1501,5337,7659
1502,5317,2564
1503,1190,9489
1504,7180,5311
1505,1860,9049
1506,1948,522
1507,5902,4370
1508,5418,3550
1509,8220,905
1510,7937,4986
1511,5230,2544
1512,2636,5451
1513,212,6827
1514,953,1963
1515,72,4837
1516,483,7316
1517,9974,1213
1518,8211,864
1519,6573,416
1520,2049,7558
1521,7245,3691
1522,3165,7553
1523,2916,8923
1524,3545,8746
1525,6646,3757
1526,9949,2385
1527,9584,4434
1528,5856,4715
1529,1180,4999
1530,2596,6514
1531,1489,8710
1532,9893,8766
1533,4967,4938
1534,6278,7358
1535,8257,4735
1536,1835,1016
1537,715,5817
1538,5190,8854
1539,2455,8588
1540,2518,448
1541,5061,5709
1542,9973,326
1543,9117,1762
1544,3058,9128
1545,4984,7240
1546,641,806
1547,1364,6938
1548,8307,3463
1549,766,220
1550,1059,4186
1551,3593,8390
1552,8121,5691
1553,1613,1212
1554,9428,5292
1555,3426,5867
1556,4342,6429
1557,4217,7666
1558,3637,8747
1559,486,6018
1560,3751,191
1561,7965,8747
1562,5114,7910
1563,5533,8765
1564,3010,1012
1565,1623,5464
1566,9957,226
1567,8724,6537
1568,2288,8905
1569,335,4588
1570,3151,3705
1571,8,4206
1572,8001,270
1573,2548,7311
1574,8361,2130
1575,902,2025
1576,7450,7042
1577,78,1601
1578,1355,8740
1579,7350,4931
1580,2975,8709
1581,2076,9787
1582,4477,2704
1583,5912,4567
1584,5685,2063
1585,129,3371
1586,9176,6408
1587,3630,2817
1588,2365,7223
1589,7957,4436
1590,3581,9347
1591,8804,2944
1592,9895,7426
1593,3404,508
1594,5384,2923
1595,9904,7471
1596,3267,1600
1597,6113,5267
1598,6973,4995
1599,2781,4664
1600,7083,6687
1601,6882,695
1602,9828,7383
1603,3394,9760
1604,2614,5326
1605,3573,4997
1606,9330,6220
1607,7099,2082
1608,2583,5523
1609,7003,7301
1610,9019,1450
1611,5840,6007
1612,6094,2955
1613,3570,5402
1614,9162,406
1615,8077,7755
1616,1628,2033
1617,4744,6275
1618,8254,678
1619,1659,4957
1620,4484,4601
1621,382,4316
1622,7111,4979
1623,5101,6797
1624,7622,3150
1625,744,5278
1626,6683,785
1627,4054,8975
1628,9424,2787
1629,237,441
1630,4275,8555
1631,5823,7163
1632,24,71
1633,4906,539
1634,4888,1565
1635,9515,1187
1636,8575,6386
1637,191,9713
1638,531,3252
1639,5637,6412
1640,7408,4717
1641,5685,6561
1642,3011,8405
1643,2367,5275
1644,9939,4756
1645,1346,8274
1646,71,7438
1647,7723,4063
1648,8463,908
1649,1297,591
1650,3630,2346
1651,3657,7581
1652,2161,7636
1653,8507,9920
1654,6427,3006
1655,4769,1709
1656,2198,1019
1657,5637,883
1658,2648,6409
1659,4261,2543
1660,3392,3941
1661,1660,1116
1662,4070,2245
1663,8179,6717
1664,3287,3746
1665,7765,678
1666,9547,9805
1667,4594,355
1668,1070,999
1669,4383,308
1670,8496,3794
1671,5981,6951
1672,5291,5285
1673,9979,8246
1674,5696,2209
1675,6777,8981
1676,6009,5758
1677,9864,6258
1678,9316,191
1679,8972,9105
1680,6306,9379
1681,1986,485
1682,4785,3043
1683,2992,2740
1684,1910,9962
1685,8671,9124
1686,23,5537
1687,923,1510
1688,4101,4107
1689,4299,2468
1690,3233,7210
1691,5595,6575
1692,5682,7283
1693,2199,4670
1694,6235,4435
1695,2332,1781
1696,3714,3610
1697,6868,8964
1698,3035,5866
1699,773,2224
1700,5993,3698
1701,1957,145
1702,5221,209
